episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,3.6106340885162354,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.1350770890712738,2.481657975295093e-05,1.501591682434082,-0.9999598264694214,6.033488750457764,0.1451290249824524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0884777100801468,-0.0884777100801468,-0.011908139705658323,0.010312590124085546,0.0,2.2636806801944583e-05,0.0,20.076765060424815,,,0.07676506042480113,0.85,0.85,0.9833333333333333,0.15,0.0,0.0,0.2845528455284553,0.3170731707317073,0.3983739837398374,0.2845528455284553,0.3170731707317073,0.3983739837398374,,,1.590602159500122,0.01245678191849341,0.30399293889602025,-0.0011232410868008932,6.0458713499705,22259697.722277164,1.9639960546574244,1.590602159500122,-1.590602159500122,0.03075,123,4000,12.423011779785156,9.031720161437988,12.169217363993328,7.935689376195271,2.192014115403096,0.10617836308976014,0.7298192924261093,0,1.0,1.0,1.0,5.0,110976362.55441456,1.0,0.0,,,,True,-1.0,0.07676506042480113,0.0
2,200,3.625883102416992,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,115,0.14366886019706726,1.0224543984804768e-05,1.5021448135375977,-0.00013750359357800335,3.1624345779418945,0.1436702311038971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09104306840896606,-0.09104306840896606,-0.009276963353158274,0.009035562940873206,0.0,7.580380328509074e-05,0.0,20.020283031463634,,,0.020283031463620205,0.9,0.9,0.991304347826087,0.1,0.0,0.0,0.31666666666666665,0.275,0.4083333333333333,0.31666666666666665,0.275,0.4083333333333333,,,1.567553718884786,0.04660662157305827,0.32543741991122566,-0.053993818685412406,15.12897755463918,379147882.133773,1.8699682676792144,1.567553718884786,-1.567553718884786,0.03,120,4000,14.722193717956543,8.18000316619873,16.949456768035887,6.8485651874542235,5.7247807470957435,0.3467510030666987,0.9110000003377596,0,1.0,1.0,0.9989,4.9944999999999995,113924198.47683778,1.0,0.0,,,,True,-1.0,0.020283031463620205,0.0
3,200,3.6385412216186523,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,116,0.1548907607793808,5.5614905249967705e-06,1.5053387880325317,-0.9619850516319275,4.55689001083374,0.1645106077194214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08883763074874879,-0.08883763074874879,-0.02072174048424324,0.011347168705426156,0.0,4.949305834026041e-05,0.0,20.013713359832774,,,0.01371335983276012,0.95,0.95,0.9913793103448276,0.05,0.0,0.0,0.21367521367521367,0.4444444444444444,0.3418803418803419,0.21367521367521367,0.4444444444444444,0.3418803418803419,,,1.484695561726888,0.028298659460851923,0.25752917915582657,0.011905546622971693,11.148750224113464,5.583311216036479,2.586750144561132,1.484695561726888,-1.484695561726888,0.02925,117,4000,14.40372371673584,8.038372993469238,18.944556427001952,6.446370007197062,8.928967113494872,1.1132581792275111,0.932340548435847,0,1.0,1.0,0.9947,4.9735000000000005,96666853.61781618,1.0,0.0,,,,True,-1.0,0.01371335983276012,0.0
4,200,4.057443141937256,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,122,0.13594366610050201,2.097038486681413e-05,1.5019440650939941,2.097038486681413e-05,3.548640012741089,0.13594366610050201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08977963876724243,-0.08977963876724243,-0.017100190162658676,0.011353921238798649,0.0,0.00010811644914993475,0.0,20.035686397552503,,,0.03568639755248881,0.85,0.85,0.9836065573770492,0.15,0.0,0.0,0.1889763779527559,0.4015748031496063,0.4094488188976378,0.1889763779527559,0.4015748031496063,0.4094488188976378,,,1.544191721280416,0.0076444561562190455,0.175850227077802,-0.005624273341769973,5.545570797920227,2.7640727440516155,2.53638330300649,1.544191721280416,-1.544191721280416,0.03175,127,4000,12.577412605285645,9.61374568939209,19.405799713134765,8.301140545209249,10.444156150817872,0.6822307763497034,0.8624588757753372,0,1.0,1.0,1.0,5.0,107012089.46862434,1.0,0.0,,,,True,-1.0,0.03568639755248881,0.0
5,200,3.7475790977478027,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,119,0.15851734578609467,7.70302904129494e-06,1.5058104991912842,7.70302904129494e-06,3.1616151332855225,0.15851734578609467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08807408285140994,-0.08807408285140994,-0.0033367049694081113,0.01332252505607903,0.0,7.630360479982627e-05,0.0,20.02273979187013,,,0.022739791870115766,0.95,0.95,0.9915966386554622,0.05,0.0,0.0,0.11290322580645161,0.4112903225806452,0.47580645161290325,0.11290322580645161,0.4112903225806452,0.47580645161290325,,,1.4988382307688395,-0.004002244983178874,0.30166138072808585,-0.04528706262509028,8.021870129903158,3.962650345961253,2.049400556484858,1.4988382307688395,-1.4988382307688395,0.031,124,4000,13.537422180175781,8.362637519836426,23.21416473388672,7.0154862229029336,13.221333910624185,1.170317944586277,0.9042967768510183,0,1.0,1.0,0.9989,4.9944999999999995,120290034.47810318,1.0,0.0,,,,True,-1.0,0.022739791870115766,0.0
6,200,3.879183053970337,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,122,0.14469240605831146,3.107177690253593e-05,1.5150179862976074,-0.8903195858001709,3.238898754119873,0.15359559655189514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09016643816232682,-0.09016643816232682,-0.01703982359171145,0.012395429810509086,0.0,3.684569403700938e-05,0.0,20.061957931518567,,,0.061957931518552556,0.9,0.9,0.9754098360655737,0.1,0.0,0.0,0.136,0.408,0.456,0.136,0.408,0.456,,,1.4126302019755046,0.04876692943701831,0.4533376325170199,-0.06433070863907536,9.909628337224325,67904878.01768203,2.424702863295873,1.4126302019755046,-1.4126302019755046,0.03125,125,4000,13.637657165527344,8.693244934082031,25.790912373860678,7.191928718884786,15.30979248046875,0.9808173481623331,0.8920673415064811,0,1.0,1.0,0.9997499999999999,4.99875,113776868.01359867,1.0,0.0,,,,True,-1.0,0.061957931518552556,0.0
7,200,3.793395757675171,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,109,0.14659740030765533,1.4559072042175103e-05,0.6142879724502563,-0.004608163144439459,6.057580947875977,0.1466434746980667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09062651503086092,-0.09062651503086092,-0.026008539855479785,0.012534799571149051,0.0,7.425328705686474e-05,0.0,20.046205615997327,,,0.04620561599731232,0.9,0.9,0.9908256880733946,0.1,0.0,0.0,0.08108108108108109,0.5225225225225225,0.3963963963963964,0.08108108108108109,0.5225225225225225,0.3963963963963964,,,1.36512188911438,0.05922850264236331,0.28123703559239704,-0.012501159186164538,11.19969041665395,5.584613807201386,2.192707045165201,1.36512188911438,-1.36512188911438,0.02775,111,4000,13.134459495544434,7.3086934089660645,28.82615353902181,6.347373857498169,21.033024864196776,1.2038604680697123,0.9381475696961085,0,1.0,1.0,1.0,5.0,108695171.13883296,1.0,0.0,,,,True,-1.0,0.04620561599731232,0.0
8,200,3.8495352268218994,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,115,0.1577884405851364,0.0,1.501895785331726,-0.0038637726102024317,4.552918910980225,0.15782707929611206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08671679735183718,-0.08671679735183718,-0.0012927759885786726,0.013378698941320181,0.0,7.07416499983179e-05,0.0,20.00000000000001,,,0.0,0.85,0.85,1.0,0.15,0.0,0.0,0.06896551724137931,0.6120689655172413,0.31896551724137934,0.06896551724137931,0.6120689655172413,0.31896551724137934,,,1.14358917872111,0.039923964926662545,0.26735361486673354,-0.020424202904105185,5.178011577924092,2.5662943983078,3.44537166595459,1.14358917872111,-1.14358917872111,0.029,116,4000,10.24933910369873,6.403064727783203,32.361336898803714,5.840476131439209,26.212402852376304,2.265170208613078,0.9320540587107341,0,1.0,1.0,0.99905,4.9952499999999995,121619543.34735402,1.0,0.0,,,,True,-1.0,0.0,0.0
9,200,4.083838939666748,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,121,0.14158283174037933,2.728402614593506e-05,1.503082275390625,-0.909044086933136,4.605684280395508,0.1506732702255249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09108439183235169,-0.09108439183235169,-0.025372690796851935,0.012669226566329598,0.0,7.797795907791977e-05,0.0,20.05452890396119,,,0.05452890396117738,0.9,0.9,0.9752066115702479,0.1,0.0,0.0,0.10569105691056911,0.6260162601626016,0.2682926829268293,0.10569105691056911,0.6260162601626016,0.2682926829268293,,,1.0226150822639466,0.059579337382068234,0.26544596781333285,-0.009653271393229563,3.7013700079917906,1.8389865016937257,2.6358063320318856,1.0226150822639466,-1.0226150822639466,0.03075,123,4000,9.801726341247559,9.154664993286133,36.11633697509765,8.157634331385294,30.221671880086262,2.052311390240987,0.858609134554863,0,1.0,1.0,1.0,5.0,94312874.22308369,1.0,0.0,,,,True,-1.0,0.05452890396117738,0.0
10,200,3.956648826599121,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,112,0.15048424899578094,1.7450320228817873e-05,1.5452806949615479,-0.8211100101470947,6.111209869384766,0.15869534015655518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08952310299873352,-0.08952310299873352,-0.010946201801300147,0.012057276400737464,0.0,6.132056368711812e-05,0.0,20.060490322113047,,,0.060490322113032846,0.9,0.9,0.9910714285714286,0.1,0.0,0.0,0.07142857142857142,0.6517857142857143,0.2767857142857143,0.07142857142857142,0.6517857142857143,0.2767857142857143,,,0.9015979798634847,0.0787363420256103,0.29148777733246484,-0.012592702073355515,6.3908621692657475,3.1810352234045665,6.333988584677378,0.9015979798634847,-0.9015979798634847,0.028,112,4000,10.613954544067383,8.014838218688965,41.2394975789388,7.116482055981954,35.139966583251955,2.9936353389422097,0.8629321802655856,0,1.0,1.0,0.99985,4.99925,108267565.42150567,1.0,0.0,,,,True,-1.0,0.060490322113032846,0.0
