episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,3.8263931274414062,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.12192615866661072,4.3090502003906295e-05,0.5657368302345276,-0.9998951554298401,4.5225830078125,0.14088159799575806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09046679449081423,-0.09046679449081423,-0.025396334171296286,0.009971800597384572,0.0,2.2636806801944583e-05,0.0,20.10389032363893,,,0.1038903236389146,0.8,0.8,0.9666666666666667,0.2,0.0,0.0,0.36585365853658536,0.3170731707317073,0.3170731707317073,0.36585365853658536,0.3170731707317073,0.3170731707317073,,,1.5469062932332356,0.011404005787335336,0.14302083333333335,0.0008441024397810301,26.58630926767985,0.41467350482940674,0.3970428502559662,1.5469062932332356,-1.5469062932332356,1.0,1.0,1.0,5.0,110661657.5356296,1.0,0.0,,,,True,-1.0,0.1038903236389146,0.0
2,200,4.042330026626587,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,119,0.14472109079360962,1.8505947082303464e-05,1.5013158321380615,-0.9709116220474243,4.5076165199279785,0.15443021059036255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09006565403938296,-0.09006565403938296,-0.01672253608703631,0.00870029715821147,0.0,6.182359565853973e-05,0.0,20.025340938568128,,,0.025340938568113813,0.9,0.9,0.9915966386554622,0.1,0.0,0.0,0.4214876033057851,0.30578512396694213,0.2727272727272727,0.4214876033057851,0.30578512396694213,0.2727272727272727,,,1.5552693223953247,0.011120895703012744,0.10890625,-0.001872560369471709,12.762896137237549,0.14028139216204485,0.5508397118250529,1.5552693223953247,-1.5552693223953247,1.0,1.0,0.9963,4.9815,109968654.1669265,1.0,0.0,,,,True,-1.0,0.025340938568113813,0.0
3,200,3.9777610301971436,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,122,0.1367397904396057,4.2554867832222953e-05,1.5020030736923218,4.2554867832222953e-05,4.543916702270508,0.1367397904396057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09165404603481289,-0.09165404603481289,0.012913633704178841,0.012152028022333979,0.0,9.737657172291358e-05,0.0,20.086476612091076,,,0.08647661209106161,0.9,0.9,0.9754098360655737,0.1,0.0,0.0,0.21311475409836064,0.4098360655737705,0.3770491803278688,0.21311475409836064,0.4098360655737705,0.3770491803278688,,,1.5407423226038615,0.014602385365093748,0.12151041666666666,-0.002688089373211066,9.636968173980712,0.08106686065904796,0.4971776636441549,1.5407423226038615,-1.5407423226038615,1.0,1.0,1.0,5.0,106857355.30759159,1.0,0.0,,,,True,-1.0,0.08647661209106161,0.0
4,200,3.810863733291626,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,128,0.11619434505701065,4.827837983611971e-05,1.501787543296814,-0.9999387264251709,3.06327748298645,0.12619373202323914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09074980199337006,-0.09074980199337006,-0.03952354431152376,0.01249329414498061,0.0,8.09018802832467e-05,0.0,20.141404628753673,,,0.14140462875365856,0.75,0.75,0.9609375,0.25,0.0,0.0,0.234375,0.390625,0.375,0.234375,0.390625,0.375,,,1.5609633747736613,0.015738099729642272,0.10880208333333333,-0.004450856403758128,9.974648660024007,0.06085272282982866,0.4736126653353373,1.5609633747736613,-1.5609633747736613,1.0,1.0,1.0,5.0,116324609.86336903,1.0,0.0,,,,True,-1.0,0.14140462875365856,0.0
5,200,3.7726080417633057,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,116,0.12011193484067917,4.467772669158876e-05,0.7662018537521362,-1.9999552965164185,4.6381731033325195,0.14011149108409882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08874497418403628,-0.08874497418403628,0.06198025059699632,0.012587065894156695,0.0,0.0002022583433284504,0.0,20.142297649383558,,,0.1422976493835435,0.75,0.75,0.9655172413793104,0.25,0.0,0.0,0.2698412698412698,0.2698412698412698,0.4603174603174603,0.2698412698412698,0.2698412698412698,0.4603174603174603,,,1.5571095069249472,0.006793835529436668,0.047864583333333335,-0.0024911163002252577,9.382488044102987,0.06340173051382104,0.42308822174866995,1.5571095069249472,-1.5571095069249472,1.0,1.0,0.99155,4.95775,110118297.41054659,1.0,0.0,,,,True,-1.0,0.1422976493835435,0.0
6,200,3.7210800647735596,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,116,0.1291353553533554,4.433493813849054e-05,1.5050828456878662,-0.9984303712844849,3.1632909774780273,0.14905597269535065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08982347559928894,-0.08982347559928894,-0.03767423760891005,0.013491401033475995,0.0,1.4171109990527395e-05,0.0,20.115158462524427,,,0.11515846252441264,0.85,0.85,0.9741379310344828,0.15,0.0,0.0,0.13793103448275862,0.5,0.3620689655172414,0.13793103448275862,0.5,0.3620689655172414,,,1.5279017432530722,0.01569058977222691,0.12661458333333334,-0.006196914315223694,7.27083636601766,0.03710867465163271,0.4595119937260946,1.5279017432530722,-1.5279017432530722,1.0,1.0,0.9999000000000001,4.9995,112500130.55740137,1.0,0.0,,,,True,-1.0,0.11515846252441264,0.0
7,200,3.6084890365600586,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,114,0.16267871856689453,0.0,1.502591848373413,0.0,6.174637317657471,0.16267871856689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08852661371231083,-0.08852661371231083,-0.010056972503662706,0.012197743752971292,0.0,4.8595165345840784e-05,0.0,20.00000000000001,,,0.0,0.95,0.95,1.0,0.05,0.0,0.0,0.21052631578947367,0.37719298245614036,0.41228070175438597,0.21052631578947367,0.37719298245614036,0.41228070175438597,,,1.4580684026082358,0.009635791629552842,0.09567708333333333,-0.0008607373510797819,2.2575086442629497,0.011308359388882916,0.32647866328557335,1.4580684026082358,-1.4580684026082358,1.0,1.0,1.0,5.0,135264949.65571973,1.0,0.0,,,,True,-1.0,0.0,0.0
8,200,3.736992120742798,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,124,0.12769663333892822,4.962336242897436e-05,1.5015223026275635,-0.8710088133811951,4.507885932922363,0.13640671968460083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09111667776107787,-0.09111667776107787,-0.03576598060131301,0.013243754060938955,0.0,2.0744630778652065e-05,0.0,20.124183940887463,,,0.12418394088744833,0.85,0.85,0.9596774193548387,0.15,0.0,0.0,0.13934426229508196,0.47540983606557374,0.38524590163934425,0.13934426229508196,0.47540983606557374,0.38524590163934425,,,1.5252634843190511,0.013471946123366555,0.07322916666666666,-0.003404913904766242,4.749788966178894,0.02326813764559726,0.4170684907833735,1.5252634843190511,-1.5252634843190511,1.0,1.0,1.0,5.0,129842312.4812421,1.0,0.0,,,,True,-1.0,0.12418394088744833,0.0
9,200,3.5766687393188477,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.15692923963069916,0.0,1.5730671882629395,0.0,3.601473093032837,0.15692923963069916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0918261927366257,-0.0918261927366257,-0.03048524934053494,0.012568074840120971,0.0,5.156633046736152e-05,0.0,20.00000000000001,,,0.0,0.95,0.95,1.0,0.05,0.0,0.0,0.17073170731707318,0.4065040650406504,0.42276422764227645,0.17073170731707318,0.4065040650406504,0.42276422764227645,,,1.5238149849573772,0.00838231307764848,0.0675,-0.0048813086623946825,1.534271993637085,0.002978343544527888,0.2935874338944753,1.5238149849573772,-1.5238149849573772,1.0,1.0,1.0,5.0,109938054.90061073,1.0,0.0,,,,True,-1.0,0.0,0.0
10,200,3.829434871673584,42,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,113,0.1339806169271469,3.143568756058812e-05,1.5148513317108154,-0.8907216787338257,3.101459264755249,0.14288784563541412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09067212224006653,-0.09067212224006653,-0.024972893118858485,0.011428999478928744,0.0,4.850579913382055e-05,0.0,20.06573247909547,,,0.06573247909545543,0.85,0.85,0.9734513274336283,0.15,0.0,0.0,0.16964285714285715,0.5267857142857143,0.30357142857142855,0.16964285714285715,0.5267857142857143,0.30357142857142855,,,1.565966854095459,0.009854863152528802,0.054635416666666665,-0.0023780261601010957,4.080909372965495,0.020615668060878913,0.366009721159935,1.565966854095459,-1.565966854095459,1.0,1.0,1.0,5.0,119603916.21196386,1.0,0.0,,,,True,-1.0,0.06573247909545543,0.0
