episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,29.225101717708455,0.15112550858854226,0.37623546451330186,0.9,0.9,0.9,0.9916666666666667,1.0,0.32231404958677684,0.3140495867768595,0.36363636363636365,0.4980265550032491,0.0875,0.0875,0.68,0.8613029710942643,55.94619424855166,93.18181818181817,0.24605685357487903,0.9318181818181818,0.26608882449447085,37.64717260112737,-18.299021647424286,7.909195280568771,20,20,3.5665781497955322
1,Random,26.12514497816549,0.13062572489082747,0.0,0.85,0.85,0.85,0.9646017699115044,0.961038961038961,0.147,0.1385,0.7145,0.598439849347746,0.1085,0.1085,0.25,1.0,0.0,84.61538461538461,0.20890688295385976,0.8461538461538461,0.25466362988969654,26.12514497816549,26.12514497816549,0.0,20,20,0.0
1,Local-Only,21.683861996525707,0.10841930998262854,0.0,0.8,0.8,0.8,0.975609756097561,0.0,1.0,0.0,0.0,1.0,0.15175,0.15175,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.683861996525707,21.683861996525707,0.0,20,20,0.0
1,Greedy,22.110073655517848,0.11055036827758924,0.0,0.75,0.75,0.75,0.8943089430894309,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.91,1.0,0.0,0.0,0.0,0.0,0.0,22.110073655517848,22.110073655517848,0.0,20,20,0.0
1,EFT,16.485403740090206,0.08242701870045104,0.0,0.65,0.65,0.65,0.864,0.0,0.80475,0.19525,0.0,1.0,0.0,0.0,2.85,1.0,0.0,0.0,0.0,0.0,0.0,16.485403740090206,16.485403740090206,0.0,20,20,0.0
1,Static,10.278566368076103,0.051392831840380515,0.0,0.5,0.5,0.5,0.7388059701492538,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.925,1.0,0.0,0.0,0.0,0.0,0.0,10.278566368076103,10.278566368076103,0.0,20,20,0.0
2,,27.403241651806685,0.1420162082590334,0.1032837719283998,0.9,0.9,0.9,0.9833333333333333,0.9777777777777777,0.29838709677419356,0.33064516129032256,0.3709677419354839,0.521846868716646,0.07775,0.07775,0.52,0.7748991003152615,54.16313923962602,78.26086956521739,0.21869019450854238,0.782608695652174,0.2939180072467429,36.646869485127354,-17.51626975449867,8.496190126517243,20,20,3.570847988128662
3,,22.988783300262796,0.11994391650131397,0.08537788243343433,0.75,0.75,0.75,0.959349593495935,0.9795918367346939,0.23140495867768596,0.36363636363636365,0.4049586776859504,0.5240381682752632,0.103,0.103,0.855,0.5597149936724539,58.52572673397687,93.87755102040816,0.36465337540061493,0.9387755102040817,0.3966273652870116,38.73035809758982,-19.79536863638705,7.705645672505809,20,20,3.6052348613739014
4,,25.72749054775334,0.1336374527387667,0.06046684628352523,0.85,0.85,0.85,0.9736842105263158,1.0,0.1282051282051282,0.49572649572649574,0.37606837606837606,0.5317020610112231,0.04325,0.04325,1.255,0.679706415101216,58.670944079051736,79.54545454545455,0.16898272898589003,0.7954545454545454,0.2240260978555599,39.10660792551283,-19.5643361535389,7.999264068670103,20,20,3.612318992614746
5,,26.082200261160924,0.13541100130580463,0.0407291467829297,0.85,0.85,0.85,0.9754098360655737,0.967741935483871,0.1721311475409836,0.319672131147541,0.5081967213114754,0.5157788880344014,0.103,0.103,0.57,0.6935872796970216,54.4446692206497,90.32258064516128,0.32295403379692766,0.9032258064516129,0.37409374042208254,38.321287682511766,-16.123381538137938,7.642127020501699,20,20,3.67192006111145
