source,metric,mean
Ours (MAPPO),steps,164.12125
Ours (MAPPO),elapsed_sec,19.54288380652666
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.515
Ours (MAPPO),truncated,0.485
Ours (MAPPO),time_limit_rate,0.485
Ours (MAPPO),episode_time_seconds,16.41212499999999
Ours (MAPPO),mean_cft_est,18.529307196593276
Ours (MAPPO),mean_cft_completed,6.66460442146378
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,1.3488766518900959
Ours (MAPPO),deadline_seconds,12.120422239782675
Ours (MAPPO),critical_path_cycles,22751617985.29753
Ours (MAPPO),r_time,-0.0025240517741542535
Ours (MAPPO),r_interf,-0.7252984291042869
Ours (MAPPO),r_risk,-0.010500500954143645
Ours (MAPPO),r_illegal,0.0
Ours (MAPPO),r_pbrs,0.0015954903873139179
Ours (MAPPO),r_term,0.0055820986002288265
Ours (MAPPO),r_step,-0.7792875911648113
Ours (MAPPO),r_total,-0.6377356183943815
Ours (MAPPO),abs_ratio_r_time,0.04394165753192829
Ours (MAPPO),abs_ratio_r_energy,0.15136561300076679
Ours (MAPPO),abs_ratio_r_interf,0.41833970903078666
Ours (MAPPO),abs_ratio_r_risk,0.2263053175081821
Ours (MAPPO),abs_ratio_r_illegal,0.0
Ours (MAPPO),abs_ratio_r_pbrs,0.0069857793938913615
Ours (MAPPO),abs_ratio_r_term,0.1530619235344446
Ours (MAPPO),I_total_mean,2.01881563163067e-06
Ours (MAPPO),I_total_p50,4.249981249487135e-12
Ours (MAPPO),I_total_p95,8.22290037336727e-06
Ours (MAPPO),I_caused_mean,2.01881563163067e-06
Ours (MAPPO),I_caused_p95,8.22290037336727e-06
Ours (MAPPO),rho_selected_mean,0.6789925966784358
Ours (MAPPO),rho_selected_p10,0.5295435419715941
Ours (MAPPO),uncertainty_selected_mean,0.17452509364578872
Ours (MAPPO),uncertainty_selected_p90,0.3311126970225014
Ours (MAPPO),rho_selected_p50,0.6559609921835363
Ours (MAPPO),rho_selected_p95,0.8677873287163674
Ours (MAPPO),rho_selected_lt_0p6_rate,0.36724551145902273
Ours (MAPPO),rho_selected_lt_0p7_rate,0.4987551576423474
Ours (MAPPO),risk_penalty_mean,0.10274604920297857
Ours (MAPPO),chain_tx_total,352.4575
Ours (MAPPO),chain_p95_mean,0.0
Ours (MAPPO),chain_pfail_mean,0.0
Ours (MAPPO),chain_risk_cost_total,0.0
Ours (MAPPO),trust_attempts,336.81625
Ours (MAPPO),trust_failures,77.46125
Ours (MAPPO),trust_failure_rate,0.2212457987301304
Ours (MAPPO),trust_retry_count,77.46125
Ours (MAPPO),episode_vehicle_count,20.0
Ours (MAPPO),episode_task_count,20.0
Ours (MAPPO),total_subtasks,420.16
