episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,CP-EFT,-1.2098016387280006,-241.96032774560013,0.35,0.35,0.6658653846153846,0.8651685393258427,0.92875,0.03975,0.0315,0.92875,0.03975,0.0315,0.009337666969501736,0.13105497501055072,0.8888347818570514,20.000000000000014,22.427556610107427,10.114285714285696,10.114285714285696,12.72999999999997,0.65,1.0,0.0,0.9135,0.08650000000000002,0.08650000000000002,0.0,7.5049792940262705e-06,0.0,1.6265879310140008e-08,7.5049792940262705e-06,1.6265879310140008e-08,0.717175304889679,0.5,0.08422096073627472,,,,,0.1528543084859848,0.5,284,0.0,0.0,0.0,271,56,0.2066420664206642,56,0.16575,1.97
2,CP-EFT,-1.001760679062111,-200.3521358124222,0.15,0.15,0.5620608899297423,0.7619047619047619,0.9475,0.02775,0.02475,0.9475,0.02775,0.02475,0.007527107148933786,0.1433734695035007,1.0,20.000000000000014,23.612372207641602,11.099999999999978,11.099999999999978,13.119999999999969,0.85,1.0,0.0,0.92875,0.07125000000000004,0.07125000000000004,0.0,6.2215590332925785e-06,7.420270859348141e-14,4.698282651816044e-09,6.2215590332925785e-06,4.698282651816044e-09,0.7384346723556519,0.5,0.08028914034366608,,,,,0.18594209849834442,0.5,207,0.0,0.0,0.0,186,20,0.10752688172043011,20,0.11225,1.24
3,CP-EFT,-1.2697740325388012,-253.95480650776025,0.3,0.3,0.5775656324582339,0.8214285714285714,0.9515,0.02575,0.02275,0.9515,0.02575,0.02275,0.007561245773853569,0.1559019747186303,1.0,20.000000000000014,23.37692785263062,8.066666666666654,8.066666666666654,10.22499999999998,0.7,1.0,0.0,0.9285,0.07150000000000001,0.07150000000000001,0.0,5.129988039698219e-06,0.0,3.385062452565535e-09,5.129988039698219e-06,3.385062452565535e-09,0.7182239294052124,0.5,0.08402588218450546,,,,,0.20183271169662476,0.5,193,0.0,0.0,0.0,178,27,0.15168539325842698,27,0.1325,1.31
4,CP-EFT,-1.1465300970224577,-213.25459804617714,0.1,0.1,0.48877805486284287,0.7777777777777778,0.9521505376344086,0.024193548387096774,0.023655913978494623,0.9521505376344086,0.024193548387096774,0.023655913978494623,0.0067121615825941755,0.14027663532163107,0.935705482393338,18.599999999999994,22.049440155029295,8.299999999999986,8.299999999999986,11.179999999999977,0.9,0.0,0.0,0.9338709677419355,0.06612903225806455,0.06612903225806455,0.0,6.088794179959223e-06,0.0,1.869052113079306e-08,6.088794179959223e-06,1.869052113079306e-08,0.706911563873291,0.5,0.08888158202171326,,,,,0.20428360998630524,0.5,177,0.0,0.0,0.0,160,26,0.1625,26,0.13225806451612904,1.3279569892473118
5,CP-EFT,-0.7766422767765144,-155.32845535530288,0.4,0.4,0.6279620853080569,0.8791208791208791,0.9355,0.03425,0.03025,0.9355,0.03425,0.03025,0.012347637660032157,0.1914362427911963,1.0,20.000000000000014,22.119388389587407,10.144444444444424,10.144444444444424,12.259999999999973,0.6,1.0,0.0,0.91425,0.08574999999999999,0.08574999999999999,0.0,3.41909731105261e-06,0.0,1.0763122615387033e-09,3.41909731105261e-06,1.0763122615387033e-09,0.7078940272331238,0.5,0.08784708380699158,,,,,0.15576079487800598,0.5,258,0.0,0.0,0.0,246,60,0.24390243902439024,60,0.146,1.725
6,CP-EFT,-0.5472743827411183,-109.45487654822365,0.15,0.15,0.6120481927710844,0.8461538461538461,0.94575,0.031,0.02325,0.94575,0.031,0.02325,0.005437691025309793,0.10023393595041091,0.7647160178407726,20.000000000000014,22.746107387542725,5.699999999999996,5.699999999999996,6.349999999999993,0.85,1.0,0.0,0.92425,0.07574999999999998,0.07574999999999998,0.0,1.7031809420586796e-06,0.0,3.285066385583235e-10,1.7031809420586796e-06,3.285066385583235e-10,0.7257117629051208,0.5,0.08187087625265121,,,,,0.1830129325389862,0.5,216,0.0,0.0,0.0,200,30,0.15,30,0.13725,1.565
7,CP-EFT,-0.7920347825871562,-158.40695651743124,0.2,0.2,0.6357308584686775,0.8571428571428571,0.93075,0.035,0.03425,0.93075,0.035,0.03425,0.009941117511044038,0.14355404348078032,1.0,20.000000000000014,23.122959327697757,9.724999999999982,9.724999999999982,14.329999999999963,0.8,1.0,0.0,0.909,0.09099999999999997,0.09099999999999997,0.0,2.740443505899748e-06,0.0,6.281870162938574e-11,2.740443505899748e-06,6.281870162938574e-11,0.6462182998657227,0.5,0.10938311368227005,,,,,0.1665903776884079,0.5,275,0.0,0.0,0.0,256,68,0.265625,68,0.20925,1.77
8,CP-EFT,-1.626599823138514,-325.3199646277028,0.1,0.1,0.48184019370460046,0.7752808988764045,0.94425,0.02625,0.0295,0.94425,0.02625,0.0295,0.011201855624850198,0.2009301457372233,1.0,20.000000000000014,24.66085557937622,6.149999999999994,6.149999999999994,6.374999999999993,0.9,1.0,0.0,0.9275,0.07250000000000001,0.07250000000000001,0.0,5.474308636621572e-06,0.0,2.5235550538127427e-07,5.474308636621572e-06,2.5235550538127427e-07,0.5955747961997986,0.3636363744735718,0.13684935867786407,,,,,0.18939879536628723,0.5,222,0.0,0.0,0.0,202,63,0.3118811881188119,63,0.14025,1.605
9,CP-EFT,-0.6892623976964558,-137.85247953929115,0.1,0.1,0.38173302107728335,0.704225352112676,0.95025,0.024,0.02575,0.95025,0.024,0.02575,0.006467783081426344,0.13000569007892152,0.9681974043785722,20.000000000000014,23.63827962875366,10.09999999999998,10.09999999999998,13.06999999999997,0.9,1.0,0.0,0.933,0.06699999999999995,0.06699999999999995,0.0,2.4046998987614643e-06,0.0,1.0918167064888351e-10,2.4046998987614643e-06,1.0918167064888351e-10,0.5281878709793091,0.3333333432674408,0.1695466935634613,,,,,0.17181187868118286,0.5,199,0.0,0.0,0.0,175,75,0.42857142857142855,75,0.1025,0.995
10,CP-EFT,-0.37857272644799883,-75.71454528959977,0.1,0.1,0.4821852731591449,0.8202247191011236,0.95075,0.02375,0.0255,0.95075,0.02375,0.0255,0.007912311801085583,0.1606560771794027,1.0,20.000000000000014,24.233683586120605,6.449999999999993,6.449999999999993,6.674999999999992,0.9,1.0,0.0,0.93225,0.06774999999999998,0.06774999999999998,0.0,2.244697043352062e-06,0.0,1.3917082763992283e-11,2.244697043352062e-06,1.3917082763992283e-11,0.6815270185470581,0.5,0.09771867841482162,,,,,0.20997321605682373,0.5,197,0.0,0.0,0.0,181,41,0.2265193370165746,41,0.18925,1.36
