episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,LB-Greedy,-0.4297348132757537,-85.94696265515074,0.25,0.25,0.5793269230769231,0.803921568627451,0.92225,0.04025,0.0375,0.92225,0.04025,0.0375,0.015771562559133208,0.20284967921714733,1.0,20.000000000000014,22.748966503143315,9.93999999999998,9.93999999999998,12.87999999999997,0.75,1.0,0.0,0.91625,0.08374999999999999,0.08374999999999999,0.0,8.598599379183725e-07,0.0,1.9995002875639045e-10,8.598599379183725e-07,1.9995002875639045e-10,0.6841376423835754,0.5,0.09953847527503967,,,,,0.1632045954465866,0.5,311,0.0,0.0,0.0,289,71,0.24567474048442905,71,0.1575,2.0
2,LB-Greedy,-1.6972677156303646,-339.45354312607293,0.2,0.2,0.6042154566744731,0.8615384615384616,0.9275,0.03425,0.03825,0.9275,0.03425,0.03825,0.013030775534071165,0.17973483495270576,1.0,20.000000000000014,23.37059783935547,9.174999999999983,9.174999999999983,13.029999999999967,0.8,1.0,0.0,0.9205,0.07950000000000002,0.07950000000000002,0.0,6.275770374486456e-06,0.0,2.498670141903858e-07,6.275770374486456e-06,2.498670141903858e-07,0.7166513204574585,0.5,0.08380021154880524,,,,,0.17340515553951263,0.5,285,0.0,0.0,0.0,265,39,0.1471698113207547,39,0.14325,1.43
3,LB-Greedy,-0.6786783034816587,-135.73566069633173,0.25,0.25,0.5035799522673031,0.8125,0.93975,0.0315,0.02875,0.93975,0.0315,0.02875,0.007979706846440136,0.13244326716083216,1.0,20.000000000000014,24.13595600128174,8.959999999999983,8.959999999999983,12.099999999999973,0.75,1.0,0.0,0.93375,0.06625000000000003,0.06625000000000003,0.0,1.6405807627961622e-06,0.0,1.472972188665267e-09,1.6405807627961622e-06,1.472972188665267e-09,0.7313405871391296,0.5,0.07751237601041794,,,,,0.1936590075492859,0.5,238,0.0,0.0,0.0,218,33,0.15137614678899083,33,0.094,1.34
4,LB-Greedy,-1.5540132467182803,-310.80264934365607,0.2,0.2,0.41895261845386533,0.7,0.95,0.0215,0.0285,0.95,0.0215,0.0285,0.009100019476970192,0.18200038953940378,0.9009256369478802,20.000000000000014,23.620574283599858,7.224999999999991,7.224999999999991,10.304999999999978,0.8,1.0,0.0,0.94525,0.054749999999999965,0.054749999999999965,0.0,1.141366647061659e-05,0.0,1.49920981584728e-06,1.141366647061659e-05,1.49920981584728e-06,0.7357257008552551,0.5,0.08000685274600983,,,,,0.22028784453868866,0.5,196,0.0,0.0,0.0,169,23,0.13609467455621302,23,0.1055,1.1
5,LB-Greedy,-0.35210922179251997,-70.42184435850399,0.1,0.1,0.4431279620853081,0.7475728155339806,0.945,0.02425,0.03075,0.945,0.02425,0.03075,0.01040056373038621,0.18910115873429467,1.0,20.000000000000014,23.51468801498413,7.899999999999988,7.899999999999988,8.799999999999985,0.9,1.0,0.0,0.9385,0.0615,0.0615,0.0,1.7510674297227524e-06,0.0,1.3820991573432195e-10,1.7510674297227524e-06,1.3820991573432195e-10,0.7005640864372253,0.5,0.08984268456697464,,,,,0.21823042631149292,0.5,216,0.0,0.0,0.0,190,32,0.16842105263157894,32,0.119,1.205
6,LB-Greedy,-1.2629358199014478,-252.58716398028955,0.2,0.2,0.6096385542168675,0.8207547169811321,0.92825,0.0375,0.03425,0.92825,0.0375,0.03425,0.013505693852284995,0.1882326669308013,1.0,20.000000000000014,23.064948177337648,8.349999999999987,8.349999999999987,13.524999999999965,0.8,1.0,0.0,0.918,0.08199999999999996,0.08199999999999996,0.0,4.8392412281828e-06,0.0,2.7805350910625748e-08,4.8392412281828e-06,2.7805350910625748e-08,0.7003538012504578,0.5,0.0913463607430458,,,,,0.17303934693336487,0.5,279,0.0,0.0,0.0,257,50,0.19455252918287938,50,0.15075,1.71
7,LB-Greedy,-0.6541892718403126,-130.83785436806252,0.0,0.0,0.35962877030162416,0.7156862745098039,0.94075,0.02575,0.0335,0.94075,0.02575,0.0335,0.012283066309073673,0.20730913601812107,1.0,20.000000000000014,25.65627098083496,0.0,0.0,0.0,1.0,1.0,0.0,0.93425,0.06574999999999998,0.06574999999999998,0.0,4.065735538461013e-06,4.778059458504513e-13,3.2683736272964836e-10,4.065735538461013e-06,3.2683736272964836e-10,0.5630671381950378,0.3333333432674408,0.1514449417591095,,,,,0.21943752467632294,0.5,236,0.0,0.0,0.0,205,74,0.36097560975609755,74,0.13975,1.365
8,LB-Greedy,-0.6407225843045695,-114.04862000621337,0.45,0.45,0.6973365617433414,0.8992805755395683,0.9039325842696629,0.04129213483146067,0.054775280898876406,0.9039325842696629,0.04129213483146067,0.054775280898876406,0.019304664773174676,0.20094914208333867,1.0,17.799999999999983,19.4810949897766,8.44444444444443,8.44444444444443,10.999999999999977,0.55,0.0,0.0,0.8941011235955056,0.10589887640449436,0.10589887640449436,0.0,3.4201086691609817e-06,0.0,2.214118194343584e-10,3.4201086691609817e-06,2.214118194343584e-10,0.6846445202827454,0.5,0.09870999306440353,,,,,0.162727952003479,0.5,337,0.0,0.0,0.0,323,73,0.2260061919504644,73,0.1960674157303371,2.297752808988764
9,LB-Greedy,-0.7257589713533699,-145.15179427067397,0.3,0.3,0.585480093676815,0.8666666666666667,0.91825,0.0395,0.04225,0.91825,0.0395,0.04225,0.013754239931772267,0.1682475832632693,0.9789940333760357,20.000000000000014,22.69054708480835,10.833333333333309,10.833333333333309,13.474999999999968,0.7,1.0,0.0,0.9115,0.08850000000000002,0.08850000000000002,0.0,3.179901113981032e-06,0.0,2.110499136565025e-10,3.179901113981032e-06,2.110499136565025e-10,0.6418532133102417,0.5,0.11167662590742111,,,,,0.14185833930969238,0.5,322,0.0,0.0,0.0,304,85,0.27960526315789475,85,0.13625,1.725
10,LB-Greedy,-0.6331232285603025,-126.62464571206048,0.35,0.35,0.7102137767220903,0.9225352112676056,0.90925,0.039,0.05175,0.90925,0.039,0.05175,0.01644612362223963,0.18122450272440366,1.0,20.000000000000014,22.5208236694336,10.842857142857119,10.842857142857119,12.409999999999972,0.65,1.0,0.0,0.903,0.09699999999999998,0.09699999999999998,0.0,3.208582938896143e-06,0.0,1.675915795029681e-10,3.208582938896143e-06,1.675915795029681e-10,0.7124554514884949,0.47660455107688904,0.09322697669267654,,,,,0.16103097796440125,0.5,363,0.0,0.0,0.0,351,77,0.21937321937321938,77,0.24175,2.22
11,LB-Greedy,-0.2025939075136458,-40.51878150272916,0.15,0.15,0.3616504854368932,0.6304347826086957,0.943,0.02725,0.02975,0.943,0.02725,0.02975,0.01331993165208977,0.23368301144017145,1.0,20.000000000000014,23.702885818481445,6.599999999999992,6.599999999999992,7.569999999999989,0.85,1.0,0.0,0.93575,0.06425000000000003,0.06425000000000003,0.0,6.91363993610139e-07,2.897827919463858e-13,1.3463574699557057e-10,6.91363993610139e-07,1.3463574699557057e-10,0.5189099907875061,0.3333333432674408,0.17616082727909088,,,,,0.20485003292560577,0.5,224,0.0,0.0,0.0,190,72,0.37894736842105264,72,0.11275,1.455
12,LB-Greedy,-0.5203720455236265,-104.07440910472529,0.25,0.25,0.5036674816625917,0.7983193277310925,0.94075,0.025,0.03425,0.94075,0.025,0.03425,0.011422863619852513,0.1927909471705066,1.0,20.000000000000014,24.30785999298096,7.899999999999989,7.899999999999989,9.219999999999983,0.75,1.0,0.0,0.93175,0.06825000000000003,0.06825000000000003,0.0,2.592955752334092e-06,0.0,2.463953763243154e-10,2.592955752334092e-06,2.463953763243154e-10,0.6769822239875793,0.5,0.1018608808517456,,,,,0.20317065715789795,0.5,234,0.0,0.0,0.0,210,40,0.19047619047619047,40,0.11875,1.315
