episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Static,-0.008305859446954401,-1.2375730575962058,0.65,0.65,0.8701923076923077,0.0,0.10503355704697986,0.8949664429530201,0.0,0.10503355704697986,0.8949664429530201,0.0,1.0,1.0,1.0,14.899999999999963,15.703728446960426,9.653846153846134,9.653846153846134,14.239999999999965,0.35,0.0,0.0,0.8429530201342282,0.15704697986577176,0.15704697986577176,0.0,0.0,0.0,0.0,0.0,0.0,0.7416702508926392,0.6181818246841431,0.07206076383590698,,,,,0.05582956597208977,0.125,451,0.0,0.0,0.0,440,94,0.21363636363636362,94,0.038926174496644296,22.57718120805369
2,Static,-0.07277540430523423,-11.061861454395602,0.5,0.5,0.8337236533957846,0.0,0.08092105263157895,0.9190789473684211,0.0,0.08092105263157895,0.9190789473684211,0.0,1.0,1.0,1.0,15.199999999999962,16.236505270004255,8.149999999999988,8.149999999999988,11.92499999999997,0.5,0.0,0.0,0.8184210526315789,0.18157894736842106,0.18157894736842106,0.0,0.0,0.0,0.0,0.0,0.0,0.6359714269638062,0.5,0.11784378439188004,,,,,0.048122338950634,0.10000000149011612,515,0.0,0.0,0.0,503,181,0.35984095427435386,181,0.06480263157894736,20.125
3,Static,-0.07395649764948432,-9.76225768973193,0.85,0.85,0.9928400954653938,0.0,0.16325757575757577,0.8367424242424243,0.0,0.16325757575757577,0.8367424242424243,0.0,1.0,1.0,1.0,13.199999999999969,13.279313011169407,9.529411764705864,9.529411764705864,12.45999999999997,0.15,0.0,0.0,0.7965909090909091,0.20340909090909087,0.20340909090909087,0.0,0.0,0.0,0.0,0.0,0.0,0.7075427174568176,0.5198147892951965,0.08523266017436981,,,,,0.054411280900239944,0.1428571492433548,463,0.0,0.0,0.0,462,118,0.2554112554112554,118,0.19507575757575757,19.62121212121212
4,Static,-0.02492292203668058,-3.090442332548392,0.75,0.75,0.970074812967581,0.0,0.12580645161290321,0.8741935483870967,0.0,0.12580645161290321,0.8741935483870967,0.0,1.0,1.0,1.0,12.399999999999972,12.728211879730205,8.966666666666649,8.966666666666649,12.259999999999971,0.25,0.0,0.0,0.8169354838709677,0.1830645161290323,0.1830645161290323,0.0,0.0,0.0,0.0,0.0,0.0,0.804651141166687,0.7142857313156128,0.04623181372880936,,,,,0.0577988401055336,0.1428571492433548,423,0.0,0.0,0.0,421,60,0.14251781472684086,60,0.08306451612903226,23.669354838709676
5,Static,-0.07409648768179908,-9.262060960224884,0.8,0.8,0.9597156398104265,0.0,0.1024,0.8976,0.0,0.1024,0.8976,0.0,1.0,1.0,1.0,12.499999999999972,12.742338991165138,9.89374999999998,9.89374999999998,11.449999999999974,0.2,0.0,0.0,0.78,0.21999999999999997,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.6953755617141724,0.5,0.09514016658067703,,,,,0.05018094182014465,0.1111111119389534,512,0.0,0.0,0.0,506,139,0.274703557312253,139,0.0804,25.864
6,Static,-0.010402039284523545,-1.4250793819797258,0.95,0.95,0.983132530120482,0.0,0.10547445255474452,0.8945255474452555,0.0,0.10547445255474452,0.8945255474452555,0.0,1.0,1.0,1.0,13.699999999999967,13.93751157760617,9.147368421052615,9.147368421052615,11.809999999999974,0.05,0.0,0.0,0.8357664233576643,0.16423357664233573,0.16423357664233573,0.0,0.0,0.0,0.0,0.0,0.0,0.8373781442642212,0.625,0.042696427553892136,,,,,0.05890209600329399,0.1428571492433548,424,0.0,0.0,0.0,424,40,0.09433962264150944,40,0.10474452554744526,21.854014598540147
7,Static,-0.0357011931331331,-5.248075390570566,0.5,0.5,0.8909512761020881,0.0,0.13401360544217686,0.8659863945578231,0.0,0.13401360544217686,0.8659863945578231,0.0,1.0,1.0,1.0,14.699999999999964,15.575866222381574,11.199999999999976,11.199999999999976,12.92999999999997,0.5,0.0,0.0,0.8010204081632653,0.19897959183673475,0.19897959183673475,0.0,0.0,0.0,0.0,0.0,0.0,0.6330750584602356,0.3317972421646118,0.13641321659088135,,,,,0.04716772586107254,0.0833333358168602,533,0.0,0.0,0.0,525,190,0.3619047619047619,190,0.16768707482993198,23.244897959183675
8,Static,-0.0014134905708238711,-0.23746641589841033,0.4,0.4,0.8571428571428571,0.0,0.14732142857142858,0.8526785714285714,0.0,0.14732142857142858,0.8526785714285714,0.0,1.0,1.0,1.0,16.79999999999997,17.627959270477284,8.587499999999984,8.587499999999984,13.194999999999968,0.6,0.0,0.0,0.8720238095238095,0.12797619047619047,0.12797619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.8274930715560913,0.7368420958518982,0.04063073918223381,,,,,0.06165117770433426,0.19999949634075165,397,0.0,0.0,0.0,383,60,0.1566579634464752,60,0.14642857142857144,21.24404761904762
9,Static,-0.08802666186175384,-12.675839308092554,0.5,0.5,0.8805620608899297,0.0,0.22465277777777778,0.7753472222222222,0.0,0.22465277777777778,0.7753472222222222,0.0,1.0,1.0,1.0,14.399999999999965,15.15856308937071,9.439999999999982,9.439999999999982,14.264999999999965,0.5,0.0,0.0,0.8315972222222222,0.1684027777777778,0.1684027777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.7387973666191101,0.6959459185600281,0.06991484016180038,,,,,0.05866169556975365,0.1428571492433548,412,0.0,0.0,0.0,404,97,0.2400990099009901,97,0.18645833333333334,20.993055555555557
10,Static,-0.00844764034220863,-1.072850323460496,0.7,0.7,0.9714964370546318,0.0,0.12637795275590552,0.8736220472440945,0.0,0.12637795275590552,0.8736220472440945,0.0,1.0,1.0,1.0,12.69999999999997,13.039301834106421,9.81874999999998,9.81874999999998,12.549999999999972,0.3,0.0,0.0,0.8192913385826772,0.18070866141732278,0.18070866141732278,0.0,0.0,0.0,0.0,0.0,0.0,0.8463228344917297,0.6666666865348816,0.037356454879045486,,,,,0.06046900525689125,0.20000000298023224,420,0.0,0.0,0.0,420,46,0.10952380952380952,46,0.19133858267716536,25.299212598425196
