episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,29.7833034992218,42,False,True,time_limit,1.0,20.000000000000014,25.511608123779297,0.0,20,True,1.3406324935953386,12.282704431218784,23773150942.36216,-0.0024932944959027946,-2.534397568073041,-0.0033263104566012345,0.0,0.003951524329724727,-1.9226656029868086e-05,-2.5880098670705145,-2.098221985592637,0.0009619262611287924,0.018438675241730085,0.9777840447153702,0.0012833082438235873,0.0,0.0015246277919171785,7.417746030086854e-06,8.018761036510114e-06,7.086319812193986e-12,3.0074183177930537e-05,8.018761036510114e-06,3.0074183177930537e-05,0.5677830576896667,0.5,0.3902711868286133,0.5,0.5,0.800000011920929,0.6703296703296703,0.8241758241758241,0.1462114453315735,91,0.0,0.0,0.0,59,13,0.22033898305084745,13,20,20,415,-2.098222017288208,-1.6338720917701721,0.005836928752250969,-7.141088485717773,0.0062890322878956795,2.099696159362793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07287012545282871,0.2333607287582556,0.0,0.0,25.511608123779297,,,5.511608123779283,0.0,0.0,0.14216867469879518,1.0,0.0,,0,0.97325,0.02675000000000005,0.02675000000000005,0.0,0.0,0.14953271028037382,0.07476635514018691,0.7757009345794392,0.14953271028037382,0.07476635514018691,0.7757009345794392,0.4922442782890007,0.8659475982189179,2.2438403129577638,-0.012691752426326275,0.09936508238315582,0.013684650510549545,1.7418776750564575,0.8760968327522278,1.7876840710639954,2.2438403129577638,-2.2438403129577638,0.02675,107,4000,-35.941959381103516,61.79854965209961,-37.22182483673096,55.07392978668213,-0.224452112801373,0.0640938401222229,0.0,0,1.0,1.0,0.588894736842104,11.18900000000002,68492002.39210516,1.0,0.0,0.32166708762159585,0.1723749943352928,0.4940420819568883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04779269404496424,0.0,0.4922225382856559,0.04,0.0,True,-1.0,5.511608123779283,0.0
2,200,29.52159881591797,42,False,True,time_limit,1.0,20.000000000000014,25.704357147216797,0.0,20,True,1.3779989047582037,12.680689095581112,22828511309.266254,-0.0024006291697645297,-4.699601329681706,-0.0034083462749823963,0.0,0.0032690168810688243,-1.659037018665099e-05,-4.751890090266887,-3.8732079891048756,0.000504845521635726,0.009774567296895206,0.988312861746919,0.0007167655774496186,0.0,0.000687470949193951,3.488907906518169e-06,5.325614438334014e-06,4.23555513578977e-11,4.0164083657145966e-05,5.325614438334014e-06,4.0164083657145966e-05,0.5644927620887756,0.5,0.4010869860649109,0.5,0.5,0.8333333134651184,0.6739130434782609,0.8695652173913043,0.14818896353244781,92,0.0,0.0,0.0,55,10,0.18181818181818182,10,20,20,420,-3.8732080459594727,-3.8174771070480347,-1.5555464982986458,-7.6760687828063965,0.00520339235663414,3.8733108043670654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07758848547798132,0.44624404831185227,0.0,0.0,25.704357147216797,,,5.704357147216783,0.0,0.0,0.1595238095238095,1.0,0.0,,0,0.9705,0.02949999999999997,0.02949999999999997,0.0,0.0,0.22033898305084745,0.0423728813559322,0.7372881355932204,0.22033898305084745,0.0423728813559322,0.7372881355932204,0.5003773726952978,0.8576620876789088,2.148383378982544,-0.005820563994348049,0.0625,1.0608741343021393,1.5483011603355408,1.8268728256225586,3.944968342781067,2.148383378982544,-2.148383378982544,0.0295,118,4000,-25.191099166870117,61.39675521850586,-85.23302459716797,113.69607543945312,-0.5806499123573303,0.10080862417817116,0.0,0,1.0,1.0,0.5573421052631572,10.589499999999992,66862249.8373375,1.0,0.0,0.3097842412601391,0.1719220557236558,0.48170629698379447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04647978514046212,0.0,0.5019104005696717,0.035,0.0,True,-1.0,5.704357147216783,0.0
3,200,28.687628030776978,42,False,True,time_limit,1.0,20.000000000000014,24.721208572387695,0.0,20,True,1.3424045855584399,12.270846345209588,23637905475.71218,-0.0024797098019266285,-1.019293032807546,-0.0039084147407041575,0.0,0.0037223591566330956,-1.4229254389475123e-05,-1.0783002891612528,-0.8800866426939534,0.002291705153944941,0.04862969669832807,0.9420130915522107,0.0036120896881025933,0.0,0.0034402664752156524,1.3150432198081331e-05,1.7496874988864874e-06,1.6934777148300273e-12,3.855154195875321e-09,1.7496874988864874e-06,3.855154195875321e-09,0.5901663303375244,0.5,0.3422994911670685,0.5,0.5,0.8333333134651184,0.584070796460177,0.7256637168141593,0.1383509486913681,113,0.0,0.0,0.0,85,23,0.27058823529411763,23,20,20,421,-0.8800866603851318,-0.056765155866742134,0.006630235444754362,-6.35233211517334,0.0071179368533194065,0.8829196691513062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09607859275170472,0.6464281641898898,0.0,0.0,24.721208572387695,,,4.721208572387681,0.0,0.0,0.19002375296912113,1.0,0.0,,0,0.96525,0.03474999999999995,0.03474999999999995,0.0,0.0,0.18705035971223022,0.050359712230215826,0.762589928057554,0.18705035971223022,0.050359712230215826,0.762589928057554,0.4990166167241594,0.8576009452342986,2.12026047706604,0.08746572583913803,0.0,0.2564087212085724,1.1770516633987427,0.8369012475013733,2.283475399017334,2.12026047706604,-2.12026047706604,0.03475,139,4000,-15.685394287109375,40.06401443481445,-27.462432861328125,63.69987487792969,-0.8122218251228333,0.0904979482293129,0.0,0,1.0,0.9972499999999994,0.502407894736841,9.54574999999998,66133280.55800595,1.0,0.0,0.30291001287872293,0.16995333525086811,0.4728633481295908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05261913181108126,0.0,0.4979645883535268,0.07,1.0,True,-1.0,4.721208572387681,0.0
4,200,29.53887391090393,42,False,True,time_limit,1.0,20.000000000000014,25.675891876220703,0.0,20,True,1.3559129365171028,12.447018905437464,23424828122.481358,-0.0024453747740963154,-1.1174434750696614,-0.003568793982312618,0.0,0.003720528599007732,-1.5095926940836872e-05,-1.1516081454805474,-0.9294632443919126,0.0021165774235457732,0.02436547432094705,0.9671955630175416,0.003088945241549052,0.0,0.0032203738200213836,1.30661763951006e-05,2.800426500471076e-06,3.2989910716402226e-12,8.382422711505891e-09,2.800426500471076e-06,8.382422711505891e-09,0.5666418671607971,0.45000000298023224,0.38092756271362305,0.5,0.5,0.7625000029802322,0.5625,0.84375,0.14869974553585052,96,0.0,0.0,0.0,60,12,0.2,12,20,20,428,-0.9294632077217102,-1.2604531645774841,0.004621890676207838,-2.755155324935913,0.006322189699858427,0.9304239153862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05291841105289629,0.25976833887894607,0.0,0.0,25.675891876220703,,,5.675891876220689,0.0,0.0,0.12850467289719625,1.0,0.0,,0,0.97325,0.02675000000000005,0.02675000000000005,0.0,0.0,0.102803738317757,0.06542056074766354,0.8317757009345794,0.102803738317757,0.06542056074766354,0.8317757009345794,0.5047368316468538,0.8616543531417846,2.400125503540039,0.03876757621765137,0.0,-0.3651052415370941,2.3232009410858154,0.7874149084091187,11.853654861450195,2.400125503540039,-2.400125503540039,0.02675,107,4000,-18.056806564331055,45.5261116027832,-1.720320463180542,0.629362940788269,-0.9839490652084351,0.05033787712454796,0.0,0,1.0,1.0,0.5253157894736833,9.980999999999973,67665058.40549675,1.0,0.0,0.28119311174723877,0.16786910110231967,0.4490622128495586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028150501654468262,0.0,0.5053504256086889,0.05,0.0,True,-1.0,5.675891876220689,0.0
5,200,28.792340517044067,42,False,True,time_limit,1.0,20.000000000000014,25.333148956298828,0.0,20,True,1.3714903344551357,11.644126558332072,21824469457.035122,-0.002649507000094382,-2.366886114140009,-0.0027135118535154203,0.0,0.004159598736845242,-1.4968891832075374e-05,-2.388204201075611,-1.9295247112732146,0.0011074779662918902,0.006669122350249031,0.9893441383770322,0.0011342316094779684,0.0,0.0017387727903304853,6.256906618189565e-06,6.529849997605197e-06,6.193795259665236e-12,6.69330336677332e-05,6.529849997605197e-06,6.69330336677332e-05,0.5459524393081665,0.5,0.4421428442001343,0.5,0.5,0.6666666865348816,0.7285714285714285,0.9714285714285714,0.15505781769752502,70,0.0,0.0,0.0,38,4,0.10526315789473684,4,20,20,414,-1.9295246601104736,-1.3511619567871094,0.0006149331486085332,-8.892630577087402,0.005308985244482756,1.9298677444458008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032366712412891824,0.09044247132213647,0.0,0.0,25.333148956298828,,,5.333148956298814,0.0,0.0,0.09903381642512077,1.0,0.0,,0,0.97925,0.020750000000000046,0.020750000000000046,0.0,0.0,0.1566265060240964,0.07228915662650602,0.7710843373493976,0.1566265060240964,0.07228915662650602,0.7710843373493976,0.49290559061952616,0.8638721108436584,2.2563440799713135,0.09252309799194336,0.0,-0.32005131244659424,1.6168617010116577,0.47985586524009705,1.110905647277832,2.2563440799713135,-2.2563440799713135,0.02075,83,4000,-32.489776611328125,64.52147674560547,-10.199305534362793,11.696263313293457,-1.0323079824447632,0.03964078053832054,0.0,0,1.0,0.9922499999999982,0.5141578947368433,9.769000000000013,63425741.759306505,1.0,0.0,0.25502099335727274,0.1564825904784489,0.4115035838357216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015955068081971734,0.0,0.4946326918982668,0.03,0.0,True,-1.0,5.333148956298814,0.0
6,200,29.737050771713257,42,False,True,time_limit,1.0,20.000000000000014,24.684326171875,0.0,20,True,1.3501641029297173,12.085641546005771,22475495377.238304,-0.0025325268794618816,-4.349198441963727,-0.003034943625579038,0.0,0.0041382713362812925,-1.7880173387696953e-05,-4.378415079219297,-3.5740450916255373,0.0005778632440223601,0.005396185259758511,0.9923850921196046,0.0006925029633939106,0.0,0.000944276576958626,4.079836262070502e-06,7.927648766781203e-06,3.578658550051905e-11,6.689626025035977e-05,7.927648766781203e-06,6.689626025035977e-05,0.5231245756149292,0.5,0.4338062107563019,0.5,0.5,0.6666666865348816,0.8082191780821918,1.0,0.1662982851266861,73,0.0,0.0,0.0,38,12,0.3157894736842105,12,20,20,409,-3.574044704437256,-3.784464478492737,-1.2528727650642395,-7.496051788330078,-0.008215920999646187,3.574044704437256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041776776491185455,0.09235679438146416,0.0,0.0,24.684326171875,,,4.684326171874986,0.0,0.0,0.08312958435207823,1.0,0.0,,0,0.97875,0.02124999999999999,0.02124999999999999,0.0,0.0,0.1411764705882353,0.058823529411764705,0.8,0.1411764705882353,0.058823529411764705,0.8,0.5009140278995258,0.8565237164497375,2.3898777961730957,0.10912637412548065,0.20000000298023224,-0.28478512167930603,1.3435993194580078,0.3779999911785126,1.2179006338119507,2.3898777961730957,-2.3898777961730957,0.02125,85,4000,-23.11886978149414,43.12811279296875,-10.891609191894531,17.061220169067383,-0.9155799746513367,0.09657939523458481,0.0,0,1.0,1.0,0.5881052631578941,11.174000000000003,72927357.38318275,1.0,0.0,0.3644428899917913,0.17104382487201764,0.5354867148638089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023649166750542842,0.0,0.5023614109423943,0.045,0.0,True,-1.0,4.684326171874986,0.0
7,200,29.46334433555603,42,False,True,time_limit,1.0,20.000000000000014,24.48819923400879,0.0,20,True,1.3471191896848875,12.47511713527789,23485108197.674847,-0.0024361384006430136,-1.363640413094791,-0.003055936237839096,0.0,0.0038229734591471777,-1.4098486997511553e-05,-1.390616618316174,-1.1633216647240905,0.0017470199388154287,0.01540684408017385,0.9779029756364839,0.002191493528382603,0.0,0.0027415564144177736,1.0110401726470723e-05,2.859746018657461e-06,6.5929204370179795e-12,7.122084504373986e-08,2.859746018657461e-06,7.122084504373986e-08,0.5599303841590881,0.5,0.4187137186527252,0.5,0.5,0.75,0.6951219512195121,0.8658536585365854,0.14907003939151764,82,0.0,0.0,0.0,49,11,0.22448979591836735,11,20,20,425,-1.1633217334747314,-1.2574535608291626,0.007227681973017752,-3.638537883758545,0.007344495039433241,1.1653307676315308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04123571181584221,0.20446914480728692,0.0,0.0,24.48819923400879,,,4.488199234008775,0.0,0.0,0.10588235294117647,1.0,0.0,,0,0.9765,0.023499999999999965,0.023499999999999965,0.0,0.0,0.1276595744680851,0.0851063829787234,0.7872340425531915,0.1276595744680851,0.0851063829787234,0.7872340425531915,0.4910860773572222,0.8520198583602905,2.38083815574646,0.058068275451660156,0.1666666716337204,-0.037343502044677734,1.5027003288269043,0.7050393223762512,1.1414238214492798,2.38083815574646,-2.38083815574646,0.0235,94,4000,-21.514989852905273,57.19804763793945,-20.097078323364258,26.526004791259766,-1.3308720588684082,0.08250115811824799,0.0,0,1.0,1.0,0.5455526315789481,10.365500000000004,75791528.49849764,1.0,0.0,0.27753424414661265,0.17141741527666687,0.4489516594232794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021484130582894487,0.0,0.4922525355274556,0.065,1.0,True,-1.0,4.488199234008775,0.0
8,200,30.096225023269653,42,False,True,time_limit,1.0,20.000000000000014,25.68857192993164,0.0,20,True,1.3393140858809862,12.310893102830414,23057218425.72175,-0.00247506250976633,-2.340574798118623,-0.002870254113855729,0.0,0.0038518003116604894,-1.3851059332234718e-05,-2.3770749055963094,-1.961828823823864,0.001039531397178883,0.013085076897075953,0.9830462788269709,0.0012055126920881586,0.0,0.0016177827129845838,5.817473701464183e-06,4.01189572585281e-06,7.019770507064871e-13,3.32192824714638e-07,4.01189572585281e-06,3.32192824714638e-07,0.5340375900268555,0.5,0.4364241063594818,0.5,0.5,0.7083333432674408,0.7605633802816901,0.9436619718309859,0.16170445084571838,71,0.0,0.0,0.0,35,9,0.2571428571428571,9,20,20,432,-1.9618287086486816,-1.2588586211204529,0.007243757625110448,-5.1923747062683105,0.007332035340368748,1.96482253074646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048246675521143985,0.09232388542176355,0.0,0.0,25.68857192993164,,,5.688571929931626,0.0,0.0,0.09490740740740741,1.0,0.0,,0,0.977,0.02300000000000002,0.02300000000000002,0.0,0.0,0.22826086956521738,0.05434782608695652,0.717391304347826,0.22826086956521738,0.05434782608695652,0.717391304347826,0.4940723927505592,0.8572718501091003,2.382049798965454,0.08126211166381836,0.0,0.029784461483359337,2.221729040145874,1.1316903829574585,1.4470163583755493,2.382049798965454,-2.382049798965454,0.023,92,4000,-26.973054885864258,49.350502014160156,-30.757484436035156,26.570045471191406,-1.4633846282958984,0.15129107236862183,0.0,0,1.0,1.0,0.5505131578947364,10.459749999999993,72606416.61405265,1.0,0.0,0.3043606809678997,0.16626352495860666,0.4706242059265064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031154790854084388,0.0,0.49407638016855343,0.03,0.0,True,-1.0,5.688571929931626,0.0
9,200,29.20605158805847,42,False,True,time_limit,1.0,20.000000000000014,24.719267654418946,12.599999999999971,20,True,1.3446853152483327,12.096465500574425,22739605904.46712,-0.0025318702459013387,-0.8346234109857471,-0.00347855317532437,0.0,0.003584183258212105,-7.718926688946402e-06,-0.8920711265911919,-0.7323943463517668,0.0028267811915823095,0.05742868155574174,0.9318399171711418,0.003883733262335997,0.0,0.004001672266315684,1.921455288248877e-05,1.6917223319978802e-06,1.340660167516855e-12,5.132353475545393e-09,1.6917223319978802e-06,5.132353475545393e-09,0.5958555936813354,0.5,0.36451882123947144,0.5,0.5,0.800000011920929,0.5480769230769231,0.7403846153846154,0.1337905079126358,104,0.0,0.0,0.0,69,13,0.18840579710144928,13,20,20,410,-0.7323943376541138,-0.1273689642548561,0.006217393931001425,-6.314564228057861,0.006250979378819466,0.7341045141220093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07949044863618733,0.30377242434557916,0.0,0.0,24.719267654418946,,,4.719267654418932,0.05,0.05,0.18292682926829268,0.95,0.0,,0,0.96875,0.03125,0.03125,0.0,0.0,0.168,0.064,0.768,0.168,0.064,0.768,0.5006541296181385,0.8610688149929047,2.2754149436950684,0.040575332939624786,0.0,0.058673057705163956,1.72530198097229,0.912779688835144,0.9420238137245178,2.2754149436950684,-2.2754149436950684,0.03125,125,4000,-12.028702735900879,32.17875671386719,-15.387081146240234,16.280597686767578,-1.4632402658462524,0.16126787662506104,0.0,0,1.0,0.9877499999999972,0.6014473684210526,11.427500000000014,66612891.684247926,1.0,0.0,0.29859691248825426,0.17265244356015058,0.4712493560484048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051437292184237225,0.0,0.49735403923504057,0.045,0.0,True,-1.0,4.719267654418932,0.0
10,200,27.735339879989624,42,False,True,time_limit,1.0,20.000000000000014,24.59223747253418,0.0,20,True,1.3781957290390858,11.682925382346983,21106475593.309414,-0.0026477522861341717,-3.4226289481018513,-0.0037487323570445123,0.0,0.003885404263642322,-1.7074289938466464e-05,-3.4673341367412522,-2.8896220448431396,0.0007627685618922239,0.01103603052601564,0.985996225668843,0.0010799405986262236,0.0,0.0011201158568457932,4.918787777050746e-06,4.045071818836732e-06,5.856836933840204e-12,2.5727895263116807e-05,4.045071818836732e-06,2.5727895263116807e-05,0.536200761795044,0.5,0.41018515825271606,0.5,0.5,0.75,0.7419354838709677,0.9139784946236559,0.1612357795238495,93,0.0,0.0,0.0,61,14,0.22950819672131148,14,20,20,401,-2.889622211456299,-1.9675340056419373,-1.2483209788799485,-8.110318183898926,-0.05878984183073044,2.889622211456299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062069260151300036,0.20656787099912557,0.0,0.0,24.59223747253418,,,4.5922374725341655,0.0,0.0,0.1396508728179551,1.0,0.0,,0,0.973,0.027000000000000024,0.027000000000000024,0.0,0.0,0.1388888888888889,0.09259259259259259,0.7685185185185185,0.1388888888888889,0.09259259259259259,0.7685185185185185,0.4950761888723034,0.8651118040084838,2.0708211064338684,-0.0355699323117733,0.16346153989434242,-0.14353279769420624,1.4940537214279175,0.5957293659448624,1.9257649183273315,2.0708211064338684,-2.0708211064338684,0.027,108,4000,-33.28676223754883,61.797908782958984,-28.113839149475098,44.32622575759888,-1.7159305214881897,0.21496012806892395,0.0,0,1.0,0.9972499999999994,0.4733157894736833,8.992999999999988,70308257.93947326,1.0,0.0,0.2806721706026048,0.16386824540860984,0.44454041601121463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038308703996158114,0.0,0.49161868263047653,0.055,0.04999999999998295,True,-1.0,4.5922374725341655,0.0
