episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-1.5196572341318404,-303.9314468263681,0.3,0.3,0.6658653846153846,0.8773584905660378,0.92175,0.04475,0.0335,0.92175,0.04475,0.0335,0.009920012228949476,0.12677331921980164,0.9113172956924624,20.000000000000014,23.744558048248297,8.733333333333318,8.733333333333318,13.049999999999969,0.7,1.0,0.0,0.91025,0.08975,0.08975,0.0,4.908255959890084e-06,0.0,5.212442374613573e-07,4.908255959890084e-06,5.212442374613573e-07,0.6975266933441162,0.5,0.09467345476150513,,,,,0.16141821444034576,0.5,313,0.0,0.0,0.0,298,64,0.21476510067114093,64,0.1595,2.34
1,CP-EFT,-0.3740000686503616,-74.80001373007232,0.1,0.1,0.5,0.8043478260869565,0.94775,0.02775,0.0245,0.94775,0.02775,0.0245,0.006847946292374586,0.13106117305980072,0.8882916925149914,20.000000000000014,23.742077445983888,7.549999999999989,7.549999999999989,8.854999999999984,0.9,1.0,0.0,0.93325,0.06674999999999998,0.06674999999999998,0.0,1.4902723250997951e-06,2.8376480852576602e-12,4.220839372459633e-10,1.4902723250997951e-06,4.220839372459633e-10,0.6967220306396484,0.5,0.09101449698209763,,,,,0.1842411905527115,0.5,209,0.0,0.0,0.0,190,35,0.18421052631578946,35,0.125,1.3
1,LB-Greedy,-0.3426396690702019,-68.52793381404038,0.15,0.15,0.4423076923076923,0.6808510638297872,0.936,0.0345,0.0295,0.936,0.0345,0.0295,0.009928700651995971,0.15513594768743702,1.0,20.000000000000014,24.509493637084965,9.799999999999981,9.799999999999981,11.089999999999977,0.85,1.0,0.0,0.92825,0.07174999999999998,0.07174999999999998,0.0,1.5724286868135096e-06,0.0,5.5013422463334134e-11,1.5724286868135096e-06,5.5013422463334134e-11,0.6229651570320129,0.3636363744735718,0.1290779709815979,,,,,0.175042062997818,0.5,254,0.0,0.0,0.0,224,72,0.32142857142857145,72,0.1115,1.66
1,Greedy,-0.017538394516005428,-2.420298443208749,0.55,0.55,0.9278846153846154,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13.799999999999967,14.284785451889018,11.036363636363612,11.036363636363612,13.199999999999969,0.45,0.0,0.0,0.7985507246376812,0.20144927536231882,0.20144927536231882,0.0,0.0,0.0,0.0,0.0,0.0,0.6833261251449585,0.47826087474823,0.1025213897228241,,,,,0.04590023681521416,0.10000000149011612,556,0.0,0.0,0.0,545,159,0.29174311926605506,159,0.0,27.82608695652174
1,Random,-3.5387305234996678,-707.7461046999335,0.0,0.0,0.08653846153846154,0.4067796610169492,0.095,0.112,0.793,0.095,0.112,0.793,0.6417893869790388,0.6041871679326399,0.9598003174894125,20.000000000000014,25.877323150634766,0.0,0.0,0.0,1.0,1.0,0.0,0.97925,0.020750000000000046,0.020750000000000046,0.0,9.751640391186811e-06,4.470083504737321e-11,7.456522871507332e-05,9.751640391186811e-06,7.456522871507332e-05,0.5247685313224792,0.4000000059604645,0.16728460788726807,,,,,0.41712963581085205,0.5,72,0.0,0.0,0.0,37,9,0.24324324324324326,9,0.04925,0.045
1,Local-Only,-0.16659193692568627,-29.98654864662353,0.65,0.65,0.8942307692307693,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.999999999999986,19.17533283233642,8.507692307692293,8.507692307692293,13.539999999999965,0.35,0.0,0.0,0.8927777777777778,0.10722222222222222,0.10722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.1141666666666667,0.0
1,Static,-0.013414870580883372,-1.9451562342280888,0.5,0.5,0.8774038461538461,0.0,0.0996551724137931,0.9003448275862069,0.0,0.0996551724137931,0.9003448275862069,0.0,1.0,1.0,1.0,14.499999999999964,15.542378664016704,9.359999999999982,9.359999999999982,13.959999999999965,0.5,0.0,0.0,0.8272413793103448,0.1727586206896552,0.1727586206896552,0.0,0.0,0.0,0.0,0.0,0.0,0.6971898674964905,0.5,0.08605574071407318,,,,,0.051071278750896454,0.1111111119389534,481,0.0,0.0,0.0,469,119,0.2537313432835821,119,0.05413793103448276,24.06896551724138
2,EFT,-1.6853845328814163,-337.07690657628325,0.25,0.25,0.5597189695550351,0.8369565217391305,0.926,0.0455,0.0285,0.926,0.0455,0.0285,0.009491105329441217,0.12825818012758403,1.0,20.000000000000014,23.002127647399906,10.07999999999998,10.07999999999998,14.659999999999963,0.75,1.0,0.0,0.914,0.08599999999999997,0.08599999999999997,0.0,7.844334504625294e-06,0.0,3.150663062001479e-07,7.844334504625294e-06,3.150663062001479e-07,0.6270106434822083,0.5,0.11987878382205963,,,,,0.16095419228076935,0.5,294,0.0,0.0,0.0,276,82,0.2971014492753623,82,0.104,2.235
2,CP-EFT,-2.493220260892613,-498.64405217852254,0.25,0.25,0.5644028103044496,0.839622641509434,0.932,0.0345,0.0335,0.932,0.0345,0.0335,0.011244755740877748,0.16536405501290813,1.0,20.000000000000014,22.80587244033814,12.319999999999974,12.319999999999974,14.119999999999965,0.75,1.0,0.0,0.9125,0.08750000000000002,0.08750000000000002,0.0,1.533329123049043e-05,0.0,0.00019952624279540032,1.533329123049043e-05,0.00019952624279540032,0.5960808396339417,0.3179425776004791,0.14084099233150482,,,,,0.16535456478595734,0.5,270,0.0,0.0,0.0,252,85,0.3373015873015873,85,0.17225,1.735
2,LB-Greedy,-0.29057923824893256,-58.11584764978651,0.25,0.25,0.5433255269320844,0.8484848484848485,0.93625,0.02675,0.037,0.93625,0.02675,0.037,0.013667748004013882,0.21439604712178637,1.0,20.000000000000014,23.351988792419437,8.499999999999986,8.499999999999986,11.539999999999974,0.75,1.0,0.0,0.92825,0.07174999999999998,0.07174999999999998,0.0,9.073558544514526e-07,0.0,1.3090663900094944e-10,9.073558544514526e-07,1.3090663900094944e-10,0.7023324966430664,0.5,0.08954419195652008,,,,,0.19902701675891876,0.5,252,0.0,0.0,0.0,232,32,0.13793103448275862,32,0.142,1.305
