episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-367.6469078626315,-1.8332345393131575,1.035149057706197,0.0,0.0,0.0,0.13734939759036144,0.5,0.16822429906542055,0.06542056074766354,0.7663551401869159,0.49221240120753645,0.066,0.066,0.025,0.4071191472284736,1875.2082386100117,28.04878048780488,-452687.69910451205,0.2804878048780488,0.2774689125892082,-0.3707606677321571,-1875.5789992777438,5.041940906013961,20,20,29.738741636276245
2,,-297.7052523354459,-1.4835262616772296,0.7658366560935974,0.05,0.05,0.05,0.1595238095238095,0.48484848484848486,0.2605042016806723,0.09243697478991597,0.6470588235294118,0.5038270155645441,0.09975,0.09975,0.07,0.2444205899992297,1857.4430379396408,32.467532467532465,-14584.99702351384,0.3246753246753247,0.3748464725500029,0.10056070861312756,-1857.3424772310277,4.783611454577018,20,20,29.13190531730652
3,,-310.2577376826488,-1.5462886884132439,0.7347891926765442,0.0,0.0,0.0,0.09026128266033254,0.4918032786885246,0.15476190476190477,0.047619047619047616,0.7976190476190477,0.5006925127163995,0.0725,0.0725,0.05,0.3246935580715993,1373.5204231879582,32.83582089552239,-160072.2480231104,0.3283582089552239,0.3877185930908345,-1.6873454142248854,-1375.207768602183,5.403967443769663,20,20,29.001776218414307
4,,-317.13471580468223,-1.5806735790234112,1.0631217658519745,0.0,0.0,0.0,0.10747663551401869,0.4722222222222222,0.1414141414141414,0.0707070707070707,0.7878787878787878,0.5086608676954638,0.054,0.054,0.035,0.2933605528948581,1607.2506088600228,39.743589743589745,-26392.898029002205,0.3974358974358974,0.2906258687945861,0.2787218765521149,-1606.9718869834708,4.855356422698823,20,20,30.04725670814514
5,,-464.03469053104504,-2.315173452655225,692337472.2424574,0.0,0.0,0.0,0.09178743961352658,0.4032258064516129,0.16091954022988506,0.04597701149425287,0.7931034482758621,0.49768145333009306,0.05325,0.05325,0.015,0.3717972534696792,2005.8716194598414,26.08695652173913,-517833.5274234739,0.2608695652173913,0.2630831506994771,-0.042724994865447355,-2005.914344454707,5.050597840505286,20,20,29.497143268585205
6,,-456.1998538519761,-2.2759992692598807,0.0,0.0,0.0,0.0,0.05623471882640587,0.4166666666666667,0.1016949152542373,0.03389830508474576,0.864406779661017,0.5065803641201928,0.023,0.023,0.005,0.4086501308846758,1826.2485017657673,31.372549019607842,-347020.4288709252,0.3137254901960784,0.24876022915324397,-0.08628450667864082,-1826.3347862724459,5.602497746264962,20,20,29.693297863006592
7,,-372.753564552593,-1.858767822762965,0.8516963124275208,0.0,0.0,0.0,0.10465116279069768,0.4588235294117647,0.0594059405940594,0.04950495049504951,0.8910891089108911,0.49606027620786336,0.0715,0.0715,0.04,0.31197357318688046,1576.7998242438296,35.55555555555556,-200414.82639909937,0.35555555555555557,0.48949552797050544,-0.26010882914047495,-1577.0599330729701,4.825302231001805,20,20,29.370420217514038
8,,-147.17922756127822,-0.7308961378063912,2.791633367538452,0.0,0.0,0.0,0.10983981693363844,0.4925373134328358,0.14772727272727273,0.06818181818181818,0.7840909090909091,0.4986316721623298,0.0455,0.0455,0.035,0.23326574965261093,1205.4930543112914,31.88405797101449,-692.1817040795131,0.3188405797101449,0.3363594894942426,0.20254301898195098,-1205.2905112923095,5.276106919332248,20,20,31.004151344299316
9,,-497.1318048270517,-2.4806590241352584,0.828983166388103,0.0,0.0,0.0,0.11298076923076923,0.45454545454545453,0.18478260869565216,0.09782608695652174,0.717391304347826,0.5003540785487276,0.06575,0.06575,0.07,0.16007091862796086,4924.6538866346145,46.96969696969697,-1468315.883932196,0.4696969696969697,0.20520294689823446,-0.3545266792390135,-4925.008413313853,4.54084158199342,20,20,29.01073908805847
10,,-636.870481391934,-3.17935240695967,0.6070922911167145,0.0,0.0,0.0,0.11325301204819277,0.4861111111111111,0.12903225806451613,0.053763440860215055,0.8172043010752689,0.4978010571352206,0.0465,0.0465,0.025,0.4121353018186339,2221.2176165541514,38.15789473684211,-193214.2309234663,0.3815789473684211,0.18327445921731897,-0.3337443176005229,-2221.551360871752,5.485802150509403,20,20,29.028743505477905
