source,metric,mean
Ours (MAPPO),steps,147.93375
Ours (MAPPO),elapsed_sec,16.75877960264683
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.7675
Ours (MAPPO),truncated,0.2325
Ours (MAPPO),time_limit_rate,0.2325
Ours (MAPPO),episode_time_seconds,14.793374999999978
Ours (MAPPO),mean_cft_est,16.120046944165214
Ours (MAPPO),mean_cft_completed,8.100712340053398
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,1.3507384010727026
Ours (MAPPO),deadline_seconds,12.149154214059836
Ours (MAPPO),critical_path_cycles,22771315224.826736
Ours (MAPPO),r_time,-0.0025190903700964278
Ours (MAPPO),r_interf,-0.3879501571195304
Ours (MAPPO),r_risk,-0.012803091391193096
Ours (MAPPO),r_illegal,0.0
Ours (MAPPO),r_pbrs,0.0010083812535420327
Ours (MAPPO),r_term,0.006791496411901232
Ours (MAPPO),r_step,-0.42224758517466704
Ours (MAPPO),r_total,-0.3424273545469345
Ours (MAPPO),abs_ratio_r_time,0.06973511808778142
Ours (MAPPO),abs_ratio_r_energy,0.11510281745029471
Ours (MAPPO),abs_ratio_r_interf,0.1998060495642277
Ours (MAPPO),abs_ratio_r_risk,0.37093168833533746
Ours (MAPPO),abs_ratio_r_illegal,0.0
Ours (MAPPO),abs_ratio_r_pbrs,0.010346252748055425
Ours (MAPPO),abs_ratio_r_term,0.2340780738143031
Ours (MAPPO),I_total_mean,1.063262500856436e-06
Ours (MAPPO),I_total_p50,2.354031392575183e-12
Ours (MAPPO),I_total_p95,5.3995137425072506e-06
Ours (MAPPO),I_caused_mean,1.063262500856436e-06
Ours (MAPPO),I_caused_p95,5.3995137425072506e-06
Ours (MAPPO),rho_selected_mean,0.7084091798588633
Ours (MAPPO),rho_selected_p10,0.5712843189910055
Ours (MAPPO),uncertainty_selected_mean,0.11542900049593297
Ours (MAPPO),uncertainty_selected_p90,0.22792666825558988
Ours (MAPPO),rho_selected_p50,0.6858935370855034
Ours (MAPPO),rho_selected_p95,0.874664756923914
Ours (MAPPO),rho_selected_lt_0p6_rate,0.3005621401958472
Ours (MAPPO),rho_selected_lt_0p7_rate,0.41810058381499177
Ours (MAPPO),risk_penalty_mean,0.0906910542491823
Ours (MAPPO),chain_tx_total,432.83625
Ours (MAPPO),chain_p95_mean,0.0
Ours (MAPPO),chain_pfail_mean,0.0
Ours (MAPPO),chain_risk_cost_total,0.0
Ours (MAPPO),trust_attempts,420.87
Ours (MAPPO),trust_failures,99.055
Ours (MAPPO),trust_failure_rate,0.22424219679277144
Ours (MAPPO),trust_retry_count,99.055
Ours (MAPPO),episode_vehicle_count,20.0
Ours (MAPPO),episode_task_count,20.0
Ours (MAPPO),total_subtasks,419.80125
Ours (MAPPO),reward_mean,-0.3424273575697771
Ours (MAPPO),reward_p50,-0.28809825143427586
Ours (MAPPO),reward_p95,0.0009934452574888964
Ours (MAPPO),reward_min,-1.321130032762885
Ours (MAPPO),reward_max,0.14936218930516135
Ours (MAPPO),reward_abs_mean,0.353732690414181
Ours (MAPPO),dT_mean,0.0
Ours (MAPPO),cft_prev_rem_mean,0.0
Ours (MAPPO),cft_curr_rem_mean,0.0
Ours (MAPPO),dCFT_abs_mean,0.0
Ours (MAPPO),dCFT_abs_p95,0.0
Ours (MAPPO),dCFT_rem_mean,0.0
Ours (MAPPO),dCFT_rem_p95,0.0
Ours (MAPPO),dt_used_mean,0.0
Ours (MAPPO),implied_dt_mean,0.0
Ours (MAPPO),dT_eff_mean,0.0
Ours (MAPPO),dT_eff_p95,0.0
Ours (MAPPO),energy_norm_mean,0.031034630735399027
Ours (MAPPO),energy_norm_p95,0.18670903104430964
Ours (MAPPO),t_tx_mean,0.0
Ours (MAPPO),reward_step_p95,0.0
Ours (MAPPO),mean_cft,16.120046944165214
Ours (MAPPO),delta_cft_rem_mean,
Ours (MAPPO),delta_cft_rem_p95,
Ours (MAPPO),mean_cft_rem,1.3266719441652348
Ours (MAPPO),success_rate_end,0.55
Ours (MAPPO),task_success_rate,0.55
Ours (MAPPO),subtask_success_rate,0.785835381043856
Ours (MAPPO),deadline_miss_rate,0.45
Ours (MAPPO),illegal_action_rate,0.0
Ours (MAPPO),top_illegal_reason,
Ours (MAPPO),top_illegal_reason_count,0.0
Ours (MAPPO),no_task_rate,0.837955997940333
Ours (MAPPO),on_task_rate,0.16204400205966685
Ours (MAPPO),has_task_available_rate,0.16204400205966685
Ours (MAPPO),unified_illegal_trigger_rate,0.0
Ours (MAPPO),hard_trigger_rate,0.0
Ours (MAPPO),decision_local_frac,0.04948793533314563
Ours (MAPPO),decision_rsu_frac,0.8179947144162821
Ours (MAPPO),decision_v2v_frac,0.13251735025057218
Ours (MAPPO),decision_frac_local,0.04948793533314563
Ours (MAPPO),decision_frac_rsu,0.8179947144162821
Ours (MAPPO),decision_frac_v2v,0.13251735025057218
Ours (MAPPO),power_ratio_mean,0.5378595825157833
Ours (MAPPO),power_ratio_p95,0.895740931548178
Ours (MAPPO),entropy,0.572642838744627
Ours (MAPPO),approx_kl,0.02815916616484774
Ours (MAPPO),clip_frac,0.1365651391556348
Ours (MAPPO),policy_loss,0.014981322488559212
Ours (MAPPO),value_loss,1.432259082730107
Ours (MAPPO),total_loss,1990026.1766564623
Ours (MAPPO),grad_norm,2745094.966247629
Ours (MAPPO),policy_entropy,0.572642838744627
Ours (MAPPO),entropy_loss,-0.572642838744627
