window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
全程,CP-EFT,CP-EFT,120,0.08147043116186468,0.0,0.0,0.0,0.0,0.9399782843464929,0.9399782843464929,0.030475186712123844,0.030475186712123844,0.02954652894138321,0.02954652894138321
全程,EFT,EFT,120,0.0833997910389475,0.0,0.0,0.0,0.0,0.927175935283893,0.927175935283893,0.03617937354569758,0.03617937354569758,0.03664469117040935,0.03664469117040935
全程,Greedy,Greedy,120,0.17985357323538037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
全程,LB-Greedy,LB-Greedy,120,0.07131425945264779,0.0,0.0,0.0,0.0,0.936240600559562,0.936240600559562,0.0298663274979315,0.0298663274979315,0.03389307194250662,0.03389307194250662
全程,Local-Only,Local-Only,120,0.1314449002254446,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
全程,Random,Random,120,0.02704791666666662,0.0,0.0,0.0,0.0,0.08959375,0.08959375,0.10503541666666667,0.10503541666666667,0.8053708333333333,0.8053708333333333
全程,Static,Static,120,0.16878874914208042,0.0,0.0,0.0,0.0,0.13241258758097596,0.13241258758097596,0.867587412419024,0.867587412419024,0.0,0.0
全程,当前算法(MAPPO),MAPPO,800,0.16204400205966685,0.0,0.0,0.0,0.0,0.04948793533314563,0.04948793533314563,0.8179947144162821,0.8179947144162821,0.13251735025057218,0.13251735025057218
末100,CP-EFT,CP-EFT,100,0.08174270888359934,0.0,0.0,0.0,0.0,0.939595217811536,0.939595217811536,0.030612830437527338,0.030612830437527338,0.029791951750936442,0.029791951750936442
末100,EFT,EFT,100,0.08394981334930109,0.0,0.0,0.0,0.0,0.9265844556740052,0.9265844556740052,0.03637088928047813,0.03637088928047813,0.037044655045516864,0.037044655045516864
末100,Greedy,Greedy,100,0.1783073525474695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末100,LB-Greedy,LB-Greedy,100,0.07127124787737486,0.0,0.0,0.0,0.0,0.9362414121263608,0.9362414121263608,0.029900864957265377,0.029900864957265377,0.033857722916373796,0.033857722916373796
末100,Local-Only,Local-Only,100,0.13109529560533778,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末100,Random,Random,100,0.02707749999999996,0.0,0.0,0.0,0.0,0.08989500000000002,0.08989500000000002,0.10529750000000002,0.10529750000000002,0.8048075,0.8048075
末100,Static,Static,100,0.16730119662961965,0.0,0.0,0.0,0.0,0.1327858898035422,0.1327858898035422,0.8672141101964577,0.8672141101964577,0.0,0.0
末100,当前算法(MAPPO),MAPPO,100,0.1954912306371743,0.0,0.0,0.0,0.0,0.000357907294206007,0.000357907294206007,0.9982399850352058,0.9982399850352058,0.0014021076705881036,0.0014021076705881036
末300,CP-EFT,CP-EFT,120,0.08147043116186468,0.0,0.0,0.0,0.0,0.9399782843464929,0.9399782843464929,0.030475186712123844,0.030475186712123844,0.02954652894138321,0.02954652894138321
末300,EFT,EFT,120,0.0833997910389475,0.0,0.0,0.0,0.0,0.927175935283893,0.927175935283893,0.03617937354569758,0.03617937354569758,0.03664469117040935,0.03664469117040935
末300,Greedy,Greedy,120,0.17985357323538037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末300,LB-Greedy,LB-Greedy,120,0.07131425945264779,0.0,0.0,0.0,0.0,0.936240600559562,0.936240600559562,0.0298663274979315,0.0298663274979315,0.03389307194250662,0.03389307194250662
末300,Local-Only,Local-Only,120,0.1314449002254446,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末300,Random,Random,120,0.02704791666666662,0.0,0.0,0.0,0.0,0.08959375,0.08959375,0.10503541666666667,0.10503541666666667,0.8053708333333333,0.8053708333333333
末300,Static,Static,120,0.16878874914208042,0.0,0.0,0.0,0.0,0.13241258758097596,0.13241258758097596,0.867587412419024,0.867587412419024,0.0,0.0
末300,当前算法(MAPPO),MAPPO,300,0.19436713592963395,0.0,0.0,0.0,0.0,0.00029002971668135366,0.00029002971668135366,0.9981432863930415,0.9981432863930415,0.0015666838902771631,0.0015666838902771631
