phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.83333333333333,11.363610898876484,120,120,matched_tail_raw_baseline
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.875,10.485333895053428,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,43.666666666666664,21.729170779049486,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,84.41666666666667,9.508583767633667,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,120,120,matched_tail_raw_baseline
中期,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231332,120,120,matched_tail_raw_baseline
中期,Static,Static,deadline_miss_rate,超时失败率,lower,45.583333333333336,22.57744220142183,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,34.25,24.62022465748178,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.83333333333333,11.363610898876484,120,120,matched_tail_raw_baseline
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.875,10.485333895053428,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,43.666666666666664,21.729170779049486,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,84.41666666666667,9.508583767633667,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,120,120,matched_tail_raw_baseline
前期,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231332,120,120,matched_tail_raw_baseline
前期,Static,Static,deadline_miss_rate,超时失败率,lower,45.583333333333336,22.57744220142183,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,31.333333333333332,26.415660409044072,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.83333333333333,11.363610898876484,120,120,matched_tail_raw_baseline
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.875,10.485333895053428,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,43.666666666666664,21.729170779049486,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,84.41666666666667,9.508583767633667,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,120,120,matched_tail_raw_baseline
后期,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231332,120,120,matched_tail_raw_baseline
后期,Static,Static,deadline_miss_rate,超时失败率,lower,45.583333333333336,22.57744220142183,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,34.75,23.771054356298208,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.401763103803,1.7819730052179314,120,120,matched_tail_raw_baseline
中期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.106564376036324,1.9033825074992212,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,14.45518540644644,1.6762014533486302,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,23.531626533190412,1.3984062393751377,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.173364295562084,1.6071905125600146,120,120,matched_tail_raw_baseline
中期,Random,Random,mean_cft_est,平均完工时间估计,lower,25.11865399837494,0.5501120725727014,120,120,matched_tail_raw_baseline
中期,Static,Static,mean_cft_est,平均完工时间估计,lower,15.050909377177538,1.8153159798050602,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,13.758270836671175,2.0024223909547083,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.401763103803,1.7819730052179314,120,120,matched_tail_raw_baseline
