window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
全程,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,25.5,9.424623568703671,15.0,25.0,35.50000000000004,23.791666666666668,27.25,120,120,matched_tail_raw_baseline,1.0
全程,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,34.75,23.771054356298208,5.0,30.0,70.0,30.25,38.833333333333336,120,120,matched_tail_raw_baseline,2.0
全程,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,43.666666666666664,21.729170779049486,15.0,45.0,70.0,39.811458333333334,47.73020833333333,120,120,matched_tail_raw_baseline,3.0
全程,Static,Static,deadline_miss_rate,超时失败率,lower,45.583333333333336,22.57744220142183,10.0,47.5,75.0,41.375,49.416666666666664,120,120,matched_tail_raw_baseline,4.0
全程,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.83333333333333,11.363610898876484,60.0,75.0,90.0,73.70833333333333,77.83333333333333,120,120,matched_tail_raw_baseline,5.0
全程,EFT,EFT,deadline_miss_rate,超时失败率,lower,75.875,10.485333895053428,60.0,75.0,90.0,73.875,77.66666666666667,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,84.41666666666667,9.508583767633667,70.0,85.0,95.0,82.58333333333333,86.08333333333333,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,deadline_miss_rate,超时失败率,lower,99.70833333333333,1.3434924595231332,100.0,100.0,100.0,99.45833333333333,99.91666666666667,120,120,matched_tail_raw_baseline,8.0
末100,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,26.05,9.219407505229107,15.0,25.0,35.50000000000004,24.2,27.8,100,100,matched_tail_raw_baseline,1.0
末100,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,34.8,23.697589699709074,5.0,30.0,65.50000000000004,30.27375,39.47624999999999,100,100,matched_tail_raw_baseline,2.0
末100,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,44.4,22.1140295520808,15.0,45.0,70.0,40.4,48.8,100,100,matched_tail_raw_baseline,3.0
末100,Static,Static,deadline_miss_rate,超时失败率,lower,46.65,22.742020467616662,10.0,50.0,75.0,42.0,51.076249999999995,100,100,matched_tail_raw_baseline,4.0
