episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,LB-Greedy,-1.0463496448103409,-209.26992896206818,0.15,0.15,0.5240384615384616,0.822429906542056,0.9335,0.03325,0.03325,0.9335,0.03325,0.03325,0.012893822032171393,0.19389206063415626,1.0,20.000000000000014,23.792038249969483,10.033333333333312,10.033333333333312,11.939999999999973,0.85,1.0,0.0,0.9265,0.07350000000000001,0.07350000000000001,0.0,5.31800469616428e-06,0.0,1.2904026291948867e-08,5.31800469616428e-06,1.2904026291948867e-08,0.6842663288116455,0.5,0.10038863867521286,,,,,0.17937061190605164,0.5,266,0.0,0.0,0.0,246,54,0.21951219512195122,54,0.131,1.62
2,LB-Greedy,-1.235948378931722,-247.18967578634442,0.2,0.2,0.5971896955503513,0.8257575757575758,0.91725,0.038,0.04475,0.91725,0.038,0.04475,0.015936186233157665,0.192582310974715,1.0,20.000000000000014,23.096527767181396,10.724999999999977,10.724999999999977,13.10999999999997,0.8,1.0,0.0,0.90975,0.09025000000000005,0.09025000000000005,0.0,4.853859536524396e-06,0.0,2.3066666798854385e-08,4.853859536524396e-06,2.3066666798854385e-08,0.663619339466095,0.5,0.10395863652229309,,,,,0.15399104356765747,0.5,325,0.0,0.0,0.0,301,81,0.2691029900332226,81,0.1605,1.76
3,LB-Greedy,-0.9878324865227617,-197.56649730455234,0.1,0.1,0.43914081145584727,0.7037037037037037,0.94725,0.028,0.02475,0.94725,0.028,0.02475,0.007677615292085743,0.14554720932863968,1.0,20.000000000000014,25.137085151672363,10.849999999999977,10.849999999999977,12.60499999999997,0.9,1.0,0.0,0.93975,0.060250000000000026,0.060250000000000026,0.0,4.215654371364508e-06,5.4736136413310876e-14,4.548979859464453e-09,4.215654371364508e-06,4.548979859464453e-09,0.715454638004303,0.5,0.08693872392177582,,,,,0.20505566895008087,0.5,209,0.0,0.0,0.0,184,31,0.16847826086956522,31,0.08025,1.15
4,LB-Greedy,-0.48705550947159637,-97.41110189431927,0.25,0.25,0.486284289276808,0.7428571428571429,0.94075,0.028,0.03125,0.94075,0.028,0.03125,0.010340085359803197,0.17451620860427336,1.0,20.000000000000014,23.439020633697513,8.039999999999988,8.039999999999988,10.399999999999979,0.75,1.0,0.0,0.93475,0.06525000000000003,0.06525000000000003,0.0,2.0309180399635807e-06,0.0,1.1458430870803227e-09,2.0309180399635807e-06,1.1458430870803227e-09,0.7128148674964905,0.5,0.08604852110147476,,,,,0.19436028599739075,0.5,234,0.0,0.0,0.0,206,38,0.18446601941747573,38,0.10825,1.31
5,LB-Greedy,-1.428697299945315,-285.739459989063,0.15,0.15,0.5355450236966824,0.8412698412698413,0.9255,0.0355,0.039,0.9255,0.0355,0.039,0.015800725283222947,0.21209027225802612,1.0,20.000000000000014,23.175043869018555,11.133333333333312,11.133333333333312,13.379999999999969,0.85,1.0,0.0,0.91675,0.08325000000000005,0.08325000000000005,0.0,4.198445367364911e-06,0.0,8.141176977005671e-08,4.198445367364911e-06,8.141176977005671e-08,0.5942820310592651,0.2857142984867096,0.14464296400547028,,,,,0.16848471760749817,0.5,297,0.0,0.0,0.0,275,85,0.3090909090909091,85,0.15075,2.03
6,LB-Greedy,-0.5153660726894576,-103.0732145378915,0.2,0.2,0.5132530120481927,0.7558139534883721,0.94175,0.03075,0.0275,0.94175,0.03075,0.0275,0.008919582504881172,0.15312587991212312,1.0,20.000000000000014,24.14302988052368,7.224999999999991,7.224999999999991,10.259999999999978,0.8,1.0,0.0,0.932,0.06799999999999995,0.06799999999999995,0.0,1.1592533155635465e-06,0.0,1.9776084936307115e-10,1.1592533155635465e-06,1.9776084936307115e-10,0.6925305128097534,0.5,0.09802170097827911,,,,,0.19430065155029297,0.5,225,0.0,0.0,0.0,204,37,0.18137254901960784,37,0.127,1.31
7,LB-Greedy,-1.704996042951519,-340.9992085903038,0.05,0.05,0.37354988399071926,0.625,0.946,0.028,0.026,0.946,0.028,0.026,0.009386619649602678,0.17382628980745693,1.0,20.000000000000014,25.47877311706543,7.799999999999988,7.799999999999988,7.799999999999988,0.95,1.0,0.0,0.94025,0.05974999999999997,0.05974999999999997,0.0,3.259095592511585e-06,0.0,2.041930713403417e-07,3.259095592511585e-06,2.041930713403417e-07,0.6573776006698608,0.5,0.11205685883760452,,,,,0.21155259013175964,0.5,215,0.0,0.0,0.0,182,44,0.24175824175824176,44,0.09975,1.395
8,LB-Greedy,-1.4536647688978797,-290.73295377957595,0.0,0.0,0.3196125907990315,0.6436781609195402,0.96125,0.0145,0.02425,0.96125,0.0145,0.02425,0.009197239266655454,0.23734811010723764,1.0,20.000000000000014,25.09513282775879,0.0,0.0,0.0,1.0,1.0,0.0,0.9555,0.044499999999999984,0.044499999999999984,0.0,1.04973169072764e-05,1.1090546883640862e-12,0.0001995262282434851,1.04973169072764e-05,0.0001995262282434851,0.6831223368644714,0.5,0.10078916698694229,,,,,0.285339891910553,0.5,154,0.0,0.0,0.0,121,10,0.08264462809917356,10,0.093,0.85
9,LB-Greedy,-0.9052607829286132,-143.0312037027209,0.2,0.2,0.5573770491803278,0.8403361344537815,0.904746835443038,0.04556962025316456,0.04968354430379747,0.904746835443038,0.04556962025316456,0.04968354430379747,0.013829796463459004,0.1451898897824932,0.9478569038213075,15.79999999999996,18.41294075012206,9.64999999999998,9.64999999999998,11.784999999999973,0.8,0.0,0.0,0.8927215189873418,0.10727848101265824,0.10727848101265824,0.0,4.776257355842972e-06,0.0,3.37406602657353e-10,4.776257355842972e-06,3.37406602657353e-10,0.6515405774116516,0.5,0.10945448279380798,,,,,0.15942396223545074,0.5,299,0.0,0.0,0.0,279,78,0.27956989247311825,78,0.16772151898734178,2.088607594936709
10,LB-Greedy,-1.2354106069847905,-247.08212139695812,0.0,0.0,0.33729216152019004,0.6736842105263158,0.95675,0.0175,0.02575,0.95675,0.0175,0.02575,0.010424302733707544,0.2410243406637582,1.0,20.000000000000014,24.711589813232422,0.0,0.0,0.0,1.0,1.0,0.0,0.952,0.04800000000000004,0.04800000000000004,0.0,1.1323610124236438e-05,0.0,4.36446523366385e-09,1.1323610124236438e-05,4.36446523366385e-09,0.6582367420196533,0.5,0.1088348999619484,,,,,0.28583037853240967,0.5,173,0.0,0.0,0.0,142,18,0.1267605633802817,18,0.09925,1.085
