episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-1.21899019608484,-243.798039216968,0.15,0.15,0.4495192307692308,0.7631578947368421,0.946,0.02975,0.02425,0.946,0.02975,0.02425,0.00987698865810804,0.18290719737237104,1.0,20.000000000000014,26.763570976257324,10.499999999999979,10.499999999999979,11.069999999999977,0.85,1.0,0.0,0.937,0.06299999999999994,0.06299999999999994,0.0,8.780720236245543e-06,4.642857821292312e-13,6.35651389302438e-08,8.780720236245543e-06,6.35651389302438e-08,0.6641838550567627,0.5,0.10679849237203598,,,,,0.20312350988388062,0.5,216,0.0,0.0,0.0,198,44,0.2222222222222222,44,0.09825,1.77
1,CP-EFT,-1.478122496134829,-295.6244992269658,0.1,0.1,0.44711538461538464,0.7972972972972973,0.94125,0.03475,0.024,0.94125,0.03475,0.024,0.007837939644638183,0.13341173863213934,0.9640396673417784,20.000000000000014,24.21752185821533,10.849999999999977,10.849999999999977,14.044999999999966,0.9,1.0,0.0,0.9255,0.07450000000000001,0.07450000000000001,0.0,9.805476111068856e-06,1.2583029236623577e-12,6.514905010134444e-07,9.805476111068856e-06,6.514905010134444e-07,0.5392385125160217,0.4189393907785416,0.16030550003051758,,,,,0.16475225985050201,0.5,234,0.0,0.0,0.0,218,88,0.4036697247706422,88,0.13675,1.675
1,LB-Greedy,-1.9648491781393655,-392.9698356278731,0.05,0.05,0.3485576923076923,0.6588235294117647,0.95625,0.019,0.02475,0.95625,0.019,0.02475,0.008687242678251291,0.19856554693145811,1.0,20.000000000000014,25.231007671356203,6.699999999999992,6.699999999999992,6.699999999999992,0.95,1.0,0.0,0.9505,0.04949999999999999,0.04949999999999999,0.0,1.1376764632586855e-05,0.0,0.0001995262282434851,1.1376764632586855e-05,0.0001995262282434851,0.6883995532989502,0.5,0.0952380821108818,,,,,0.24027594923973083,0.5,174,0.0,0.0,0.0,145,21,0.14482758620689656,21,0.08975,1.03
1,Greedy,0.0036510847341961815,0.48924535438228833,0.75,0.75,0.9735576923076923,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,13.399999999999968,13.614227485656716,9.566666666666647,9.566666666666647,12.90999999999997,0.25,0.0,0.0,0.8238805970149253,0.17611940298507467,0.17611940298507467,0.0,0.0,0.0,0.0,0.0,0.0,0.8549174070358276,0.836242812871933,0.031054669991135597,,,,,0.05389796942472458,0.125,472,0.0,0.0,0.0,466,61,0.13090128755364808,61,0.0,25.5
1,Random,-0.9746068133932277,-194.92136267864555,0.0,0.0,0.10336538461538461,0.42857142857142855,0.095,0.112,0.793,0.095,0.112,0.793,0.6417893869790388,0.6041871679326399,0.9598003174894125,20.000000000000014,25.985706329345703,0.0,0.0,0.0,1.0,1.0,0.0,0.9785,0.021499999999999964,0.021499999999999964,0.0,3.1086065064300783e-06,4.2824890768983215e-12,6.50876870622595e-08,3.1086065064300783e-06,6.50876870622595e-08,0.5454814434051514,0.5,0.15710140764713287,,,,,0.42225927114486694,0.5,75,0.0,0.0,0.0,43,8,0.18604651162790697,8,0.04975,0.065
1,Local-Only,-0.16659193692568627,-29.98654864662353,0.65,0.65,0.8942307692307693,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.999999999999986,19.17533283233642,8.507692307692293,8.507692307692293,13.539999999999965,0.35,0.0,0.0,0.8927777777777778,0.10722222222222222,0.10722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.1141666666666667,0.0
1,Static,-0.021379692541140173,-3.3566117289590074,0.55,0.55,0.9206730769230769,0.0,0.11496815286624204,0.8850318471337579,0.0,0.11496815286624204,0.8850318471337579,0.0,1.0,1.0,1.0,15.69999999999996,16.394107255935644,10.809090909090886,10.809090909090886,13.599999999999968,0.45,0.0,0.0,0.8229299363057325,0.17707006369426748,0.17707006369426748,0.0,0.0,0.0,0.0,0.0,0.0,0.6600604057312012,0.5,0.10356757789850235,,,,,0.04708606377243996,0.10000000149011612,530,0.0,0.0,0.0,522,160,0.3065134099616858,160,0.08471337579617834,22.70700636942675
2,EFT,-0.3681381597441723,-73.62763194883446,0.3,0.3,0.6346604215456675,0.8699186991869918,0.9205,0.04125,0.03825,0.9205,0.04125,0.03825,0.013688775183520503,0.17218585136503783,1.0,20.000000000000014,23.184395027160647,7.816666666666656,7.816666666666656,12.77499999999997,0.7,1.0,0.0,0.90975,0.09025000000000005,0.09025000000000005,0.0,1.06783897990681e-06,0.0,4.02006487126849e-11,1.06783897990681e-06,4.02006487126849e-11,0.6720694899559021,0.5,0.10651274025440216,,,,,0.17172224819660187,0.5,314,0.0,0.0,0.0,298,72,0.24161073825503357,72,0.183,2.11
2,CP-EFT,-2.027022620564245,-405.404524112849,0.15,0.15,0.5784543325526932,0.8470588235294118,0.93975,0.03475,0.0255,0.93975,0.03475,0.0255,0.0076177573108855545,0.12643580598980173,1.0,20.000000000000014,23.170675373077394,8.999999999999984,8.999999999999984,10.989999999999977,0.85,1.0,0.0,0.9185,0.08150000000000002,0.08150000000000002,0.0,9.927432074618991e-06,0.0,1.5051940636112704e-05,9.927432074618991e-06,1.5051940636112704e-05,0.6408790946006775,0.5,0.1148042380809784,,,,,0.16586504876613617,0.5,239,0.0,0.0,0.0,221,56,0.25339366515837103,56,0.1385,1.435
2,LB-Greedy,-1.1834883078877523,-236.69766157755046,0.3,0.3,0.629976580796253,0.8609271523178808,0.91775,0.03525,0.047,0.91775,0.03525,0.047,0.015895743778041403,0.19326132252937878,1.0,20.000000000000014,22.811092758178717,9.01666666666665,9.01666666666665,12.374999999999972,0.7,1.0,0.0,0.91025,0.08975,0.08975,0.0,1.354507617179479e-06,0.0,4.467974523691933e-08,1.354507617179479e-06,4.467974523691933e-08,0.6841488480567932,0.5,0.09540320187807083,,,,,0.16077284514904022,0.5,326,0.0,0.0,0.0,304,67,0.22039473684210525,67,0.169,1.71
