source,metric,mean
Ours (MAPPO),steps,200.0
Ours (MAPPO),elapsed_sec,28.92433614999056
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.0
Ours (MAPPO),truncated,1.0
Ours (MAPPO),time_limit_rate,1.0
Ours (MAPPO),episode_time_seconds,20.00000000000001
Ours (MAPPO),mean_cft_est,25.624199790120123
Ours (MAPPO),mean_cft_completed,0.34674999999999945
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,1.3496047047589967
Ours (MAPPO),deadline_seconds,11.326569004079952
Ours (MAPPO),critical_path_cycles,22727690162.608833
Ours (MAPPO),r_time,-0.002708670658564867
Ours (MAPPO),r_interf,-0.22195171018455592
Ours (MAPPO),r_risk,-0.004835230200710086
Ours (MAPPO),r_illegal,0.0
Ours (MAPPO),r_pbrs,0.004565467247675089
Ours (MAPPO),r_term,4.356926452551607e-06
Ours (MAPPO),r_step,-0.2661869464898603
Ours (MAPPO),r_total,-0.24878234300451912
Ours (MAPPO),abs_ratio_r_time,0.01842276981147192
Ours (MAPPO),abs_ratio_r_energy,0.23835047960768702
Ours (MAPPO),abs_ratio_r_interf,0.6791193754183279
Ours (MAPPO),abs_ratio_r_risk,0.03267436943895841
Ours (MAPPO),abs_ratio_r_illegal,0.0
Ours (MAPPO),abs_ratio_r_pbrs,0.031185211512057113
Ours (MAPPO),abs_ratio_r_term,0.0002477942114975152
Ours (MAPPO),I_total_mean,4.465931858750865e-07
Ours (MAPPO),I_total_p50,1.4352696314176755e-12
Ours (MAPPO),I_total_p95,2.6818188466740228e-09
Ours (MAPPO),I_caused_mean,4.465931858750865e-07
Ours (MAPPO),I_caused_p95,2.6818188466740228e-09
Ours (MAPPO),rho_selected_mean,0.5535522677749395
Ours (MAPPO),rho_selected_p10,0.49610542950406666
Ours (MAPPO),uncertainty_selected_mean,0.2114211444929242
Ours (MAPPO),uncertainty_selected_p90,0.25
Ours (MAPPO),rho_selected_p50,0.5056181547790766
Ours (MAPPO),rho_selected_p95,0.7182244363576173
Ours (MAPPO),rho_selected_lt_0p6_rate,0.6344078548630367
Ours (MAPPO),rho_selected_lt_0p7_rate,0.9055159877131745
Ours (MAPPO),risk_penalty_mean,0.18173768356442452
Ours (MAPPO),chain_tx_total,107.08125
Ours (MAPPO),chain_p95_mean,0.0
Ours (MAPPO),chain_pfail_mean,0.0
Ours (MAPPO),chain_risk_cost_total,0.0
Ours (MAPPO),trust_attempts,66.44625
Ours (MAPPO),trust_failures,9.6125
Ours (MAPPO),trust_failure_rate,0.1419317203527298
Ours (MAPPO),trust_retry_count,9.6125
Ours (MAPPO),episode_vehicle_count,20.0
Ours (MAPPO),episode_task_count,20.0
Ours (MAPPO),total_subtasks,419.475
Ours (MAPPO),reward_mean,-0.24878234352916478
Ours (MAPPO),reward_p50,-0.0757249948622393
Ours (MAPPO),reward_p95,0.005859197442886353
Ours (MAPPO),reward_min,-2.2693323408439756
Ours (MAPPO),reward_max,0.009032530341391927
Ours (MAPPO),reward_abs_mean,0.2529699404351413
Ours (MAPPO),dT_mean,0.0
Ours (MAPPO),cft_prev_rem_mean,0.0
Ours (MAPPO),cft_curr_rem_mean,0.0
Ours (MAPPO),dCFT_abs_mean,0.0
Ours (MAPPO),dCFT_abs_p95,0.0
Ours (MAPPO),dCFT_rem_mean,0.0
Ours (MAPPO),dCFT_rem_p95,0.0
Ours (MAPPO),dt_used_mean,0.0
Ours (MAPPO),implied_dt_mean,0.0
Ours (MAPPO),dT_eff_mean,0.0
Ours (MAPPO),dT_eff_p95,0.0
Ours (MAPPO),energy_norm_mean,0.06050960826611112
Ours (MAPPO),energy_norm_p95,0.262661814009258
Ours (MAPPO),t_tx_mean,0.0
Ours (MAPPO),reward_step_p95,0.0
Ours (MAPPO),mean_cft,25.624199790120123
Ours (MAPPO),delta_cft_rem_mean,
Ours (MAPPO),delta_cft_rem_p95,
Ours (MAPPO),mean_cft_rem,5.6241997901201115
Ours (MAPPO),success_rate_end,0.002125
Ours (MAPPO),task_success_rate,0.002125
Ours (MAPPO),subtask_success_rate,0.14470855704902158
Ours (MAPPO),deadline_miss_rate,0.997875
Ours (MAPPO),illegal_action_rate,0.0
Ours (MAPPO),top_illegal_reason,
Ours (MAPPO),top_illegal_reason_count,0.0
Ours (MAPPO),no_task_rate,0.9718003125
Ours (MAPPO),on_task_rate,0.028199687499999956
Ours (MAPPO),has_task_available_rate,0.028199687499999956
Ours (MAPPO),unified_illegal_trigger_rate,0.0
Ours (MAPPO),hard_trigger_rate,0.0
Ours (MAPPO),decision_local_frac,0.049268715716542844
Ours (MAPPO),decision_rsu_frac,0.0674604660310037
Ours (MAPPO),decision_v2v_frac,0.8832708182524535
Ours (MAPPO),decision_frac_local,0.049268715716542844
Ours (MAPPO),decision_frac_rsu,0.0674604660310037
Ours (MAPPO),decision_frac_v2v,0.8832708182524535
Ours (MAPPO),power_ratio_mean,0.44762105214508724
Ours (MAPPO),power_ratio_p95,0.8280316986702383
Ours (MAPPO),entropy,2.2152145672680605
Ours (MAPPO),approx_kl,0.06025420064203512
Ours (MAPPO),clip_frac,0.24315733398073575
Ours (MAPPO),policy_loss,0.005839073546650956
Ours (MAPPO),value_loss,13.414456806544095
Ours (MAPPO),total_loss,7946150.553865744
Ours (MAPPO),grad_norm,52273724.11742993
Ours (MAPPO),policy_entropy,2.2152145672680605
Ours (MAPPO),entropy_loss,-2.2152145672680605
Ours (MAPPO),active_ratio,0.0281996875
Ours (MAPPO),active_samples,112.79875
Ours (MAPPO),total_samples,4000.0
Ours (MAPPO),adv_mean,-3.009582084909507
Ours (MAPPO),adv_std,13.120008849501609
Ours (MAPPO),value_target_mean,-15.081737066849357
Ours (MAPPO),value_target_std,8.106595158409045
Ours (MAPPO),value_pred_mean,-12.101706722795297
Ours (MAPPO),value_pred_std,0.7500459645199331
Ours (MAPPO),value_clip_fraction,0.3396441424597528
Ours (MAPPO),skipped_update_count,0.0
Ours (MAPPO),avail_L,1.0
Ours (MAPPO),avail_R,0.9998406249999999
Ours (MAPPO),avail_V,0.5199528618421053
Ours (MAPPO),neighbor_count_mean,9.879104374999999
Ours (MAPPO),best_v2v_rate_mean,45393960.57318552
Ours (MAPPO),best_v2v_valid_rate,0.9997215625
Ours (MAPPO),v2v_beats_rsu_rate,0.0
Ours (MAPPO),mean_cost_gap_v2v_minus_rsu,0.40076732097768336
Ours (MAPPO),mean_cost_rsu,0.16731751030193925
Ours (MAPPO),mean_cost_v2v,0.5680848312796227
Ours (MAPPO),t_L,0.0
Ours (MAPPO),t_R,0.0
Ours (MAPPO),t_V,0.0
Ours (MAPPO),t_a,0.0
Ours (MAPPO),t_alt,0.0
Ours (MAPPO),A_t,0.0
Ours (MAPPO),r_lat,0.0
Ours (MAPPO),cp_rem,0.0
Ours (MAPPO),f_max,0.0
Ours (MAPPO),d_cp_lb,0.0
Ours (MAPPO),rate_best,0.0
Ours (MAPPO),comm_lb,0.0
Ours (MAPPO),queue_lb,0.0
Ours (MAPPO),lb,0.0
Ours (MAPPO),phi,0.0
Ours (MAPPO),delta_phi,0.0
Ours (MAPPO),r_shape,0.0
Ours (MAPPO),overtime_ratio,0.0
Ours (MAPPO),r_timeout,0.0
Ours (MAPPO),e_tx,0.0
Ours (MAPPO),r_energy,-0.036691335446029275
Ours (MAPPO),r_power,0.0
Ours (MAPPO),avg_power,0.44762632320043766
Ours (MAPPO),avg_rsu_queue,0.0488375
Ours (MAPPO),rsu_queue_p95,0.27843749999999884
Ours (MAPPO),time_limit_penalty_applied,1.0
Ours (MAPPO),time_limit_penalty_value,-1.0
Ours (MAPPO),remaining_time_seconds_used,5.6241997901201115
Ours (MAPPO),remaining_ratio_used,0.0
CP-EFT,reward_mean,-0.27590805583680555
EFT,reward_mean,-0.2524562652675583
Greedy,reward_mean,-0.0038632273440696403
LB-Greedy,reward_mean,-0.2863688244436436
Local-Only,reward_mean,-0.3236931168606636
Random,reward_mean,-0.2668723173665827
Static,reward_mean,-0.05332940925693394
CP-EFT,reward_total,-51.75264411290108
EFT,reward_total,-47.87078545897556
Greedy,reward_total,-0.5263587856055038
LB-Greedy,reward_total,-55.11246699807527
Local-Only,reward_total,-47.12537936173057
Random,reward_total,-53.37446347331654
Static,reward_total,-6.840908135976793
CP-EFT,vehicle_sr,0.36291666666666667
EFT,vehicle_sr,0.3829166666666667
Greedy,vehicle_sr,0.7308333333333333
LB-Greedy,vehicle_sr,0.2808333333333334
Local-Only,vehicle_sr,0.7104166666666667
Random,vehicle_sr,0.004583333333333333
Static,vehicle_sr,0.7054166666666667
CP-EFT,task_sr,0.36291666666666667
EFT,task_sr,0.3829166666666667
Greedy,task_sr,0.7308333333333333
LB-Greedy,task_sr,0.2808333333333334
Local-Only,task_sr,0.7104166666666667
Random,task_sr,0.004583333333333333
Static,task_sr,0.7054166666666667
CP-EFT,subtask_sr,0.6654613294333166
EFT,subtask_sr,0.6846087744900908
Greedy,subtask_sr,0.9444866977970946
LB-Greedy,subtask_sr,0.5886236438492729
Local-Only,subtask_sr,0.9232782643962503
Random,subtask_sr,0.18406637497159886
Static,subtask_sr,0.932548835660819
CP-EFT,v2v_subtask_sr,0.8578959966892766
EFT,v2v_subtask_sr,0.8715281161844837
Greedy,v2v_subtask_sr,0.0
LB-Greedy,v2v_subtask_sr,0.8110839393950087
Local-Only,v2v_subtask_sr,0.0
Random,v2v_subtask_sr,0.5740923700804432
Static,v2v_subtask_sr,0.0
CP-EFT,ratio_local,0.9301306639348749
EFT,ratio_local,0.9169441234879453
Greedy,ratio_local,0.0
LB-Greedy,ratio_local,0.9275037997638661
Local-Only,ratio_local,1.0
Random,ratio_local,0.08472916666666667
Static,ratio_local,0.19300101067060715
CP-EFT,ratio_rsu,0.04125861198223588
EFT,ratio_rsu,0.049087244784258376
Greedy,ratio_rsu,1.0
LB-Greedy,ratio_rsu,0.04087107168684886
Local-Only,ratio_rsu,0.0
Random,ratio_rsu,0.15015416666666667
Static,ratio_rsu,0.8069989893293928
CP-EFT,ratio_v2v,0.028610724082889245
EFT,ratio_v2v,0.0339686317277964
Greedy,ratio_v2v,0.0
LB-Greedy,ratio_v2v,0.03162512854928499
Local-Only,ratio_v2v,0.0
Random,ratio_v2v,0.7651166666666666
Static,ratio_v2v,0.0
