window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
全程,CP-EFT,CP-EFT,120,0.08904799651141572,0.0,0.0,0.0,0.0,0.9301306639348749,0.9301306639348749,0.04125861198223588,0.04125861198223588,0.028610724082889248,0.028610724082889248
全程,EFT,EFT,120,0.09282594393974594,0.0,0.0,0.0,0.0,0.9169441234879453,0.9169441234879453,0.049087244784258376,0.049087244784258376,0.033968631727796406,0.033968631727796406
全程,Greedy,Greedy,120,0.19595318422773664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
全程,LB-Greedy,LB-Greedy,120,0.07983692285012266,0.0,0.0,0.0,0.0,0.927503799763866,0.927503799763866,0.04087107168684886,0.04087107168684886,0.03162512854928499,0.03162512854928499
全程,Local-Only,Local-Only,120,0.13631066152604054,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
全程,Random,Random,120,0.03244791666666662,0.0,0.0,0.0,0.0,0.08472916666666667,0.08472916666666667,0.15015416666666667,0.15015416666666667,0.7651166666666666,0.7651166666666666
全程,Static,Static,120,0.17949526555034248,0.0,0.0,0.0,0.0,0.19300101067060718,0.19300101067060718,0.8069989893293928,0.8069989893293928,0.0,0.0
全程,当前算法(MAPPO),MAPPO,800,0.028199687499999956,0.0,0.0,0.0,0.0,0.049268715716542844,0.049268715716542844,0.0674604660310037,0.0674604660310037,0.8832708182524535,0.8832708182524535
末100,CP-EFT,CP-EFT,100,0.08810672094313786,0.0,0.0,0.0,0.0,0.9309031663348349,0.9309031663348349,0.04066436496179402,0.04066436496179402,0.028432468703371,0.028432468703371
末100,EFT,EFT,100,0.09304420908369704,0.0,0.0,0.0,0.0,0.9166351772082117,0.9166351772082117,0.04905944876192196,0.04905944876192196,0.03430537402986617,0.03430537402986617
末100,Greedy,Greedy,100,0.19530990314840488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末100,LB-Greedy,LB-Greedy,100,0.0812606424541608,0.0,0.0,0.0,0.0,0.9261323169445306,0.9261323169445306,0.041764395292926124,0.041764395292926124,0.03210328776254334,0.03210328776254334
末100,Local-Only,Local-Only,100,0.13614283071480074,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末100,Random,Random,100,0.032479999999999946,0.0,0.0,0.0,0.0,0.08493000000000002,0.08493000000000002,0.15054,0.15054,0.76453,0.76453
末100,Static,Static,100,0.17873123743167554,0.0,0.0,0.0,0.0,0.19491271199680577,0.19491271199680577,0.8050872880031941,0.8050872880031941,0.0,0.0
末100,当前算法(MAPPO),MAPPO,100,0.029794999999999964,0.0,0.0,0.0,0.0,0.03512471950141287,0.03512471950141287,0.08637386646681355,0.08637386646681355,0.8785014140317735,0.8785014140317735
末300,CP-EFT,CP-EFT,120,0.08904799651141572,0.0,0.0,0.0,0.0,0.9301306639348749,0.9301306639348749,0.04125861198223588,0.04125861198223588,0.028610724082889248,0.028610724082889248
