baseline,metric_id,metric_cn,direction,n_total,n_effective,matched_k,wins,losses,ties,win_rate,p_value_sign_test,welch_t,welch_p_value,bootstrap_ci95_low,bootstrap_ci95_high,mean_oriented_diff,median_oriented_diff,stat_basis
CP-EFT,deadline_miss_rate,超时失败率,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-29.614474149227824,5.837381006562656e-57,-38.583333333333336,-33.76979166666667,-36.166666666666664,-35.0,matched_tail_raw_baseline
EFT,deadline_miss_rate,超时失败率,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-31.362779194863,1.3126138341205012e-59,-40.583333333333336,-35.91666666666667,-38.166666666666664,-40.0,matched_tail_raw_baseline
Greedy,deadline_miss_rate,超时失败率,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-46.61383986541103,1.6609660734784566e-78,-75.98020833333334,-69.79166666666666,-72.95833333333333,-75.0,matched_tail_raw_baseline
LB-Greedy,deadline_miss_rate,超时失败率,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-23.7840943525153,3.228369028745118e-47,-30.125,-25.75,-27.958333333333332,-25.0,matched_tail_raw_baseline
Local-Only,deadline_miss_rate,超时失败率,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-77.79025115801677,7.719504282160255e-105,-72.75,-69.25,-70.91666666666667,-70.0,matched_tail_raw_baseline
Random,deadline_miss_rate,超时失败率,lower,120,14,120,3,11,106,0.21428571428571427,0.05737304687500014,-2.2166525183475723,0.02787771917585911,-0.625,-0.041666666666671404,-0.3333333333333333,0.0,matched_tail_raw_baseline
Static,deadline_miss_rate,超时失败率,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-37.42169956045022,8.797450509905543e-68,-73.70833333333333,-66.64479166666666,-70.41666666666667,-75.0,matched_tail_raw_baseline
CP-EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-18.82480979152844,5.862055041458209e-41,-4.602072425043583,-3.758702289849519,-4.1732308108806615,-3.555955123901363,matched_tail_raw_baseline
EFT,mean_cft_est,平均完工时间估计,lower,120,120,120,6,114,0,0.05,5.7955838535059096e-27,-13.596233855311743,2.4716479254821077e-27,-4.0068526570558545,-2.947079394302767,-3.4677144432862588,-2.7640937137603743,matched_tail_raw_baseline
Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-86.39065155353738,7.544613008116621e-149,-13.588822242401061,-12.993743438921394,-13.307800164937992,-13.366593837738058,matched_tail_raw_baseline
LB-Greedy,mean_cft_est,平均完工时间估计,lower,120,120,120,3,117,0,0.025,4.334862053967729e-31,-12.68734416871231,2.7378114532491536e-25,-3.339503342586754,-2.4573353075742688,-2.8853687938849117,-2.318669080734246,matched_tail_raw_baseline
Local-Only,mean_cft_est,平均完工时间估计,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-62.19714566406795,4.137537243986134e-120,-10.527385671544096,-9.897786244996412,-10.209890600363435,-10.180318713188193,matched_tail_raw_baseline
Random,mean_cft_est,平均完工时间估计,lower,120,120,120,31,89,0,0.25833333333333336,1.1187721865432918e-07,-7.1630324868765785,1.0875582718299704e-11,-0.8382452080845828,-0.4849611960252115,-0.6607212622960409,-0.5824192523956313,matched_tail_raw_baseline
Static,mean_cft_est,平均完工时间估计,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-69.75532079192178,5.41255087757517e-124,-12.695164282860379,-12.006857566928884,-12.35321164695424,-12.095317769050624,matched_tail_raw_baseline
CP-EFT,power_ratio_mean,远端功率比例,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-128.2874448270264,6.154828171284286e-199,-0.31858783051064943,-0.30913129415305607,-0.3139342624537249,-0.3111489702984229,matched_tail_raw_baseline
EFT,power_ratio_mean,远端功率比例,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-115.77851148692334,7.796131805924772e-186,-0.29838003170725147,-0.28833138119145146,-0.2931530581934309,-0.2936658688144245,matched_tail_raw_baseline
Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,120,0,0,1.0,1.5046327690525337e-36,438.45332747707766,8.985842610058209e-193,0.5898758951728212,0.5952405293347779,0.5926246746150781,0.5958602382120973,matched_tail_raw_baseline
LB-Greedy,power_ratio_mean,远端功率比例,lower,120,120,120,0,120,0,0.0,1.5046327690525337e-36,-94.78226523855582,2.2290374317924153e-152,-0.29251343457551277,-0.28041969806870903,-0.28631521239526886,-0.28797201334410266,matched_tail_raw_baseline
