episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,LB-Greedy,-0.11581831099753137,-23.163662199506273,0.2,0.2,0.49038461538461536,0.7422680412371134,0.94225,0.032,0.02575,0.94225,0.032,0.02575,0.007813192959354535,0.1352933845775677,0.8781719941614581,20.000000000000014,26.000105762481688,6.974999999999991,6.974999999999991,8.924999999999983,0.8,1.0,0.0,0.93625,0.06374999999999997,0.06374999999999997,0.0,5.1694751590503074e-08,0.0,1.750251159282623e-11,5.1694751590503074e-08,1.750251159282623e-11,0.6951797008514404,0.5,0.10938874632120132,,,,,0.12402103841304779,0.25,231,0.0,0.0,0.0,206,24,0.11650485436893204,24,0.09225,1.76
2,LB-Greedy,-0.20747626320517265,-41.49525264103453,0.4,0.4,0.629976580796253,0.8295454545454546,0.932,0.042,0.026,0.932,0.042,0.026,0.00668878562540676,0.09836449449127589,0.8182249353184714,20.000000000000014,23.359726715087895,7.33749999999999,7.33749999999999,9.60499999999998,0.6,1.0,0.0,0.92525,0.07474999999999998,0.07474999999999998,0.0,2.5155125626952213e-07,0.0,3.753086036395459e-11,2.5155125626952213e-07,3.753086036395459e-11,0.7619156837463379,0.5,0.0836121216416359,,,,,0.10984979569911957,0.25,267,0.0,0.0,0.0,251,14,0.055776892430278883,14,0.09325,1.795
3,LB-Greedy,-0.3181512720284194,-50.58605225251869,0.55,0.55,0.7732696897374701,0.9099099099099099,0.8943396226415095,0.06446540880503145,0.04119496855345912,0.8943396226415095,0.06446540880503145,0.04119496855345912,0.011936868456882703,0.11297393360978274,0.9597325140727818,15.89999999999996,17.71404926300047,9.145454545454529,9.145454545454529,12.84999999999997,0.45,0.0,0.0,0.8849056603773585,0.11509433962264148,0.11509433962264148,0.0,2.768930471575004e-07,0.0,2.1980072276162055e-11,2.768930471575004e-07,2.1980072276162055e-11,0.7613751888275146,0.5,0.08196908980607986,,,,,0.09588497877120972,0.25,333,0.0,0.0,0.0,322,30,0.09316770186335403,30,0.14150943396226415,3.220125786163522
4,LB-Greedy,-0.18438417991008468,-33.92668910345558,0.2,0.2,0.6109725685785536,0.8165137614678899,0.9190217391304348,0.04483695652173913,0.036141304347826086,0.9190217391304348,0.04483695652173913,0.036141304347826086,0.008652290103241282,0.10684707241586552,0.6910076032028232,18.39999999999999,21.956895332336423,8.649999999999986,8.649999999999986,11.909999999999972,0.8,0.0,0.0,0.9122282608695652,0.08777173913043479,0.08777173913043479,0.0,5.4866809762188495e-08,0.0,3.4109225860445846e-11,5.4866809762188495e-08,3.4109225860445846e-11,0.691152811050415,0.5,0.11246579885482788,,,,,0.10907133668661118,0.25,295,0.0,0.0,0.0,272,53,0.1948529411764706,53,0.14945652173913043,2.3369565217391304
5,LB-Greedy,-0.1864352265560124,-37.28704531120248,0.15,0.15,0.5545023696682464,0.75,0.93175,0.03625,0.032,0.93175,0.03625,0.032,0.00946156162970592,0.13863093962939074,0.9548999026707128,20.000000000000014,23.86330375671387,6.974999999999991,6.974999999999991,8.349999999999985,0.85,1.0,0.0,0.9245,0.07550000000000001,0.07550000000000001,0.0,1.571501115904539e-07,0.0,1.5259479790863395e-10,1.571501115904539e-07,1.5259479790863395e-10,0.6720999479293823,0.5,0.12046033889055252,,,,,0.11582998931407928,0.25,272,0.0,0.0,0.0,242,37,0.15289256198347106,37,0.1155,1.98
6,LB-Greedy,-0.1823532645798223,-30.81770171398997,0.35,0.35,0.6120481927710844,0.8227848101265823,0.9186390532544378,0.05029585798816568,0.03106508875739645,0.9186390532544378,0.05029585798816568,0.03106508875739645,0.00924186058151333,0.11359086823823658,0.8302017270177923,16.89999999999997,20.371835556030266,8.471428571428557,8.471428571428557,12.64999999999997,0.65,0.0,0.0,0.908284023668639,0.09171597633136097,0.09171597633136097,0.0,2.3620108891009295e-07,0.0,9.374665974060115e-12,2.3620108891009295e-07,9.374665974060115e-12,0.6980800628662109,0.5,0.111762635409832,,,,,0.10906840860843658,0.25,269,0.0,0.0,0.0,252,37,0.14682539682539683,37,0.11715976331360947,2.502958579881657
7,LB-Greedy,-0.20053887557850597,-40.107775115701195,0.35,0.35,0.5962877030162413,0.8333333333333334,0.9235,0.04125,0.03525,0.9235,0.04125,0.03525,0.008085433794716695,0.10569194502897637,0.8993756689482616,20.000000000000014,24.09224891662598,8.028571428571416,8.028571428571416,9.379999999999983,0.65,1.0,0.0,0.916,0.08399999999999996,0.08399999999999996,0.0,3.719514154454373e-07,0.0,4.916846010200038e-12,3.719514154454373e-07,4.916846010200038e-12,0.6605528593063354,0.5,0.12650543451309204,,,,,0.10797417163848877,0.25,306,0.0,0.0,0.0,287,60,0.20905923344947736,60,0.16075,2.46
8,LB-Greedy,-0.12215810277949911,-24.431620555899823,0.3,0.3,0.5617433414043583,0.8181818181818182,0.931,0.0435,0.0255,0.931,0.0435,0.0255,0.007845213510262397,0.11369874652554199,0.8475839672425124,20.000000000000014,23.366961860656744,7.866666666666656,7.866666666666656,11.874999999999973,0.7,1.0,0.0,0.92475,0.07525000000000004,0.07525000000000004,0.0,5.017313142730018e-08,0.0,2.7512471467705524e-11,5.017313142730018e-08,2.7512471467705524e-11,0.6632886528968811,0.5,0.12222801148891449,,,,,0.10911855846643448,0.25,271,0.0,0.0,0.0,252,46,0.18253968253968253,46,0.111,2.04
9,LB-Greedy,-0.376227287367718,-75.2454574735436,0.35,0.35,0.6229508196721312,0.8061224489795918,0.93125,0.041,0.02775,0.93125,0.041,0.02775,0.007432820532680291,0.10811375320262243,0.7964028522878406,20.000000000000014,22.441171932220463,8.185714285714273,8.185714285714273,9.90999999999998,0.65,1.0,0.0,0.9245,0.07550000000000001,0.07550000000000001,0.0,2.045167548203608e-06,0.0,3.79604750411211e-11,2.045167548203608e-06,3.79604750411211e-11,0.7729503512382507,0.5,0.07652337849140167,,,,,0.10360823571681976,0.25,271,0.0,0.0,0.0,250,14,0.056,14,0.083,1.94
10,LB-Greedy,-0.29916408306186726,-59.832816612373456,0.2,0.2,0.6270783847980997,0.8348623853211009,0.9285,0.0375,0.034,0.9285,0.0375,0.034,0.00978659472590729,0.1368754507119901,0.9984425620453893,20.000000000000014,24.120132064819337,7.42499999999999,7.42499999999999,9.844999999999981,0.8,1.0,0.0,0.9215,0.07850000000000001,0.07850000000000001,0.0,1.49645245528518e-06,0.0,5.27309099163098e-11,1.49645245528518e-06,5.27309099163098e-11,0.717254638671875,0.5,0.10354071855545044,,,,,0.11987953633069992,0.25,282,0.0,0.0,0.0,262,28,0.10687022900763359,28,0.1735,2.375
11,LB-Greedy,-0.715700676790863,-143.1401353581726,0.25,0.25,0.5970873786407767,0.8431372549019608,0.93325,0.0355,0.03125,0.93325,0.0355,0.03125,0.008845999715675443,0.1325243403097445,0.8335522132274,20.000000000000014,22.358067703247077,8.699999999999987,8.699999999999987,12.199999999999973,0.75,1.0,0.0,0.92675,0.07325000000000004,0.07325000000000004,0.0,4.82333325635409e-06,0.0,9.6470373356361e-11,4.82333325635409e-06,9.6470373356361e-11,0.7290064692497253,0.5,0.09840884804725647,,,,,0.11612419039011002,0.25,265,0.0,0.0,0.0,245,26,0.10612244897959183,26,0.10775,2.255
