episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,4.28534197807312,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.09796257317066193,8.947728929342702e-05,1.501947045326233,-0.9999002814292908,3.0651330947875977,0.14546912908554077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08983604526519776,-0.08983604526519776,-0.022641841113569632,0.00841432996466756,0.0,5.827293739956123e-05,0.0,20.241207790374766,,,0.2412077903747516,0.7,0.7,0.925,0.3,0.0,0.0,0.4083333333333333,0.30833333333333335,0.2833333333333333,0.4083333333333333,0.30833333333333335,0.2833333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,120,4000,10.788989067077637,10.822604179382324,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9910499999999999,4.9552499999999995,107607507.28227219,1.0,0.0,,,,True,-1.0,0.2412077903747516,0.0
2,200,4.274914026260376,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,129,0.14032158255577087,2.9556427762145177e-05,1.5016939640045166,-0.9999704360961914,4.524026870727539,0.15032127499580383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08928173565864563,-0.08928173565864563,-0.017152122318745938,0.010043662986718119,0.0,7.58910090413585e-05,0.0,20.089632320404064,,,0.08963232040404989,0.9,0.9,0.9844961240310077,0.1,0.0,0.0,0.3511450381679389,0.3511450381679389,0.29770992366412213,0.3511450381679389,0.3511450381679389,0.29770992366412213,,,1.5136912711461386,0.013729220423847437,0.4311367697517077,0.0011487834962705772,5.880893980662028,2.9385684084892274,1.5458142109711965,1.5136912711461386,-1.5136912711461386,0.03275,131,4000,13.929489135742188,8.75335693359375,13.554961833953858,7.876649163564046,2.132997578258316,0.12657010679443678,0.7490052917599678,0,1.0,1.0,0.99655,4.982749999999999,116000125.51146668,1.0,0.0,,,,True,-1.0,0.08963232040404989,0.0
3,200,4.523770093917847,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,111,0.12562593817710876,3.5090277378913015e-05,1.5040178298950195,-0.9090772271156311,3.12213134765625,0.1347167193889618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09102233815193177,-0.09102233815193177,-0.026331418514252566,0.010459115584846586,0.0,3.391286362679153e-05,0.0,20.04801425933839,,,0.048014259338376775,0.8,0.8,0.963963963963964,0.2,0.0,0.0,0.24770642201834864,0.3853211009174312,0.3669724770642202,0.24770642201834864,0.3853211009174312,0.3669724770642202,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02725,109,4000,13.52028751373291,9.458255767822266,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,5.0,112253852.48505972,1.0,0.0,,,,True,-1.0,0.048014259338376775,0.0
4,200,4.48451828956604,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,117,0.15065208077430725,1.380792491545435e-05,1.5018435716629028,1.380792491545435e-05,4.579647064208984,0.15065208077430725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09136885249614715,-0.09136885249614715,-0.012918197155005116,0.012085651216097176,0.0,1.643391310796144e-05,0.0,20.05843906402589,,,0.058439064025876064,0.95,0.95,0.9914529914529915,0.05,0.0,0.0,0.2809917355371901,0.3305785123966942,0.3884297520661157,0.2809917355371901,0.3305785123966942,0.3884297520661157,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03025,121,4000,14.638251304626465,7.701087951660156,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,5.0,94967522.917746,1.0,0.0,,,,True,-1.0,0.058439064025876064,0.0
5,200,4.710616111755371,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,135,0.10645562410354614,0.00011545562301762402,0.5409591794013977,-1.9877126216888428,3.0915393829345703,0.1453142762184143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08844358420372009,-0.08844358420372009,-0.0079444766044616,0.012676778020337225,0.0,2.96970482711771e-05,0.0,20.200335216522227,,,0.20033521652221253,0.75,0.75,0.8666666666666667,0.25,0.0,0.0,0.23577235772357724,0.43089430894308944,0.3333333333333333,0.23577235772357724,0.43089430894308944,0.3333333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03075,123,4000,12.743402481079102,9.755350112915039,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.99875,4.99375,116886760.73196086,1.0,0.0,,,,True,-1.0,0.20033521652221253,0.0
6,200,4.402462959289551,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,123,0.1627723127603531,0.0,1.5199545621871948,-0.002023149048909545,4.64503288269043,0.16279254853725433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09117964744567873,-0.09117964744567873,-0.029933244466782655,0.012401805328205227,0.0,3.325979960727509e-05,0.0,20.00000000000001,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.18253968253968253,0.48412698412698413,0.3333333333333333,0.18253968253968253,0.48412698412698413,0.3333333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315,126,4000,16.726547241210938,6.457244396209717,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,5.0,113786990.98971485,1.0,0.0,,,,False,0.0,0.0,0.0
7,200,4.666891098022461,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,114,0.10389566421508789,3.357899549882859e-05,0.46353670954704285,-0.9554611444473267,3.5845439434051514,0.11345028132200241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08882485246658325,-0.08882485246658325,-0.01135165691375781,0.01007437703909818,0.0,6.996562111739352e-05,0.0,20.110526275634776,,,0.11052627563476136,0.75,0.75,0.956140350877193,0.25,0.0,0.0,0.25663716814159293,0.415929203539823,0.3274336283185841,0.25663716814159293,0.415929203539823,0.3274336283185841,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02825,113,4000,10.456022262573242,12.513389587402344,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.99615,4.98075,115847333.66980582,1.0,0.0,,,,True,-1.0,0.11052627563476136,0.0
8,200,4.860124111175537,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,117,0.13060568273067474,4.661067941924557e-05,0.7383402585983276,-0.8914492726325989,4.525231838226318,0.14838901162147522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08880340409278871,-0.08880340409278871,0.0020720069408372357,0.01012510833889246,0.0,3.5999810017720927e-05,0.0,20.10840930938722,,,0.10840930938720561,0.85,0.85,0.9572649572649573,0.15,0.0,0.0,0.2773109243697479,0.35294117647058826,0.3697478991596639,0.2773109243697479,0.35294117647058826,0.3697478991596639,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02975,119,4000,12.522201538085938,8.816222190856934,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9941500000000001,4.97075,119258164.97493729,1.0,0.0,,,,True,-1.0,0.10840930938720561,0.0
9,200,4.729186773300171,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,129,0.15568208694458008,1.649830119276885e-05,1.503024697303772,1.649830119276885e-05,6.078561782836914,0.15568208694458008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09072036658525465,-0.09072036658525465,-0.010416913032532015,0.01314536826312542,0.0,0.00013402082966501095,0.0,20.022200775146494,,,0.022200775146480112,0.95,0.95,0.9844961240310077,0.05,0.0,0.0,0.22137404580152673,0.3969465648854962,0.3816793893129771,0.22137404580152673,0.3969465648854962,0.3816793893129771,,,1.4027337090174357,0.041715873198118064,0.19554353415966033,-0.034073162615920104,8.295156617164611,4.110699667930603,1.6597068786621094,1.4027337090174357,-1.4027337090174357,0.03275,131,4000,15.699101448059082,7.407106876373291,18.05620412190755,6.602807448705037,6.090274298985799,0.2256990233063698,0.9149259261290232,0,1.0,1.0,0.9999000000000001,4.9995,118550280.69291018,1.0,0.0,,,,True,-1.0,0.022200775146480112,0.0
10,200,4.455190658569336,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,127,0.15409815311431885,1.066479853761848e-05,1.5435423851013184,-0.9999428987503052,3.2311675548553467,0.1640975922346115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08674542760849,-0.08674542760849,-0.01060863912105791,0.013230382284149527,0.0,0.00013009921089753135,0.0,20.04173011779786,,,0.0417301177978473,0.9,0.9,0.9921259842519685,0.1,0.0,0.0,0.2109375,0.515625,0.2734375,0.2109375,0.515625,0.2734375,,,1.283930673599243,0.006918654514787098,0.3234805993239085,-0.02772706756989161,7.990680961608887,39234392.89619404,1.7987488567829133,1.283930673599243,-1.283930673599243,0.032,128,4000,13.158477783203125,7.572300910949707,18.513450444539387,6.417712446848552,8.572001908620198,0.38209172983964285,0.9000854708751043,0,1.0,1.0,0.9983500000000001,4.99175,111957365.17541802,1.0,0.0,,,,True,-1.0,0.0417301177978473,0.0
