episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,4.48831582069397,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.13606038689613342,4.595631253323518e-05,1.5035083293914795,-0.9462746977806091,3.1712887287139893,0.1542697697877884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08937230443954468,-0.08937230443954468,-0.011664048790931584,0.0084335262067616,0.0,5.827293739956123e-05,0.0,20.14845962524415,,,0.14845962524413636,0.85,0.85,0.9583333333333334,0.15,0.0,0.0,0.3898305084745763,0.3559322033898305,0.2542372881355932,0.3898305084745763,0.3559322033898305,0.2542372881355932,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,118,4000,14.15654468536377,8.306833267211914,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9932,4.966,107030252.48443595,1.0,0.0,,,,True,-1.0,0.14845962524413636,0.0
2,200,4.634584665298462,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,125,0.1270379275083542,3.143552748952061e-05,0.5732054710388184,-0.9399434924125671,4.580220699310303,0.13643735647201538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08964298009872436,-0.08964298009872436,-0.031608097672463975,0.009596553372219204,0.0,5.287031872415133e-05,0.0,20.076863288879405,,,0.07686328887939098,0.85,0.85,0.976,0.15,0.0,0.0,0.375,0.3515625,0.2734375,0.375,0.3515625,0.2734375,,,1.4503502130508423,0.0025467911227800262,0.48634148001670835,-0.07421806617019078,9.03869598865509,156393379.30863175,1.6689404491956035,1.4503502130508423,-1.4503502130508423,0.032,128,4000,13.407920837402344,10.138359069824219,13.680027828216552,8.561973077456157,2.822640427897374,0.10672395927210648,0.6233492062489192,0,1.0,1.0,1.0,5.0,111983396.88392252,1.0,0.0,,,,True,-1.0,0.07686328887939098,0.0
3,200,4.953801870346069,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.11768647283315659,4.2815780034288764e-05,0.7366529703140259,-0.020592451095581055,3.0037007331848145,0.11789240688085556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09060285842418671,-0.09060285842418671,-0.030310073852540434,0.009237532209604979,0.0,1.7590855782413818e-05,0.0,20.100711059570322,,,0.10071105957030824,0.75,0.75,0.9416666666666667,0.25,0.0,0.0,0.3644067796610169,0.3898305084745763,0.2457627118644068,0.3644067796610169,0.3898305084745763,0.2457627118644068,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,118,4000,11.002975463867188,10.13286304473877,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9996,4.998,105633834.89072618,1.0,0.0,,,,True,-1.0,0.10071105957030824,0.0
4,200,4.705703020095825,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,127,0.16614238917827606,0.0,1.5036009550094604,0.0,4.503329277038574,0.16614238917827606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08987946226596834,-0.08987946226596834,-0.01564065670967159,0.012167683713138103,0.0,2.3782359544657027e-05,0.0,20.00000000000001,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.53125,0.21875,0.25,0.53125,0.21875,,,1.3466232490539551,7.707963231950998e-06,0.26426044791936876,0.02278574489057064,13.38106702486674,12804735.735622229,2.169598631858826,1.3466232490539551,-1.3466232490539551,0.032,128,4000,15.850980758666992,5.832383632659912,18.722899106343586,5.001696440378825,8.014262749354044,0.26434724311033886,0.9333333333333333,0,1.0,1.0,1.0,5.0,118252394.09368385,1.0,0.0,,,,False,0.0,0.0,0.0
5,200,5.219530820846558,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,117,0.12573479115962982,3.696158091770485e-05,1.5018455982208252,-0.9802757501602173,4.56668758392334,0.13553756475448608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09167816903591154,-0.09167816903591154,-0.030577854096889578,0.010832509754924103,0.0,3.1621834439453015e-05,0.0,20.100975131988537,,,0.10097513198852326,0.85,0.85,0.9743589743589743,0.15,0.0,0.0,0.2905982905982906,0.4444444444444444,0.26495726495726496,0.2905982905982906,0.4444444444444444,0.26495726495726496,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02925,117,4000,10.63981819152832,10.184652328491211,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,5.0,112074978.98019117,1.0,0.0,,,,True,-1.0,0.10097513198852326,0.0
6,200,5.4157021045684814,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,126,0.15472464263439178,1.3593500625574961e-05,1.531589388847351,1.3593500625574961e-05,4.592344760894775,0.15472464263439178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09018756222724918,-0.09018756222724918,-0.011290299892427658,0.012816449952311813,0.0,3.8296407450343614e-05,0.0,20.025721931457532,,,0.02572193145751811,0.95,0.95,0.9841269841269841,0.05,0.0,0.0,0.168,0.544,0.288,0.168,0.544,0.288,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,125,4000,13.419753074645996,8.244841575622559,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,5.0,107467764.1513029,1.0,0.0,,,,True,-1.0,0.02572193145751811,0.0
7,200,5.580462217330933,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,107,0.12156162410974503,5.520144623005763e-05,0.5295795202255249,-0.9998623728752136,4.575020790100098,0.14129763841629028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0898937726020813,-0.0898937726020813,-0.018437694251539252,0.009657055392861366,0.0,2.0265417962793448e-05,0.0,20.148212909698497,,,0.14821290969848278,0.8,0.8,0.9158878504672897,0.2,0.0,0.0,0.23529411764705882,0.4215686274509804,0.3431372549019608,0.23529411764705882,0.4215686274509804,0.3431372549019608,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255,102,4000,9.522196769714355,10.575054168701172,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9991499999999999,4.99575,105548581.25560264,1.0,0.0,,,,True,-1.0,0.14821290969848278,0.0
8,200,5.1822593212127686,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,115,0.11980442702770233,4.850377808907069e-05,0.5043153762817383,-0.9673166871070862,4.536213397979736,0.13852322101593018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08918729186058044,-0.08918729186058044,-0.0006095837354668363,0.012644603187218308,0.0,5.7083308114966845e-05,0.0,20.153364658355724,,,0.15336465835570934,0.75,0.75,0.9652173913043478,0.25,0.0,0.0,0.1826086956521739,0.4956521739130435,0.3217391304347826,0.1826086956521739,0.4956521739130435,0.3217391304347826,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02875,115,4000,10.073636054992676,10.097289085388184,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.9997499999999999,4.99875,113667307.27986254,1.0,0.0,,,,True,-1.0,0.15336465835570934,0.0
9,200,5.151116609573364,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,122,0.13866816461086273,4.628121678251773e-05,1.50103759765625,4.628121678251773e-05,4.622345447540283,0.13866816461086273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09078444457054138,-0.09078444457054138,-0.028329262554646295,0.011586186986416579,0.0,5.92117427648481e-05,0.0,20.100326251983653,,,0.10032625198363831,0.9,0.9,0.9672131147540983,0.1,0.0,0.0,0.21311475409836064,0.5245901639344263,0.26229508196721313,0.21311475409836064,0.5245901639344263,0.26229508196721313,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,122,4000,12.796953201293945,9.244792938232422,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,5.0,109673927.22978634,1.0,0.0,,,,True,-1.0,0.10032625198363831,0.0
10,200,5.086435794830322,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,114,0.15299756824970245,3.563814743756666e-06,1.501798152923584,-0.7816179394721985,4.5687713623046875,0.16081373393535614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09038179814815521,-0.09038179814815521,-0.03221900051832465,0.010774416563101113,0.0,7.945589641811047e-05,0.0,20.00506830215455,,,0.005068302154537463,0.95,0.95,0.9912280701754386,0.05,0.0,0.0,0.23275862068965517,0.43103448275862066,0.33620689655172414,0.23275862068965517,0.43103448275862066,0.33620689655172414,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,116,4000,13.54857349395752,7.922389030456543,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,5.0,98587851.47837944,1.0,0.0,,,,True,-1.0,0.005068302154537463,0.0
