episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,23.21834850847521,0.12109174254237605,3.2074243799845377,0.8,0.8,0.8,0.9416666666666667,0.9736842105263158,0.3565217391304348,0.3130434782608696,0.33043478260869563,0.4996773062469438,0.09975,0.09975,0.62,0.6293164726197487,56.7652538389611,81.57894736842105,0.27423978416895123,0.8157894736842105,0.3576012876233016,37.24142748207192,-19.523826356889177,7.552617499595157,20,20,4.636918067932129
2,,23.578031705063477,0.12289015852531739,1.9736518486340842,0.8,0.8,0.8,0.9736842105263158,1.0,0.3524590163934426,0.3114754098360656,0.3360655737704918,0.500762725621229,0.11075,0.11075,0.44,0.6332436693580134,57.07837155474378,87.8048780487805,0.2752189824816245,0.8780487804878049,0.3197746035992714,37.90460300069292,-19.17376855405086,7.65410715802874,20,20,4.940982103347778
3,,30.21758343211325,0.15608791716056625,3.6330265108744304,0.95,0.95,0.95,1.0,1.0,0.272,0.552,0.176,0.49616574217088055,0.0515,0.0515,1.155,0.9786206878419429,24.861167950544363,86.36363636363636,0.12001153638256286,0.8636363636363636,0.1437959047162766,36.80820249640506,11.947034545860696,9.121569448469671,20,20,5.0890069007873535
4,,21.426067547486166,0.11213033773743084,3.3559291919072467,0.8,0.8,0.8,0.9509803921568627,1.0,0.11764705882352941,0.5980392156862745,0.28431372549019607,0.4887900730490219,0.03375,0.03375,1.16,0.550455070059099,56.25053459144223,79.3103448275862,0.1626211552000256,0.7931034482758621,0.21222899648081436,37.887270829828644,-18.363263761613588,9.186888576862602,20,20,5.155567169189453
5,,30.118137680572335,0.15559068840286167,1.700777951478958,0.85,0.85,0.85,1.0,1.0,0.040983606557377046,0.6475409836065574,0.3114754098360656,0.49358817231608554,0.03075,0.03075,1.725,0.938548229465627,29.467405499719604,81.57894736842105,0.2181285895739587,0.8157894736842105,0.2756947771480641,40.07600637289401,10.608600873174405,9.020933091701018,20,20,4.934968948364258
6,,29.86895667293172,0.1543447833646586,1.9138404456774394,0.95,0.95,0.95,0.9921875,1.0,0.023255813953488372,0.6821705426356589,0.29457364341085274,0.48481550500867887,0.04075,0.04075,1.655,0.8743683956726825,58.763795466223,76.31578947368422,0.12572433331336721,0.7631578947368421,0.17083904701331362,39.21977085790127,-19.544024608321735,9.605113310050255,20,20,4.874627113342285
7,,14.75056269307806,0.0787528134653903,10.554893065948743,0.65,0.65,0.65,0.8141592920353983,1.0,0.05,0.74,0.21,0.49930766058852893,0.0205,0.0205,1.925,0.28949785087957064,58.81414077605436,85.71428571428571,0.24104278280687955,0.8571428571428571,0.28997883371208366,39.154394050795396,-19.659746725258962,10.299646880764463,20,20,5.0425660610198975
8,,30.94025084549408,0.1597012542274704,1.8536645865440369,0.95,0.95,0.95,0.9921259842519685,1.0,0.1328125,0.6875,0.1796875,0.5090863732198486,0.0425,0.0425,1.61,0.8930821475794376,54.8899640851505,73.91304347826086,0.3013767747413998,0.7391304347826086,0.41345094949441374,39.821045771696134,-15.06891831345437,9.280770516364198,20,20,4.938115119934082
9,,28.9643319880407,0.1498216599402035,1.960969285964966,0.9,0.9,0.9,0.9658119658119658,1.0,0.05982905982905983,0.7692307692307693,0.17094017094017094,0.5179117080136202,0.02175,0.02175,1.685,0.8485937394029301,60.095262235415106,75.0,0.17374576946975723,0.75,0.24743403180412457,40.91737777783891,-19.177884457576194,9.508233589008347,20,20,5.021565198898315
10,,26.031520029844835,0.13515760014922418,1.0810169286529223,0.85,0.85,0.85,0.9689922480620154,1.0,0.125,0.65625,0.21875,0.5045396345152985,0.055,0.055,1.575,0.6872675391585366,56.716188179846725,82.14285714285714,0.3067740335998081,0.8214285714285714,0.3967291133105115,39.52799621361709,-17.18819196622964,8.836593732470126,20,20,5.318605661392212
