episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-0.5176428954432808,-103.52857908865616,0.35,0.35,0.6129807692307693,0.8415841584158416,0.92725,0.03775,0.035,0.92725,0.03775,0.035,0.015516344841050859,0.2132830905986373,1.0,20.000000000000014,24.706635856628424,7.157142857142847,7.157142857142847,9.609999999999982,0.65,1.0,0.0,0.91625,0.08374999999999999,0.08374999999999999,0.0,1.3080334611004218e-06,0.0,1.7311378996964777e-09,1.3080334611004218e-06,1.7311378996964777e-09,0.6635924577713013,0.5,0.11027102917432785,,,,,0.17640990018844604,0.5,289,0.0,0.0,0.0,271,62,0.22878228782287824,62,0.17275,2.1
1,LB-Greedy,-1.4086474058496106,-281.7294811699221,0.2,0.2,0.4879807692307692,0.7368421052631579,0.94575,0.02725,0.027,0.94575,0.02725,0.027,0.009516088980718478,0.17541177844642358,0.998664021975135,20.000000000000014,25.181334781646733,9.049999999999983,9.049999999999983,12.369999999999973,0.8,1.0,0.0,0.93725,0.06274999999999997,0.06274999999999997,0.0,7.705996722506825e-06,0.0,9.908931275504074e-08,7.705996722506825e-06,9.908931275504074e-08,0.7047601342201233,0.5,0.08975956588983536,,,,,0.2072000354528427,0.5,212,0.0,0.0,0.0,187,19,0.10160427807486631,19,0.107,1.315
2,EFT,-0.9782000225078898,-195.64000450157798,0.25,0.25,0.6088992974238876,0.8173076923076923,0.91975,0.04025,0.04,0.91975,0.04025,0.04,0.012398893823977825,0.15450334983149938,1.0,20.000000000000014,24.31296606063843,8.366666666666653,8.366666666666653,12.324999999999973,0.75,1.0,0.0,0.90875,0.09125000000000005,0.09125000000000005,0.0,4.682985490944702e-06,0.0,3.069466458782699e-09,4.682985490944702e-06,3.069466458782699e-09,0.6649929285049438,0.4852941036224365,0.10773289203643799,,,,,0.17105382680892944,0.5,316,0.0,0.0,0.0,296,81,0.27364864864864863,81,0.1795,2.005
2,LB-Greedy,-0.3135630043019478,-62.71260086038956,0.1,0.1,0.351288056206089,0.6447368421052632,0.95325,0.0225,0.02425,0.95325,0.0225,0.02425,0.005515217856358635,0.11797257446756441,1.0,20.000000000000014,24.985589694976806,7.29999999999999,7.29999999999999,9.279999999999983,0.9,1.0,0.0,0.946,0.05400000000000005,0.05400000000000005,0.0,9.638276878831675e-07,1.1456789293304293e-12,1.718150482998837e-10,9.638276878831675e-07,1.718150482998837e-10,0.6710599064826965,0.5,0.10320959240198135,,,,,0.23777012526988983,0.5,184,0.0,0.0,0.0,154,32,0.2077922077922078,32,0.0815,1.04
3,EFT,-0.6902440843928566,-138.0488168785713,0.2,0.2,0.4701670644391408,0.75,0.941,0.02975,0.02925,0.941,0.02975,0.02925,0.009694739964380172,0.16431762651491819,1.0,20.000000000000014,24.42121915817261,7.874999999999988,7.874999999999988,10.374999999999979,0.8,1.0,0.0,0.93125,0.06874999999999998,0.06874999999999998,0.0,2.7780943128163926e-06,0.0,1.9243648896605237e-09,2.7780943128163926e-06,1.9243648896605237e-09,0.6749160885810852,0.5,0.10256477445363998,,,,,0.21422116458415985,0.5,235,0.0,0.0,0.0,210,47,0.22380952380952382,47,0.13275,1.72
3,LB-Greedy,-1.7957306228695804,-359.1461245739161,0.05,0.05,0.32935560859188545,0.6428571428571429,0.9575,0.0165,0.026,0.9575,0.0165,0.026,0.006836676516607232,0.1608629768613466,1.0,20.000000000000014,25.806903266906737,7.699999999999989,7.699999999999989,7.699999999999989,0.95,1.0,0.0,0.94975,0.05025000000000002,0.05025000000000002,0.0,6.597235369554255e-06,5.73875322262829e-12,3.531127390488109e-07,6.597235369554255e-06,3.531127390488109e-07,0.637688934803009,0.5,0.11686065047979355,,,,,0.2556134760379791,0.5,168,0.0,0.0,0.0,138,31,0.2246376811594203,31,0.092,0.845
4,EFT,-0.5287260009512217,-105.74520019024433,0.15,0.15,0.5885286783042394,0.8125,0.929,0.03725,0.03375,0.929,0.03725,0.03375,0.00898436864245724,0.12654040341489073,0.8333516285343389,20.000000000000014,24.543189907073973,8.33333333333332,8.33333333333332,10.879999999999978,0.85,1.0,0.0,0.9195,0.08050000000000002,0.08050000000000002,0.0,2.4551434307795716e-06,0.0,9.542252543681684e-10,2.4551434307795716e-06,9.542252543681684e-10,0.6766364574432373,0.5,0.10053101927042007,,,,,0.18192532658576965,0.5,279,0.0,0.0,0.0,260,62,0.23846153846153847,62,0.15975,1.89
4,LB-Greedy,-3.0292024090126324,-605.8404818025265,0.05,0.05,0.38403990024937656,0.7065217391304348,0.94575,0.02925,0.025,0.94575,0.02925,0.025,0.00743615788924307,0.13707203482475708,0.8627411134432753,20.000000000000014,24.427543544769286,7.29999999999999,7.29999999999999,7.29999999999999,0.95,1.0,0.0,0.94075,0.059250000000000025,0.059250000000000025,0.0,1.5706831618444994e-05,6.4618995918031e-12,0.000199526286451146,1.5706831618444994e-05,0.000199526286451146,0.6034100651741028,0.48320356011390686,0.13299186527729034,,,,,0.1948879212141037,0.5,215,0.0,0.0,0.0,187,51,0.2727272727272727,51,0.0815,1.23
5,EFT,-0.33409073148345153,-66.8181462966903,0.35,0.35,0.5995260663507109,0.8682170542635659,0.9165,0.039,0.0445,0.9165,0.039,0.0445,0.02021423061606942,0.24208659420442416,1.0,20.000000000000014,22.792844581604008,8.78571428571427,8.78571428571427,10.789999999999978,0.65,1.0,0.0,0.9065,0.09350000000000003,0.09350000000000003,0.0,6.507253829113324e-07,0.0,1.0603540961939828e-10,6.507253829113324e-07,1.0603540961939828e-10,0.6159552335739136,0.5,0.124102383852005,,,,,0.1595158576965332,0.5,332,0.0,0.0,0.0,315,101,0.32063492063492066,101,0.1905,2.03
5,LB-Greedy,-1.4423358602334884,-288.46717204669767,0.0,0.0,0.3909952606635071,0.6979166666666666,0.94825,0.024,0.02775,0.94825,0.024,0.02775,0.01050446207899925,0.20298477447341548,1.0,20.000000000000014,24.593923568725586,0.0,0.0,0.0,1.0,1.0,0.0,0.942,0.05800000000000005,0.05800000000000005,0.0,6.387714620359475e-06,0.0,2.0327784966411855e-07,6.387714620359475e-06,2.0327784966411855e-07,0.666461169719696,0.5,0.10249590128660202,,,,,0.20311830937862396,0.5,207,0.0,0.0,0.0,177,37,0.20903954802259886,37,0.08725,1.04
