episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-407.8271915630224,-2.0341359578151117,0.8842419683933258,0.0,0.0,0.0,0.10120481927710843,0.4838709677419355,0.1518987341772152,0.05063291139240506,0.7974683544303798,0.4996435503154062,0.049,0.049,0.03,0.2042261196597569,2860.797880076411,30.158730158730158,-79564.73360902767,0.30158730158730157,0.16501163044584993,0.6089065743115936,-2860.188973502099,5.049792029067252,20,20,11.740071058273315
2,,-292.4442831028287,-1.4572214155141436,0.5781818628311157,0.0,0.0,0.0,0.12857142857142856,0.5483870967741935,0.23809523809523808,0.0761904761904762,0.6857142857142857,0.5059709685184062,0.0955,0.0955,0.05,0.22710812598950839,1815.6881587287446,43.05555555555556,-541.8126946750019,0.4305555555555556,0.3889126827035762,0.45421234912371755,-1815.2339463796209,4.630097851203679,20,20,12.17160701751709
3,,-146.407564980132,-0.72703782490066,0.4321584403514862,0.0,0.0,0.0,0.12826603325415678,0.5066666666666667,0.12871287128712872,0.04950495049504951,0.8217821782178217,0.4999539852184243,0.09075,0.09075,0.055,0.27870431124897876,804.7823812787426,30.120481927710845,-247563.35847048348,0.30120481927710846,0.21148705548622093,0.5714547249306553,-804.210926553812,5.339714175591445,20,20,11.870285987854004
4,,-562.6510414584764,-2.808255207292382,0.709119337797165,0.0,0.0,0.0,0.06542056074766354,0.45098039215686275,0.08695652173913043,0.043478260869565216,0.8695652173913043,0.4999415988427354,0.06275,0.06275,0.015,0.21534852904194582,4377.24556093485,23.333333333333332,-769640.0739406053,0.23333333333333334,0.4861344597486852,0.41907239616130365,-4376.826488538689,4.795130560653344,20,20,11.87198805809021
5,,-498.37085976131056,-2.486854298806553,0.5667580366134644,0.0,0.0,0.0,0.0893719806763285,0.48333333333333334,0.13793103448275862,0.04597701149425287,0.8160919540229885,0.4981766088925069,0.0715,0.0715,0.025,0.4861120858021896,1876.880378817467,35.2112676056338,-229763.4651292519,0.352112676056338,0.8344039943263222,-0.39038834685854507,-1877.2707671643257,5.012793266868016,20,20,11.428480863571167
6,,-526.6436359078195,-2.6282181795390978,0.9469443758328756,0.0,0.0,0.0,0.07823960880195599,0.375,0.08333333333333333,0.047619047619047616,0.8690476190476191,0.5008491796136368,0.03375,0.03375,0.02,0.25290311488576256,3218.9402462553826,34.24657534246575,-467007.67586136784,0.3424657534246575,0.28529969728697663,-0.34175878564636425,-3219.282005041029,5.5687311405908755,20,20,12.03358507156372
7,,-207.53320551524354,-1.0326660275762176,0.44904225692152977,0.0,0.0,0.0,0.12,0.5375,0.07766990291262135,0.02912621359223301,0.8932038834951457,0.49415301038965115,0.07425,0.07425,0.02,0.2676633206617777,1492.0783931730489,23.91304347826087,-16366.573564474049,0.2391304347826087,0.1370882582343665,0.05251795024423901,-1492.0258752228046,5.39949683148651,20,20,12.649621963500977
8,,-321.95297887278684,-1.6047648943639343,9.873178459026597,0.0,0.0,0.0,0.0763888888888889,0.46875,0.01282051282051282,0.02564102564102564,0.9615384615384616,0.4919512531196233,0.0665,0.0665,0.015,0.3087854007789632,1720.6164629848427,34.66666666666667,-797733.9223035205,0.3466666666666667,0.2828284361067769,-0.1394441698042548,-1720.7559071546468,4.847911135851592,20,20,12.322790145874023
9,,-300.9872502017375,-1.4999362510086873,0.4253785824403167,0.0,0.0,0.0,0.15609756097560976,0.5625,0.15254237288135594,0.03389830508474576,0.8135593220338984,0.49787603386014234,0.18825,0.18825,0.02,0.30123547593077143,1801.3353285421902,39.58333333333333,-45088.661367377244,0.3958333333333333,0.6178038977558099,-0.29489535022206925,-1801.6302238924122,4.923010919462672,20,20,12.223943948745728
10,,-258.1128844749506,-1.2855644223747529,0.8713611960411072,0.0,0.0,0.0,0.09226932668329177,0.4375,0.08333333333333333,0.023809523809523808,0.8928571428571429,0.500275964809698,0.05925,0.05925,0.005,0.264438143059373,1574.9141475873005,38.666666666666664,-1020800.5893939134,0.38666666666666666,0.3671254435091388,0.916704663425988,-1573.9974429238746,5.320140484505995,20,20,12.24599289894104
11,,-329.81840558126993,-1.6440920279063496,0.6282376646995544,0.0,0.0,0.0,0.14182692307692307,0.4888888888888889,0.09836065573770492,0.03278688524590164,0.8688524590163934,0.4922912264162442,0.104,0.104,0.03,0.15771785570105423,3477.4246555123495,46.22641509433962,-126973.87606119685,0.46226415094339623,0.33168831267441445,-2.12207545031516,-3479.5467309626647,4.78057369983896,20,20,11.521352291107178
12,,-298.6799605969125,-1.4883998029845626,1.612662434577942,0.0,0.0,0.0,0.08962264150943396,0.4305555555555556,0.09782608695652174,0.010869565217391304,0.8913043478260869,0.49857558912737293,0.053,0.053,0.005,0.32290609175720636,1697.193915808411,30.48780487804878,-417140.581437895,0.3048780487804878,0.22213633166416882,-1.33178482078796,-1698.525700629199,5.691664251920732,20,20,12.90862488746643
13,,-177.66644690912162,-0.883332234545608,0.925819993019104,0.0,0.0,0.0,0.1223021582733813,0.46987951807228917,0.09,0.03,0.88,0.5037240235307254,0.0735,0.0735,0.025,0.2749783527233603,1178.8066062727305,28.40909090909091,-2077615.9160381807,0.2840909090909091,0.2847382459495241,0.19449048752658515,-1178.612115785204,5.073152136192182,20,20,11.873628854751587
14,,-584.7044614783551,-2.918522307391776,0.48811715841293335,0.0,0.0,0.0,0.11421911421911422,0.5352112676056338,0.15625,0.020833333333333332,0.8229166666666666,0.5078443369325251,0.051,0.051,0.015,0.3308307550110319,3089.3839426442155,45.56962025316456,-920.5931594837831,0.45569620253164556,0.28663043092295193,-0.5372664991713509,-3089.921209143387,5.95873232242395,20,20,12.52432107925415
15,,-488.7407914409719,-2.4387039572048597,0.0,0.0,0.0,0.0,0.02771362586605081,0.28205128205128205,0.06666666666666667,0.0,0.9333333333333333,0.49481131886562796,0.01375,0.01375,0.0,0.3407534134054949,2779.0998263706897,9.523809523809524,-44430.80924096499,0.09523809523809523,0.11033978422012589,0.689120176014365,-2778.410706194675,5.288931946762261,20,20,12.71297812461853
16,,-390.5112417271628,-1.947556208635814,4.542450179656346,0.0,0.0,0.0,0.09219858156028368,0.4722222222222222,0.024390243902439025,0.036585365853658534,0.9390243902439024,0.4992888217904838,0.0485,0.0485,0.025,0.23879015172531534,2963.1237227153406,37.66233766233766,-433742.0076649362,0.37662337662337664,0.3427449218140108,-0.14829749183731988,-2963.272020207178,5.236198709476976,20,20,11.947946071624756
17,,-730.8115942125276,-3.649057971062638,1.07113978266716,0.0,0.0,0.0,0.07838479809976247,0.423728813559322,0.06756756756756757,0.08108108108108109,0.8513513513513513,0.49886931541515517,0.037,0.037,0.04,0.3911574756064192,3506.6335472925794,25.396825396825395,-246278.670516777,0.25396825396825395,0.32944843733835305,-0.7576381182895032,-3507.3911854108687,5.442031675043223,20,20,13.154237031936646
18,,-439.0417489082696,-2.190208744541348,0.6983200907707214,0.0,0.0,0.0,0.11483253588516747,0.5194805194805194,0.0784313725490196,0.049019607843137254,0.8725490196078431,0.49735928046912886,0.071,0.071,0.02,0.4498290851517881,1797.4628894367136,35.95505617977528,-54.48761583724438,0.3595505617977528,0.16837549728481682,0.041434445301316083,-1797.4214549914122,5.385707607823826,20,20,12.082492113113403
19,,-490.28221533947595,-2.44641107669738,22.712481478850048,0.0,0.0,0.0,0.09929078014184398,0.5151515151515151,0.09195402298850575,0.04597701149425287,0.8620689655172413,0.49924629185232333,0.052,0.052,0.025,0.4098661434583699,1923.8581917642603,40.0,-359593.227170731,0.4,0.3235339130896417,-1.2704090545264157,-1925.1286008187867,5.531806857908747,20,20,12.464884042739868
20,,-417.9537335799346,-2.084768667899673,1.0616121590137482,0.0,0.0,0.0,0.1522248243559719,0.55,0.1826086956521739,0.05217391304347826,0.7652173913043478,0.4976369651221903,0.082,0.082,0.035,0.39611500134821914,1671.7070584626656,43.18181818181818,-1201.3443272564193,0.4318181818181818,0.3948749859125344,-3.740651666572029,-1675.4477101292375,5.406518518807354,20,20,11.78954291343689
