episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-0.4390825934397599,-87.81651868795198,0.3,0.3,0.5961538461538461,0.7741935483870968,0.92575,0.0415,0.03275,0.92575,0.0415,0.03275,0.011720076797212129,0.15784615215100514,1.0,20.000000000000014,23.913113403320317,8.683333333333318,8.683333333333318,13.09999999999997,0.7,1.0,0.0,0.918,0.08199999999999996,0.08199999999999996,0.0,2.4324167497979943e-06,0.0,1.1911549524512566e-10,2.4324167497979943e-06,1.1911549524512566e-10,0.696663498878479,0.5,0.0970245972275734,,,,,0.16798776388168335,0.5,295,0.0,0.0,0.0,274,56,0.20437956204379562,56,0.13275,2.005
2,EFT,-1.9497202302012833,-389.94404604025664,0.1,0.1,0.5620608899297423,0.8181818181818182,0.91525,0.04225,0.0425,0.91525,0.04225,0.0425,0.014043741785016384,0.1657078676698098,1.0,20.000000000000014,23.922928714752196,7.599999999999989,7.599999999999989,7.869999999999988,0.9,1.0,0.0,0.90475,0.09524999999999995,0.09524999999999995,0.0,6.924445187905803e-06,0.0,4.0798167333377933e-07,6.924445187905803e-06,4.0798167333377933e-07,0.6020116806030273,0.5,0.13013269007205963,,,,,0.1521550714969635,0.5,339,0.0,0.0,0.0,315,113,0.35873015873015873,113,0.16725,1.92
3,EFT,-1.3120807206747926,-262.41614413495853,0.3,0.3,0.5966587112171837,0.8787878787878788,0.93775,0.03325,0.029,0.93775,0.03325,0.029,0.009107952967375745,0.14631249746788344,1.0,20.000000000000014,22.952840900421148,7.483333333333323,7.483333333333323,10.29999999999998,0.7,1.0,0.0,0.9255,0.07450000000000001,0.07450000000000001,0.0,6.704809948132606e-06,0.0,3.3601693871787575e-08,6.704809948132606e-06,3.3601693871787575e-08,0.7193047404289246,0.5,0.08357589691877365,,,,,0.1964455097913742,0.5,247,0.0,0.0,0.0,234,29,0.12393162393162394,29,0.13825,1.835
4,EFT,-0.830841307091803,-166.1682614183606,0.15,0.15,0.46384039900249374,0.725,0.93375,0.03625,0.03,0.93375,0.03625,0.03,0.01028562786423275,0.15525476021483398,1.0,20.000000000000014,24.35574073791504,10.29999999999998,10.29999999999998,13.439999999999968,0.85,1.0,0.0,0.926,0.07399999999999995,0.07399999999999995,0.0,5.01962404086953e-06,0.0,6.252135253959068e-09,5.01962404086953e-06,6.252135253959068e-09,0.5949066281318665,0.38944393396377563,0.14334243535995483,,,,,0.1925475150346756,0.5,260,0.0,0.0,0.0,238,82,0.3445378151260504,82,0.1355,1.86
5,EFT,-1.0155909990788634,-203.11819981577267,0.35,0.35,0.5260663507109005,0.7964601769911505,0.93725,0.02925,0.0335,0.93725,0.02925,0.0335,0.013069435435430215,0.20827785554470463,1.0,20.000000000000014,23.65163650512696,7.114285714285705,7.114285714285705,9.299999999999983,0.65,1.0,0.0,0.92675,0.07325000000000004,0.07325000000000004,0.0,5.248925845080521e-06,0.0,1.6960312043678982e-09,5.248925845080521e-06,1.6960312043678982e-09,0.6749208569526672,0.5,0.10072682797908783,,,,,0.20502515137195587,0.5,249,0.0,0.0,0.0,226,44,0.19469026548672566,44,0.136,1.615
6,EFT,-0.8430979000039952,-168.61958000079903,0.2,0.2,0.5686746987951807,0.8229166666666666,0.93625,0.033,0.03075,0.93625,0.033,0.03075,0.01095158893786727,0.17178963039791792,1.0,20.000000000000014,24.156893825531007,7.19999999999999,7.19999999999999,9.164999999999983,0.8,1.0,0.0,0.92275,0.07725000000000004,0.07725000000000004,0.0,3.944664513255702e-06,0.0,1.7202720359321688e-09,3.944664513255702e-06,1.7202720359321688e-09,0.719135582447052,0.5,0.08350597321987152,,,,,0.18778935074806213,0.5,254,0.0,0.0,0.0,236,48,0.2033898305084746,48,0.13725,1.88
7,EFT,-1.3162458997651907,-263.24917995303815,0.15,0.15,0.4872389791183295,0.803921568627451,0.929,0.034,0.037,0.929,0.034,0.037,0.011464272605321988,0.16146862824397168,1.0,20.000000000000014,25.14891653060913,8.466666666666653,8.466666666666653,8.889999999999985,0.85,1.0,0.0,0.91725,0.08274999999999999,0.08274999999999999,0.0,1.771137476680451e-06,0.0,6.291308096706416e-08,1.771137476680451e-06,6.291308096706416e-08,0.5512396097183228,0.3333333432674408,0.15773703157901764,,,,,0.1848142147064209,0.5,283,0.0,0.0,0.0,263,99,0.376425855513308,99,0.20425,2.305
8,EFT,-0.49294923527527024,-98.58984705505405,0.3,0.3,0.5811138014527845,0.8421052631578947,0.935,0.032,0.033,0.935,0.032,0.033,0.012271854711654932,0.18879776479469126,1.0,20.000000000000014,24.102906036376957,6.31666666666666,6.31666666666666,7.29999999999999,0.7,1.0,0.0,0.92425,0.07574999999999998,0.07574999999999998,0.0,2.1868650037504267e-06,0.0,2.15395930258655e-11,2.1868650037504267e-06,2.15395930258655e-11,0.72300785779953,0.5,0.08630935847759247,,,,,0.2016192078590393,0.5,259,0.0,0.0,0.0,244,42,0.1721311475409836,42,0.1525,1.955
9,EFT,-1.2751477767100037,-255.02955534200075,0.15,0.15,0.5761124121779859,0.8681318681318682,0.93075,0.0405,0.02875,0.93075,0.0405,0.02875,0.009086681410771087,0.13121561604001572,0.9764718363706628,20.000000000000014,23.4954794883728,8.999999999999984,8.999999999999984,12.57999999999997,0.85,1.0,0.0,0.917,0.08299999999999996,0.08299999999999996,0.0,7.746147275611293e-06,0.0,1.6198207219986216e-08,7.746147275611293e-06,1.6198207219986216e-08,0.637042224407196,0.49929577112197876,0.11748058348894119,,,,,0.17585644125938416,0.5,270,0.0,0.0,0.0,255,65,0.2549019607843137,65,0.1175,1.88
10,EFT,-0.5224840420933909,-104.49680841867819,0.15,0.15,0.7268408551068883,0.9097222222222222,0.91125,0.04875,0.04,0.91125,0.04875,0.04,0.01503583427564082,0.16941785099313597,1.0,20.000000000000014,22.585061073303223,10.533333333333312,10.533333333333312,13.459999999999969,0.85,1.0,0.0,0.89975,0.10024999999999995,0.10024999999999995,0.0,4.076247932971455e-06,0.0,6.981618061452366e-11,4.076247932971455e-06,6.981618061452366e-11,0.6756585240364075,0.5,0.09773929417133331,,,,,0.15327608585357666,0.5,355,0.0,0.0,0.0,340,77,0.22647058823529412,77,0.226,2.695
