episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,11.740071058273315,42,False,True,time_limit,1.0,20.000000000000014,26.133296966552734,0.0,20,True,1.3406324935953386,11.782704431218784,23773150942.36216,-0.001735945604006511,-3.512335830578122,-0.0025434949918661117,0.0,0.004709450143103014,-2.0569367596211018e-05,-3.5382047507871386,-2.0341359578151113,0.0004899703580288322,0.006093627030296794,0.9913562040503912,0.0007179010384501116,0.0,0.0013364918222499576,5.80570058317586e-06,5.743967903981684e-06,8.400606599234806e-12,4.725119288195856e-05,5.743967903981684e-06,4.725119288195856e-05,0.5529851317405701,0.5,0.44203981757164,0.5,0.5,0.75,0.7313432835820896,0.9104477611940298,0.15185044705867767,67,0.0,0.0,0.0,35,2,0.05714285714285714,2,20,20,415,-2.0341358184814453,-2.4926822185516357,-0.015448416583240032,-6.275336265563965,-0.008020013570785522,2.0341358184814453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03628153307908107,0.008124419946162025,0.0,0.0,26.133296966552734,,,6.13329696655272,0.0,0.0,0.10120481927710843,1.0,0.0,,0,0.98025,0.019750000000000045,0.019750000000000045,0.0,0.0,0.1518987341772152,0.05063291139240506,0.7974683544303798,0.1518987341772152,0.05063291139240506,0.7974683544303798,0.4995651207314044,0.8639111816883087,2.388356828689575,-0.015808372013270854,0.15079365223646163,0.10518540292978287,1.5796082973480225,0.8842419683933258,2.359744679927826,2.388356828689575,-2.388356828689575,0.01975,79,4000,-31.169965744018555,65.03326416015625,-35.281203269958496,51.694902420043945,-0.26682725101709365,0.051124928146600725,0.0,0,1.0,1.0,0.588894736842104,11.18900000000002,68609558.39588903,1.0,0.0,0.4207999587541904,0.17247007369333886,0.5932700324465977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021589479613124875,0.0,0.4996435503154062,0.03,0.0,True,-1.0,6.13329696655272,0.0
2,200,12.17160701751709,42,False,True,time_limit,1.0,20.000000000000014,26.535430908203125,0.0,20,True,1.3779989047582037,12.180689095581112,22828511309.266254,-0.0016681345274023745,-2.2801936192701406,-0.002883835417672142,0.0,0.0039043848754944576,-1.7679157676435718e-05,-2.3172712605500574,-1.4572214155141423,0.0007186536651775541,0.014012474733411268,0.982336541138982,0.001242393139542648,0.0,0.001682320915904505,7.616406981999823e-06,3.3688363600958837e-06,2.195773510932364e-12,8.695287334603563e-08,3.3688363600958837e-06,8.695287334603563e-08,0.571651816368103,0.5,0.39369046688079834,0.5,0.5,0.800000011920929,0.6625,0.8125,0.14419177174568176,80,0.0,0.0,0.0,52,14,0.2692307692307692,14,20,20,420,-1.4572213888168335,-1.5286002159118652,0.008055005222558975,-4.138946533203125,0.009053043089807034,1.4604401588439941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056655426362302086,0.33574513721080024,0.0,0.0,26.535430908203125,,,6.535430908203111,0.0,0.0,0.12857142857142856,1.0,0.0,,0,0.97375,0.026249999999999996,0.026249999999999996,0.0,0.0,0.23809523809523808,0.0761904761904762,0.6857142857142857,0.23809523809523808,0.0761904761904762,0.6857142857142857,0.5054319448567726,0.8634594678878784,2.2441282272338867,0.04074704647064209,0.1666666716337204,-0.09873643517494202,1.3740113973617554,0.5781818628311157,0.9482805728912354,2.2441282272338867,-2.2441282272338867,0.02625,105,4000,-27.87582778930664,59.24631881713867,-26.244157791137695,41.913753509521484,-0.6205880045890808,0.10887879133224487,0.0,0,1.0,1.0,0.5573421052631572,10.589499999999992,66918205.50814134,1.0,0.0,0.4517188612550021,0.17209740577885327,0.6238162670319937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03252567133485871,0.0,0.5059709685184062,0.05,0.04999999999998295,True,-1.0,6.535430908203111,0.0
3,200,11.870285987854004,42,False,True,time_limit,1.0,20.000000000000014,24.91805648803711,0.0,20,True,1.3424045855584399,11.770846345209588,23637905475.71218,-0.0017255077421044216,-1.2053170370047364,-0.003154352229615281,0.0,0.004453570163382865,-1.5182531269738864e-05,-1.2449762659811876,-0.727037824900659,0.0013810192501173932,0.02783585198171194,0.9646818672444216,0.0025246024949367044,0.0,0.003564507609587961,1.2151419224260872e-05,3.5031946481467457e-06,5.197160410363999e-12,9.630890751566312e-09,3.5031946481467457e-06,9.630890751566312e-09,0.5756628513336182,0.5,0.4110794961452484,0.5,0.5,0.848750114440918,0.6931818181818182,0.8181818181818182,0.14337962865829468,88,0.0,0.0,0.0,51,8,0.1568627450980392,8,20,20,421,-0.727037787437439,-0.15022262930870056,-0.001553562469780445,-4.007604598999023,0.0006850555655546486,0.7270598411560059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06474519881020799,0.5739661812010184,0.0,0.0,24.91805648803711,,,4.918056488037095,0.0,0.0,0.12826603325415678,1.0,0.0,,0,0.97475,0.025249999999999995,0.025249999999999995,0.0,0.0,0.12871287128712872,0.04950495049504951,0.8217821782178217,0.12871287128712872,0.04950495049504951,0.8217821782178217,0.5015187609787495,0.8663079440593718,2.5177597999572754,0.09561163187026978,0.0,-0.24605384469032288,1.3790340423583984,0.4321584403514862,0.9733188152313232,2.5177597999572754,-2.5177597999572754,0.02525,101,4000,-29.746139526367188,64.64563751220703,-11.675408363342285,17.768680572509766,-0.5880709886550903,0.09669510275125504,0.0,0,1.0,0.9972499999999994,0.5029736842105252,9.556499999999978,66308796.76734682,1.0,0.0,0.3542863060368047,0.1710745728659415,0.5253608791997241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03477936900476499,0.0,0.4999539852184243,0.055,0.0,True,-1.0,4.918056488037095,0.0
4,200,11.87198805809021,42,False,True,time_limit,1.0,20.000000000000014,26.325008392333984,0.0,20,True,1.3559129365171028,11.947018905437462,23424828122.481358,-0.0017005642300238829,-4.858972324834129,-0.002472862493991661,0.0,0.004739627658890683,-1.6051977602161064e-05,-4.872396422616433,-2.808255207292383,0.00034867974845637675,0.0018967361542326854,0.9962724242152655,0.0005070299946036802,0.0,0.0009718386271565519,3.291260285105673e-06,9.216886610374786e-06,1.1140453143321238e-11,5.716921805287711e-05,9.216886610374786e-06,5.716921805287711e-05,0.5431217551231384,0.5,0.4423280358314514,0.5,0.5,0.6666666865348816,0.746031746031746,0.9523809523809523,0.1570071280002594,63,0.0,0.0,0.0,35,10,0.2857142857142857,10,20,20,428,-2.808255195617676,-2.6401734352111816,-1.2409963607788086,-5.997420787811279,-0.05805957317352295,2.808255195617676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019853018019230312,0.0748326497482477,0.0,0.0,26.325008392333984,,,6.32500839233397,0.0,0.0,0.06542056074766354,1.0,0.0,,0,0.98275,0.017249999999999988,0.017249999999999988,0.0,0.0,0.08695652173913043,0.043478260869565216,0.8695652173913043,0.08695652173913043,0.043478260869565216,0.8695652173913043,0.49960228357036046,0.8639761328697204,2.2863595962524412,-0.00295651126652956,0.02857142984867096,0.03292456455528736,1.3728981971740724,0.709119337797165,2.502806282043457,2.2863595962524412,-2.2863595962524412,0.01725,69,4000,-44.301387786865234,87.10432434082031,-46.74197235107422,75.09411945343018,-1.1131041526794434,0.16320953369140626,0.0,0,1.0,1.0,0.5253157894736833,9.980999999999973,67241767.22964883,1.0,0.0,0.38833476897636,0.1680957804568076,0.5564305494331678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009250671058358619,0.0,0.4999415988427354,0.015,0.0,True,-1.0,6.32500839233397,0.0
5,200,11.428480863571167,42,False,True,time_limit,1.0,20.000000000000014,25.496906280517578,0.0,20,True,1.3714903344551357,11.144126558332072,21824469457.035122,-0.00185041432173093,-4.206563351335967,-0.003132941764423549,0.0,0.005142150197635289,-1.6049457304479083e-05,-4.231310180784034,-2.4868542988065525,0.00043678225474581096,0.004665081952313837,0.9929409882695391,0.0007395172809580205,0.0,0.0012138418378319943,3.7884046111032778e-06,4.171899490756914e-06,2.8122502590544052e-11,4.866460949415341e-05,4.171899490756914e-06,4.866460949415341e-05,0.525873064994812,0.4114285707473755,0.3956507742404938,0.5,0.5,0.75,0.7866666666666666,0.92,0.16709022223949432,75,0.0,0.0,0.0,44,13,0.29545454545454547,13,20,20,414,-2.486854314804077,-1.7016814947128296,0.00968803372234106,-7.727069854736328,0.009749858640134335,2.490536689758301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03585004439372417,0.06827850341796875,0.0,0.0,25.496906280517578,,,5.496906280517564,0.0,0.0,0.0893719806763285,1.0,0.0,,0,0.97825,0.021750000000000047,0.021750000000000047,0.0,0.0,0.13793103448275862,0.04597701149425287,0.8160919540229885,0.13793103448275862,0.04597701149425287,0.8160919540229885,0.4990682780920524,0.870821937918663,1.9389125108718872,0.23840589821338654,0.3333333432674408,-0.18436020612716675,1.5196093320846558,0.5667580366134644,1.000239610671997,1.9389125108718872,-1.9389125108718872,0.02175,87,4000,-50.719329833984375,87.08116912841797,-26.985811233520508,35.13703536987305,-1.5817807912826538,0.09264929592609406,0.0,0,1.0,0.9922499999999982,0.5120657894736853,9.729250000000015,62336185.67149837,1.0,0.0,0.30947109968608966,0.1592273496619122,0.4686984493480016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019763473361878378,0.0,0.4981766088925069,0.025,0.0,True,-1.0,5.496906280517564,0.0
6,200,12.03358507156372,42,False,True,time_limit,1.0,20.000000000000014,24.943096160888672,0.0,20,True,1.3501641029297173,11.585641546005771,22475495377.238304,-0.0017644332103616232,-4.288732908569782,-0.003069262107897186,0.0,0.004680566997342666,-1.910651744221352e-05,-4.320038538560313,-2.6282181795390915,0.0004079861283125122,0.006121048998882214,0.9916745640801172,0.0007096989315456318,0.0,0.0010822839018618537,4.417959280638648e-06,6.69282326271059e-06,4.989506724450976e-11,2.456916490700678e-06,6.69282326271059e-06,2.456916490700678e-06,0.5387445688247681,0.5,0.43160173296928406,0.5,0.5,0.75,0.7662337662337663,0.9090909090909091,0.15944218635559082,77,0.0,0.0,0.0,37,9,0.24324324324324326,9,20,20,409,-2.628218412399292,-3.109992742538452,-0.04653119668364525,-5.4131999015808105,-0.021676799282431602,2.628218412399292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04360284263112204,0.0009194413393692092,0.0,0.0,24.943096160888672,,,4.943096160888658,0.0,0.0,0.07823960880195599,1.0,0.0,,0,0.979,0.02100000000000002,0.02100000000000002,0.0,0.0,0.08333333333333333,0.047619047619047616,0.8690476190476191,0.08333333333333333,0.047619047619047616,0.8690476190476191,0.4994213489341014,0.854582893848419,2.3424542347590127,-0.004853950599984576,0.16130952537059784,0.18231695455809435,1.550219754378001,0.9469443758328756,1.8599237203598022,2.3424542347590127,-2.3424542347590127,0.021,84,4000,-52.0169792175293,95.64765167236328,-69.26419353485107,83.94646135965984,-1.9584667086601257,0.24694022412101427,0.0,0,1.0,1.0,0.5881052631578941,11.174000000000003,74027612.85144417,1.0,0.0,0.4046045646037531,0.17122947915174566,0.5758340437573614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02647193467226352,0.0,0.5008491796136368,0.02,0.0,True,-1.0,4.943096160888658,0.0
7,200,12.649621963500977,42,False,True,time_limit,1.0,20.000000000000014,24.48590660095215,0.0,20,True,1.3471191896848878,11.975117135277891,23485108197.674847,-0.0016938054843445933,-1.6348978158762473,-0.0035235021249486864,0.0,0.004234010749682395,-1.5046073729552331e-05,-1.6789082800640074,-1.0326660275762152,0.001006326217828825,0.023047847523254002,0.9713279067719901,0.0020933882902637196,0.0,0.002515592001100875,8.939195562525202e-06,1.260164594896196e-06,2.0484578389014935e-13,2.6420906351631857e-08,1.260164594896196e-06,2.6420906351631857e-08,0.5628738403320312,0.5,0.3937385082244873,0.5,0.5,0.75,0.6421052631578947,0.8421052631578947,0.14835798740386963,95,0.0,0.0,0.0,58,13,0.22413793103448276,13,20,20,425,-1.0326659679412842,-0.14017391204833984,-0.009636410512030125,-5.732536792755127,0.008525839075446129,1.0330930948257446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06623789405678111,0.45801948433423095,0.0,0.0,24.48590660095215,,,4.485906600952134,0.0,0.0,0.12,1.0,0.0,,0,0.97425,0.02575000000000005,0.02575000000000005,0.0,0.0,0.07766990291262135,0.02912621359223301,0.8932038834951457,0.07766990291262135,0.02912621359223301,0.8932038834951457,0.4958523964800343,0.8549489736557006,2.326907217502594,-0.016141716856509447,0.22500000149011612,-0.28406386682763696,1.4870147705078125,0.44904225692152977,9.565789431333542,2.326907217502594,-2.326907217502594,0.02575,103,4000,-12.193735122680664,25.7213077545166,-8.07374918460846,13.529677763581276,-2.790600895881653,0.4879150167107582,0.25,0,1.0,1.0,0.5455526315789481,10.365500000000004,75670901.25839034,1.0,0.0,0.2757828136241684,0.17106903007899835,0.4468518437031668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038793156578442636,0.0,0.49415301038965115,0.02,0.0,True,-1.0,4.485906600952134,0.0
8,200,12.322790145874023,42,False,True,time_limit,1.0,20.000000000000014,25.6164493560791,0.0,20,True,1.3393140858809862,11.810893102830414,23057218425.72175,-0.0017221702098760999,-2.6898709755404213,-0.003401735725976491,0.0,0.004591838297292852,-1.475340007927102e-05,-2.7213445888890506,-1.6047648943639339,0.0006317685408555747,0.009666243271822066,0.9867641720670534,0.0012479077873092828,0.0,0.0016844961303868488,5.4122025728282365e-06,2.4769346964603756e-06,1.2314539579033612e-12,4.015092542886123e-07,2.4769346964603756e-06,4.015092542886123e-07,0.5077921748161316,0.3333333432674408,0.42640694975852966,0.5,0.5,0.75,0.8051948051948052,0.935064935064935,0.17671354115009308,77,0.0,0.0,0.0,43,11,0.2558139534883721,11,20,20,432,-1.6047650575637817,-1.2563570737838745,0.007658498827368021,-9.06380844116211,0.009112377651035786,1.6074590682983398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042905614685515625,0.09581762215002586,0.0,0.0,25.6164493560791,,,5.616449356079087,0.0,0.0,0.0763888888888889,1.0,0.0,,0,0.9805,0.019499999999999962,0.019499999999999962,0.0,0.0,0.01282051282051282,0.02564102564102564,0.9615384615384616,0.01282051282051282,0.02564102564102564,0.9615384615384616,0.4926626001882087,0.8546675145626063,2.3737443793903696,-0.06354783136736263,0.20757575874978845,0.027058412405577572,19.7134354818951,9.873178459026597,221.77335241166028,2.3737443793903696,-2.3737443793903696,0.0195,78,4000,-26.163150787353516,74.3777847290039,-32.46464757485823,50.74237207932906,-3.87967510656877,0.3308344700119712,0.1590909090909091,0,1.0,1.0,0.5520263157894733,10.488499999999993,73437580.00158535,1.0,0.0,0.2436461204887961,0.16652667238988939,0.4101727928786856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02634970741278618,0.0,0.4919512531196233,0.015,0.0,True,-1.0,5.616449356079087,0.0
9,200,12.223943948745728,42,False,True,time_limit,1.0,20.000000000000014,25.342317581176758,0.0,20,True,1.3446853152483327,11.596465500574425,22739605904.46712,-0.0017641684233075162,-2.4540747850671503,-0.003973121252380771,0.0,0.004406493778327101,-1.510078244848059e-05,-2.500311174478407,-1.4999362510086935,0.0007043339683299917,0.016169029699030567,0.9797750651858373,0.00158624552019758,0.0,0.0017592967271603344,6.02889944424101e-06,2.1669629859388806e-06,4.177462629290085e-12,1.7943608554560342e-07,2.1669629859388806e-06,1.7943608554560342e-07,0.5451111197471619,0.3333333432674408,0.36526980996131897,0.5,0.5,0.800000011920929,0.66,0.85,0.15892483294010162,100,0.0,0.0,0.0,65,16,0.24615384615384617,16,20,20,410,-1.4999362230300903,-1.2543904781341553,-0.0401567667722702,-5.41902494430542,-0.020099297165870667,1.4999362230300903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06903782801002183,0.30366981401992393,0.0,0.0,25.342317581176758,,,5.342317581176744,0.0,0.0,0.15609756097560976,1.0,0.0,,0,0.9705,0.02949999999999997,0.02949999999999997,0.0,0.0,0.15254237288135594,0.03389830508474576,0.8135593220338984,0.15254237288135594,0.03389830508474576,0.8135593220338984,0.49816747778502873,0.8633364319801331,2.14492866396904,-0.009272756520658731,0.1458333358168602,-0.26751141995191574,1.4049127995967865,0.4253785824403167,1.497213453054428,2.14492866396904,-2.14492866396904,0.0295,118,4000,-13.507002830505371,29.328227996826172,-10.064569056034088,8.535974472761154,-4.251840174198151,0.308544609695673,0.0416666679084301,0,1.0,0.9877499999999972,0.6003421052631582,11.406500000000005,64844080.94080782,0.9995,0.0,0.3812846415068631,0.1727981188261687,0.5540827606066037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04049909973557713,0.0,0.49787603386014234,0.02,0.0,True,-1.0,5.342317581176744,0.0
10,200,12.24599289894104,42,False,True,time_limit,1.0,20.000000000000014,24.732275009155273,0.0,20,True,1.3781957290390858,11.182925382346983,21106475593.309414,-0.0018496830124432994,-2.040301930028847,-0.0035000151346408657,0.0,0.004690937335324008,-1.829732076699056e-05,-2.0711476906252746,-1.2855644223747529,0.0008910454723361955,0.012282186112474188,0.9828720838764448,0.0016860578909195683,0.0,0.002259812302493885,8.814345331405675e-06,1.6394069461966865e-06,5.67628680604032e-13,8.210603397174054e-08,1.6394069461966865e-06,8.210603397174054e-08,0.4993506669998169,0.25,0.41580086946487427,0.5,0.5,0.75,0.8311688311688312,0.922077922077922,0.18181897699832916,77,0.0,0.0,0.0,41,11,0.2682926829268293,11,20,20,401,-1.2855645418167114,-1.1421682834625244,0.00934422854334116,-6.258731365203857,0.0093795545399189,1.288936734199524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04478693580252106,0.18501841227213542,0.0,0.0,24.732275009155273,,,4.732275009155259,0.0,0.0,0.09226932668329177,1.0,0.0,,0,0.979,0.02100000000000002,0.02100000000000002,0.0,0.0,0.08333333333333333,0.023809523809523808,0.8928571428571429,0.08333333333333333,0.023809523809523808,0.8928571428571429,0.49863638021672596,0.8654037415981293,2.298429012298584,0.058086127042770386,0.0,0.22534532845020294,1.3125107288360596,0.8713611960411072,1.9015792608261108,2.298429012298584,-2.298429012298584,0.021,84,4000,-43.104515075683594,89.37071990966797,-67.21426391601562,109.66404724121094,-5.100953578948975,0.6329496502876282,0.0,0,1.0,0.9972499999999994,0.4733157894736833,8.992999999999988,71679193.33198175,1.0,0.0,0.3756198187528406,0.1638504782627718,0.5394702970156124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0254960624493683,0.0,0.500275964809698,0.005,0.0,True,-1.0,4.732275009155259,0.0
