episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,11.740071058273315,20.0,-2.0341358184814453,-407.8271915630224,-0.015448416583240032,2.0341358184814453,0.0,0.0,0.10120481927710843,0.0,0.0,0,26.133296966552734,20.000000000000014,0.03628153307908107,0.008124419946162025,0.0,0.0,20,1.0,0.1518987341772152,0.05063291139240506,0.7974683544303798,0.1518987341772152,0.05063291139240506,0.7974683544303798,0.4996435503154062,0.03,0.0,0.4995651207314044,0.8639111816883087,8.400606599234806e-12,4.725119288195856e-05,5.743967903981684e-06,4.725119288195856e-05,0.05714285714285714,0.5,0.5,65,12,4.25705472,0.0,1.0,0.0,0.98025,0.019750000000000045,0.019750000000000045,0.0,0.0,0.10518540292978287,1.5796082973480225,2.388356828689575,-0.015808372013270854,0.15079365223646163,2.359744679927826,0.01975,0.0,0,True,0.0003,0.0,1.2
2,200,12.17160701751709,20.0,-1.4572213888168335,-292.4442831028287,0.008055005222558975,1.4604401588439941,0.0,0.0,0.12857142857142856,0.0,0.0,0,26.535430908203125,20.000000000000014,0.056655426362302086,0.33574513721080024,0.0,0.0,20,1.0,0.23809523809523808,0.0761904761904762,0.6857142857142857,0.23809523809523808,0.0761904761904762,0.6857142857142857,0.5059709685184062,0.05,0.04999999999998295,0.5054319448567726,0.8634594678878784,2.195773510932364e-12,8.695287334603563e-08,3.3688363600958837e-06,8.695287334603563e-08,0.2692307692307692,0.5,0.5,66,25,6.392348672,0.0,1.0,0.0,0.97375,0.026249999999999996,0.026249999999999996,0.0,0.0,-0.09873643517494202,1.3740113973617554,2.2441282272338867,0.04074704647064209,0.1666666716337204,0.9482805728912354,0.02625,0.0,0,True,0.0003,0.0,1.2
3,200,11.870285987854004,20.0,-0.727037787437439,-146.407564980132,-0.001553562469780445,0.7270598411560059,0.0,0.0,0.12826603325415678,0.0,0.0,0,24.91805648803711,20.000000000000014,0.06474519881020799,0.5739661812010184,0.0,0.0,20,1.0,0.12871287128712872,0.04950495049504951,0.8217821782178217,0.12871287128712872,0.04950495049504951,0.8217821782178217,0.4999539852184243,0.055,0.0,0.5015187609787495,0.8663079440593718,5.197160410363999e-12,9.630890751566312e-09,3.5031946481467457e-06,9.630890751566312e-09,0.1568627450980392,0.5,0.5,80,13,7.355980288,0.0,1.0,0.0,0.97475,0.025249999999999995,0.025249999999999995,0.0,0.0,-0.24605384469032288,1.3790340423583984,2.5177597999572754,0.09561163187026978,0.0,0.9733188152313232,0.02525,0.0,0,True,0.0003,0.0,1.2
4,200,11.87198805809021,20.0,-2.808255195617676,-562.6510414584764,-1.2409963607788086,2.808255195617676,0.0,0.0,0.06542056074766354,0.0,0.0,0,26.325008392333984,20.000000000000014,0.019853018019230312,0.0748326497482477,0.0,0.0,20,1.0,0.08695652173913043,0.043478260869565216,0.8695652173913043,0.08695652173913043,0.043478260869565216,0.8695652173913043,0.4999415988427354,0.015,0.0,0.49960228357036046,0.8639761328697204,1.1140453143321238e-11,5.716921805287711e-05,9.216886610374786e-06,5.716921805287711e-05,0.2857142857142857,0.5,0.5,53,6,3.048187392,0.0,1.0,0.0,0.98275,0.017249999999999988,0.017249999999999988,0.0,0.0,0.03292456455528736,1.3728981971740724,2.2863595962524412,-0.00295651126652956,0.02857142984867096,2.502806282043457,0.01725,0.0,0,True,0.0003,0.0,1.2
5,200,11.428480863571167,20.0,-2.486854314804077,-498.37085976131056,0.00968803372234106,2.490536689758301,0.0,0.0,0.0893719806763285,0.0,0.0,0,25.496906280517578,20.000000000000014,0.03585004439372417,0.06827850341796875,0.0,0.0,20,1.0,0.13793103448275862,0.04597701149425287,0.8160919540229885,0.13793103448275862,0.04597701149425287,0.8160919540229885,0.4981766088925069,0.025,0.0,0.4990682780920524,0.870821937918663,2.8122502590544052e-11,4.866460949415341e-05,4.171899490756914e-06,4.866460949415341e-05,0.29545454545454547,0.4114285707473755,0.5,62,12,4.172867072,0.0,1.0,0.0,0.97825,0.021750000000000047,0.021750000000000047,0.0,0.0,-0.18436020612716675,1.5196093320846558,1.9389125108718872,0.23840589821338654,0.3333333432674408,1.000239610671997,0.02175,0.0,0,True,0.0003,0.0,1.2
6,200,12.03358507156372,20.0,-2.628218412399292,-526.6436359078195,-0.04653119668364525,2.628218412399292,0.0,0.0,0.07823960880195599,0.0,0.0,0,24.943096160888672,20.000000000000014,0.04360284263112204,0.0009194413393692092,0.0,0.0,20,1.0,0.08333333333333333,0.047619047619047616,0.8690476190476191,0.08333333333333333,0.047619047619047616,0.8690476190476191,0.5008491796136368,0.02,0.0,0.4994213489341014,0.854582893848419,4.989506724450976e-11,2.456916490700678e-06,6.69282326271059e-06,2.456916490700678e-06,0.24324324324324326,0.5,0.5,68,7,3.814155776,0.0,1.0,0.0,0.979,0.02100000000000002,0.02100000000000002,0.0,0.0,0.18231695455809435,1.550219754378001,2.3424542347590127,-0.004853950599984576,0.16130952537059784,1.8599237203598022,0.021,0.0,0,True,0.0003,0.0,1.2
7,200,12.649621963500977,20.0,-1.0326659679412842,-207.53320551524354,-0.009636410512030125,1.0330930948257446,0.0,0.0,0.12,0.0,0.0,0,24.48590660095215,20.000000000000014,0.06623789405678111,0.45801948433423095,0.0,0.0,20,1.0,0.07766990291262135,0.02912621359223301,0.8932038834951457,0.07766990291262135,0.02912621359223301,0.8932038834951457,0.49415301038965115,0.02,0.0,0.4958523964800343,0.8549489736557006,2.0484578389014935e-13,2.6420906351631857e-08,1.260164594896196e-06,2.6420906351631857e-08,0.22413793103448276,0.5,0.5,82,8,6.319023616,0.0,1.0,0.0,0.97425,0.02575000000000005,0.02575000000000005,0.0,0.0,-0.28406386682763696,1.4870147705078125,2.326907217502594,-0.016141716856509447,0.22500000149011612,9.565789431333542,0.02575,0.25,0,True,0.0003,0.0,1.2
8,200,12.322790145874023,20.0,-1.6047650575637817,-321.95297887278684,0.007658498827368021,1.6074590682983398,0.0,0.0,0.0763888888888889,0.0,0.0,0,25.6164493560791,20.000000000000014,0.042905614685515625,0.09581762215002586,0.0,0.0,20,1.0,0.01282051282051282,0.02564102564102564,0.9615384615384616,0.01282051282051282,0.02564102564102564,0.9615384615384616,0.4919512531196233,0.015,0.0,0.4926626001882087,0.8546675145626063,1.2314539579033612e-12,4.015092542886123e-07,2.4769346964603756e-06,4.015092542886123e-07,0.2558139534883721,0.3333333432674408,0.5,66,1,4.377011712,0.0,1.0,0.0,0.9805,0.019499999999999962,0.019499999999999962,0.0,0.0,0.027058412405577572,19.7134354818951,2.3737443793903696,-0.06354783136736263,0.20757575874978845,221.77335241166028,0.0195,0.1590909090909091,0,True,0.0003,0.0,1.2
9,200,12.223943948745728,20.0,-1.4999362230300903,-300.9872502017375,-0.0401567667722702,1.4999362230300903,0.0,0.0,0.15609756097560976,0.0,0.0,0,25.342317581176758,20.000000000000014,0.06903782801002183,0.30366981401992393,0.0,0.0,20,1.0,0.15254237288135594,0.03389830508474576,0.8135593220338984,0.15254237288135594,0.03389830508474576,0.8135593220338984,0.49787603386014234,0.02,0.0,0.49816747778502873,0.8633364319801331,4.177462629290085e-12,1.7943608554560342e-07,2.1669629859388806e-06,1.7943608554560342e-07,0.24615384615384617,0.3333333432674408,0.5,84,18,8.494163456,0.0,1.0,0.0,0.9705,0.02949999999999997,0.02949999999999997,0.0,0.0,-0.26751141995191574,1.4049127995967865,2.14492866396904,-0.009272756520658731,0.1458333358168602,1.497213453054428,0.0295,0.0416666679084301,0,True,0.0003,0.0,1.2
10,200,12.24599289894104,20.0,-1.2855645418167114,-258.1128844749506,0.00934422854334116,1.288936734199524,0.0,0.0,0.09226932668329177,0.0,0.0,0,24.732275009155273,20.000000000000014,0.04478693580252106,0.18501841227213542,0.0,0.0,20,1.0,0.08333333333333333,0.023809523809523808,0.8928571428571429,0.08333333333333333,0.023809523809523808,0.8928571428571429,0.500275964809698,0.005,0.0,0.49863638021672596,0.8654037415981293,5.67628680604032e-13,8.210603397174054e-08,1.6394069461966865e-06,8.210603397174054e-08,0.2682926829268293,0.25,0.5,66,7,4.556895232,0.0,1.0,0.0,0.979,0.02100000000000002,0.02100000000000002,0.0,0.0,0.22534532845020294,1.3125107288360596,2.298429012298584,0.058086127042770386,0.0,1.9015792608261108,0.021,0.0,0,True,0.0003,0.0,1.2
11,200,11.521352291107178,20.0,-1.6440919637680054,-329.81840558126993,0.006135317962616682,1.645127773284912,0.0,0.0,0.14182692307692307,0.0,0.0,0,25.595813751220703,20.000000000000014,0.05393411062010305,0.32117627461750053,0.0,0.0,20,1.0,0.09836065573770492,0.03278688524590164,0.8688524590163934,0.09836065573770492,0.03278688524590164,0.8688524590163934,0.4922912264162442,0.03,0.0,0.4914218636203713,0.8523837089538574,3.2918930168573945e-12,3.580399788916111e-05,6.538675279443851e-06,3.580399788916111e-05,0.25,0.5,0.5,94,12,6.560986112,0.0,1.0,0.0,0.9695,0.03049999999999997,0.03049999999999997,0.0,0.0,-0.018069049715995787,1.3116060256958009,2.134005069732666,0.017334807850420474,0.10448718070983887,1.362710416316986,0.0305,0.0,0,True,0.0003,0.0,1.2
