episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,r_time,r_interf,r_risk,r_illegal,r_pbrs,r_term,r_step,r_total,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_risk,abs_ratio_r_illegal,abs_ratio_r_pbrs,abs_ratio_r_term,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,uncertainty_selected_mean,uncertainty_selected_p90,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,risk_penalty_mean,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,top_illegal_reason,top_illegal_reason_count,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,11.784239053726196,42,False,True,time_limit,1.0,20.000000000000014,25.618188858032227,0.0,20,True,1.3406324935953386,12.282704431218784,23773150942.36216,-0.001662196330601838,-2.7929629680374033,-0.002997771697041413,0.0,0.00396506277160202,-1.922665602986801e-05,-2.8235752948507824,-1.6464639669491106,0.0005878554531845093,0.009178359592234555,0.9877644903166799,0.0010601975272499298,0.0,0.0014022973756344468,6.799735016602041e-06,6.522404873976484e-06,9.69379784776514e-12,2.0852380657743197e-06,6.522404873976484e-06,2.0852380657743197e-06,0.5627572536468506,0.5,0.4152263104915619,0.5,0.5,0.75,0.7037037037037037,0.8395061728395061,0.1480381041765213,81,0.0,0.0,0.0,47,7,0.14893617021276595,7,20,20,415,-1.6464638710021973,-1.521005392074585,0.005812067538499832,-5.006552696228027,0.0075792246498167515,1.6478183269500732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04635713970377197,0.15265748244809882,0.0,0.0,25.618188858032227,,,5.618188858032212,0.0,0.0,0.12048192771084337,1.0,0.0,,0,0.97625,0.02375000000000005,0.02375000000000005,0.0,0.0,0.14736842105263157,0.042105263157894736,0.8105263157894737,0.14736842105263157,0.042105263157894736,0.8105263157894737,0.49970742941527957,0.8639657646417618,2.432321786880493,0.02662457711994648,0.1428571492433548,-0.11094919592142105,1.644696593284607,0.7004536986351013,0.8298676609992981,2.432321786880493,-2.432321786880493,0.02375,95,4000,-37.75802230834961,74.774169921875,-26.028165817260742,32.45195388793945,0.045988891273736954,0.025915099307894707,0.0,0,1.0,1.0,0.588894736842104,11.18900000000002,68294724.40708181,1.0,0.0,0.30837012846829276,0.1722059079646388,0.4805760364320001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025952358785669045,0.0,0.499612604618771,0.025,0.0,True,-1.0,5.618188858032212,0.0
2,200,11.606970071792603,42,False,True,time_limit,1.0,20.000000000000014,25.6136474609375,0.0,20,True,1.3779989047582037,12.680689095581112,22828511309.266254,-0.0016004194465096917,-1.5262276184238353,-0.0044312417613501616,0.0,0.0032735773047829005,-1.6590370186651012e-05,-1.5773604047959597,-0.9998408642992772,0.0010125064046826342,0.02853325619530459,0.9655688963463859,0.0028034279849879504,0.0,0.0020714171601401584,1.049590849865886e-05,1.1917657047888497e-06,1.3584509385433652e-11,3.199139442244814e-08,1.1917657047888497e-06,3.199139442244814e-08,0.5340865254402161,0.3333333432674408,0.35238468647003174,0.5,0.5,0.75,0.6759259259259259,0.8703703703703703,0.16412007808685303,108,0.0,0.0,0.0,74,23,0.3108108108108108,23,20,20,420,-0.9998408555984497,-0.44058358669281006,0.002528080251067877,-8.458353042602539,0.00714335311204195,1.0006077289581299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07741070397160771,0.5840711085001628,0.0,0.0,25.6136474609375,,,5.613647460937486,0.0,0.0,0.17857142857142858,1.0,0.0,,0,0.966,0.03400000000000003,0.03400000000000003,0.0,0.0,0.20588235294117646,0.11029411764705882,0.6838235294117647,0.20588235294117646,0.11029411764705882,0.6838235294117647,0.5032041398305245,0.8699602395296097,2.2068231105804443,0.04607111215591431,0.0,0.9496983885765076,2.737802505493164,2.3086800575256348,3.843259811401367,2.2068231105804443,-2.2068231105804443,0.034,136,4000,-17.282917022705078,31.717187881469727,-47.08547592163086,35.6566047668457,-0.1010422632098198,0.06138217821717262,0.0,0,1.0,1.0,0.5572499999999992,10.58774999999999,67197648.52301529,1.0,0.0,0.3175836932562613,0.171343488974035,0.48892718223774695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0451011251642622,0.0,0.5027011788762175,0.1,1.0,True,-1.0,5.613647460937486,0.0
3,200,11.842742204666138,42,False,True,time_limit,1.0,20.000000000000014,24.534048080444336,0.0,20,True,1.3424045855584399,12.270846345209588,23637905475.71218,-0.0016531398679510893,-1.617537108134445,-0.0036886518454265606,0.0,0.0036585599204054316,-1.4229254389475085e-05,-1.6648523844464744,-1.00620625762283,0.0009907789905013835,0.025156036403629508,0.9694411308840254,0.0022107256757725965,0.0,0.002192800004026385,8.528042044660565e-06,1.5626712865923764e-06,2.4976908562235334e-12,4.003897213777918e-09,1.5626712865923764e-06,4.003897213777918e-09,0.5722183585166931,0.5,0.37521395087242126,0.5,0.5,0.800000011920929,0.6176470588235294,0.8333333333333334,0.14465300738811493,102,0.0,0.0,0.0,69,15,0.21739130434782608,15,20,20,421,-1.0062061548233032,-1.144099473953247,0.007733732461929321,-6.334570407867432,0.00816170684993267,1.0103862285614014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07621922865518725,0.6464274088541667,0.0,0.0,24.534048080444336,,,4.534048080444322,0.0,0.0,0.18527315914489312,1.0,0.0,,0,0.9665,0.033499999999999974,0.033499999999999974,0.0,0.0,0.23880597014925373,0.08955223880597014,0.6716417910447762,0.23880597014925373,0.08955223880597014,0.6716417910447762,0.4979081142401998,0.8623678863048553,1.9779923558235168,0.029765522107481956,0.05000000074505806,-0.29741179198026657,2.2287821769714355,0.8080981075763702,2.1246290504932404,1.9779923558235168,-1.9779923558235168,0.0335,134,4000,-24.85560417175293,61.32753372192383,-6.728179454803467,7.835327625274658,-0.30390283465385437,0.06976033747196198,0.0,0,1.0,0.9972499999999994,0.502907894736841,9.55524999999998,67743072.43384099,1.0,0.0,0.2850094289360756,0.1698084008119041,0.4548178297629217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041973484598643,0.0,0.49522711014666126,0.07,1.0,True,-1.0,4.534048080444322,0.0
4,200,11.885932922363281,42,False,True,time_limit,1.0,20.000000000000014,25.8067626953125,0.0,20,True,1.3559129365171028,12.447018905437462,23424828122.481358,-0.0016302498493975927,-2.469425605985575,-0.004123571189017902,0.0,0.003822505471914472,-1.509592694083703e-05,-2.498780341092104,-1.5199357560788385,0.0006514169499637635,0.009430478073209568,0.9867356816551515,0.001647700914004733,0.0,0.0015286903613016206,6.03204636903332e-06,2.2023855308361817e-06,4.444940075731818e-12,1.510024816298028e-07,2.2023855308361817e-06,1.510024816298028e-07,0.5533155202865601,0.5,0.39977750182151794,0.5,0.5,0.800000011920929,0.7102803738317757,0.8411214953271028,0.15415218472480774,107,0.0,0.0,0.0,63,15,0.23809523809523808,15,20,20,428,-1.5199357271194458,-1.313826084136963,-0.028032293543219566,-5.073793411254883,-0.0015506008639931679,1.5199357271194458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04318977732798282,0.19907396802431762,0.0,0.0,25.8067626953125,,,5.806762695312486,0.0,0.0,0.1261682242990654,1.0,0.0,,0,0.97125,0.028750000000000053,0.028750000000000053,0.0,0.0,0.06956521739130435,0.09565217391304348,0.8347826086956521,0.06956521739130435,0.09565217391304348,0.8347826086956521,0.5000720395597271,0.8573689818382263,2.2248823642730713,0.10056080669164658,0.0,-0.4549240171909332,3.189279556274414,1.129737138748169,5.538782119750977,2.2248823642730713,-2.2248823642730713,0.02875,115,4000,-16.286500930786133,28.82489585876465,-2.3782331943511963,1.2689740657806396,-0.5335639119148254,0.09843894839286804,0.0,0,1.0,1.0,0.5253157894736833,9.980999999999973,66001068.37497238,1.0,0.0,0.2776760714984993,0.16759282668119174,0.44526889817969106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02360091406809788,0.0,0.4982701909323223,0.09,1.0,True,-1.0,5.806762695312486,0.0
5,200,12.01344895362854,42,False,True,time_limit,1.0,20.000000000000014,25.932363510131836,0.0,20,True,1.3714903344551357,11.644126558332072,21824469457.035122,-0.0017663380000629155,-4.903340324937015,-0.0033094584171030643,0.0,0.004294050933187164,-1.4968891832075384e-05,-4.940910724747781,-2.8431090904950405,0.00035718087462559804,0.006570911603751222,0.9915312843779529,0.0006692237000595669,0.0,0.0008683725020645669,3.0269415460496322e-06,1.2845027413277421e-05,1.3198158711758001e-11,0.00013491068966686726,1.2845027413277421e-05,0.00013491068966686726,0.530246913433075,0.5,0.42263373732566833,0.5,0.5,0.75,0.7777777777777778,0.9382716049382716,0.16343003511428833,81,0.0,0.0,0.0,42,10,0.23809523809523808,10,20,20,414,-2.843109130859375,-2.59940242767334,-0.39919835329055786,-5.278705596923828,-0.10219436138868332,2.843109130859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05245458948335918,0.09082123595625528,0.0,0.0,25.932363510131836,,,5.932363510131822,0.0,0.0,0.10628019323671498,1.0,0.0,,0,0.976,0.02400000000000002,0.02400000000000002,0.0,0.0,0.15625,0.03125,0.8125,0.15625,0.03125,0.8125,0.49229436603683346,0.8612963080406187,2.312141180038452,0.047567181289196014,0.0,-0.16207407414913177,1.385538935661316,0.5203370451927185,0.7957817912101746,2.312141180038452,-2.312141180038452,0.024,96,4000,-34.34356689453125,76.03895568847656,-24.863174438476562,38.91682815551758,-0.6166466474533081,0.09070362895727158,0.0,0,1.0,0.9922499999999982,0.5141578947368433,9.769000000000013,62895401.56519281,1.0,0.0,0.3644515389362393,0.1588198994852292,0.5232714384214686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03249460339366205,0.0,0.49278939213673584,0.015,0.0,True,-1.0,5.932363510131822,0.0
6,200,11.946541786193848,42,False,True,time_limit,1.0,20.000000000000014,25.659271240234375,0.0,20,True,1.3501641029297173,12.085641546005771,22475495377.238304,-0.0016883512529745673,-4.4275303820627325,-0.002634418194857488,0.0,0.004193264493058381,-1.7880173387696953e-05,-4.445204868886228,-2.648697376621967,0.0003794545678862907,0.003000779688704744,0.99508122197268,0.0005920817815607049,0.0,0.0009424434453640709,4.0185438039667826e-06,5.340023108146852e-06,1.4553257904337258e-11,1.3375281014305074e-05,5.340023108146852e-06,1.3375281014305074e-05,0.5095628499984741,0.5,0.4754098355770111,0.5,0.5,0.6666666865348816,0.9180327868852459,0.9836065573770492,0.17274874448776245,61,0.0,0.0,0.0,23,4,0.17391304347826086,4,20,20,409,-2.6486976146698,-2.558716297149658,-1.260872483253479,-5.306207656860352,-0.013203863054513931,2.6486976146698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02462317339107543,0.000598753174381642,0.0,0.0,25.659271240234375,,,5.659271240234361,0.0,0.0,0.07090464547677261,1.0,0.0,,0,0.9815,0.01849999999999996,0.01849999999999996,0.0,0.0,0.17567567567567569,0.05405405405405406,0.7702702702702703,0.17567567567567569,0.05405405405405406,0.7702702702702703,0.49361745296491444,0.8638061881065369,2.363243818283081,0.14908869564533234,0.25,0.35785672068595886,1.463464379310608,1.079013466835022,2.6045446395874023,2.363243818283081,-2.363243818283081,0.0185,74,4000,-36.898555755615234,72.26876831054688,-59.22172927856445,85.75968170166016,-0.7463256120681763,0.1370631903409958,0.0,0,1.0,1.0,0.5881052631578941,11.174000000000003,70704853.73949389,1.0,0.0,0.4442178016801323,0.17088963591499914,0.6151074375951321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013351717375671443,0.0,0.49676360132941044,0.03,0.0,True,-1.0,5.659271240234361,0.0
7,200,12.07607102394104,42,False,True,time_limit,1.0,20.000000000000014,24.38412094116211,0.0,20,True,1.3471191896848878,12.475117135277891,23485108197.674847,-0.0016240922670953332,-4.62694092507788,-0.00359758041175865,0.0,0.0036662559866722576,-1.409848699751145e-05,-4.6767900322191185,-2.695341798020119,0.0003469931321185923,0.009534811276594907,0.9885625073456666,0.0007686359453932136,0.0,0.000784040107963556,3.01219226303513e-06,1.2699851140496321e-05,1.8997737410986204e-11,0.00019952625734731555,1.2699851140496321e-05,0.00019952625734731555,0.5899370908737183,0.5,0.36933961510658264,0.5,0.5,0.800000011920929,0.5283018867924528,0.8207547169811321,0.13575772941112518,106,0.0,0.0,0.0,69,16,0.2318840579710145,16,20,20,425,-2.6953418254852295,-2.5069451332092285,-1.3030552864074707,-7.558104515075684,-0.862223744392395,2.6953418254852295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07652678460143644,0.6135437006114712,0.0,0.0,24.38412094116211,,,4.384120941162095,0.0,0.0,0.14352941176470588,1.0,0.0,,0,0.9705,0.02949999999999997,0.02949999999999997,0.0,0.0,0.1016949152542373,0.06779661016949153,0.8305084745762712,0.1016949152542373,0.06779661016949153,0.8305084745762712,0.5021454167273631,0.864832305908203,2.394550085067749,-0.003205332284172376,0.03703703731298447,0.36548375338315964,2.070286273956299,1.3899234135945637,2.3265155951182046,2.394550085067749,-2.394550085067749,0.0295,118,4000,-40.98372268676758,63.140750885009766,-70.05251693725586,75.01896794637044,-1.072894811630249,0.09085905055205028,0.0,0,1.0,1.0,0.5455394736842113,10.365250000000003,75800407.32719406,1.0,0.0,0.26580869072515223,0.17092264724686582,0.4367313379720183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04462743446241668,0.0,0.503282900123857,0.065,1.0,True,-1.0,4.384120941162095,0.0
8,200,12.163115978240967,42,False,True,time_limit,1.0,20.000000000000014,25.69228744506836,0.0,20,True,1.3393140858809862,12.310893102830414,23057218425.72175,-0.001650041673177536,-3.3047807180563615,-0.0032063838774109257,0.0,0.003940158247997277,-1.3851059332234696e-05,-3.3396155715466853,-1.9527944090228209,0.0004934970243941799,0.008965994753198111,0.9883989460068621,0.0009589702661997635,0.0,0.0011784493530246339,4.142596321220064e-06,4.395681571622845e-06,1.1248716368095213e-11,1.2588712934302748e-06,4.395681571622845e-06,1.2588712934302748e-06,0.5303797721862793,0.5,0.4362868666648865,0.5,0.5,0.6666666865348816,0.7974683544303798,0.9746835443037974,0.16234853863716125,79,0.0,0.0,0.0,38,6,0.15789473684210525,6,20,20,432,-1.9527945518493652,-2.4999492168426514,0.007691604550927877,-6.340390205383301,0.008078883402049541,1.9538077116012573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04272293241395728,0.07119394938151041,0.0,0.0,25.69228744506836,,,5.692287445068345,0.0,0.0,0.08564814814814815,1.0,0.0,,0,0.97825,0.021750000000000047,0.021750000000000047,0.0,0.0,0.09195402298850575,0.034482758620689655,0.8735632183908046,0.09195402298850575,0.034482758620689655,0.8735632183908046,0.4943040762460424,0.8539538830518723,2.2582839727401733,-0.005693335086107254,0.3055555559694767,0.33207105845212936,1.4646942019462585,1.0543349385261536,3.1182076930999756,2.2582839727401733,-2.2582839727401733,0.02175,87,4000,-21.66999626159668,33.5362434387207,-32.541897773742676,46.075862884521484,-1.2558009028434753,0.1673222929239273,0.0,0,1.0,1.0,0.5520263157894733,10.488499999999993,73390910.32017225,1.0,0.0,0.2819261553906051,0.16630773310817146,0.4482338884987765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029978427939721733,0.0,0.49459495352976957,0.015,0.0,True,-1.0,5.692287445068345,0.0
9,200,11.765904903411865,42,False,True,time_limit,1.0,20.000000000000014,24.936647415161133,0.0,20,True,1.3446853152483327,12.096465500574425,22739605904.46712,-0.0016879134972675829,-3.460032259736686,-0.003830816027641757,0.0,0.003992974784076037,-1.4148198291677814e-05,-3.502704683882702,-2.027869998585623,0.0004813379449756337,0.0105950234097442,0.9866884885671564,0.0010924239407468224,0.0,0.001138691532107259,4.034605269670629e-06,3.0405785764742177e-06,9.360845432127007e-12,2.992084228026215e-05,3.0405785764742177e-06,2.992084228026215e-05,0.5295954942703247,0.3466666638851166,0.3511008322238922,0.5,0.5,0.75,0.7311827956989247,0.9247311827956989,0.16476626694202423,93,0.0,0.0,0.0,61,20,0.32786885245901637,20,20,20,410,-2.027869939804077,-1.3806889057159424,0.007415537256747484,-6.57877779006958,0.008041257038712502,2.0290961265563965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0597166437689464,0.13014373779296876,0.0,0.0,24.936647415161133,,,4.936647415161119,0.0,0.0,0.14146341463414633,1.0,0.0,,0,0.97125,0.028750000000000053,0.028750000000000053,0.0,0.0,0.19130434782608696,0.08695652173913043,0.7217391304347827,0.19130434782608696,0.08695652173913043,0.7217391304347827,0.49044856857202157,0.8587371945381165,1.963809221982956,-0.006027963012456894,0.0669642873108387,-0.23241562768816948,1.4946306645870209,0.5061410963535309,1.0608607828617096,1.963809221982956,-1.963809221982956,0.02875,115,4000,-21.780405044555664,63.653099060058594,-9.25657969713211,10.19577544927597,-1.5255346894264221,0.17368287220597267,0.0,0,1.0,0.9877499999999972,0.6009736842105263,11.418500000000012,65477138.2031707,1.0,0.0,0.30149402302787737,0.17164528772250767,0.47313931072209886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037153694621101484,0.0,0.49039519583492075,0.055,1.0,True,-1.0,4.936647415161119,0.0
10,200,11.536965131759644,42,False,True,time_limit,1.0,20.000000000000014,24.591175079345703,0.0,20,True,1.3781957290390858,11.682925382346983,21106475593.309414,-0.0017651681907560831,-4.144124368420185,-0.002554574483368553,0.0,0.004150197247486422,-1.707428993846646e-05,-4.176143713242441,-2.427234558872695,0.00042225762561275685,0.006626206100218859,0.9913435587707563,0.0006110967563584409,0.0,0.000992796292571746,4.0844544821264e-06,2.2479036942968378e-06,8.222185085560163e-12,2.6012963644461706e-05,2.2479036942968378e-06,2.6012963644461706e-05,0.5385416746139526,0.5,0.44583332538604736,0.5,0.5,0.75,0.78125,0.890625,0.15966090559959412,64,0.0,0.0,0.0,31,5,0.16129032258064516,5,20,20,401,-2.427234411239624,-2.2805633544921875,0.007488808128982782,-5.147110462188721,0.007535300217568874,2.4283599853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04291496318888943,0.0004910269720663049,0.0,0.0,24.591175079345703,,,4.591175079345689,0.0,0.0,0.08977556109725686,1.0,0.0,,0,0.98025,0.019750000000000045,0.019750000000000045,0.0,0.0,0.189873417721519,0.012658227848101266,0.7974683544303798,0.189873417721519,0.012658227848101266,0.7974683544303798,0.49455354582981237,0.863576740026474,2.239438772201538,0.04676365852355957,0.0,-0.011316861025989056,1.38731849193573,0.6723657250404358,1.276100516319275,2.239438772201538,-2.239438772201538,0.01975,79,4000,-31.194454193115234,64.48664093017578,-36.99715042114258,55.952213287353516,-2.0340723991394043,0.18522295355796814,0.0,0,1.0,0.9972499999999994,0.4733157894736833,8.992999999999988,71507649.47610658,1.0,0.0,0.29177911801657164,0.16568100894502932,0.45746012696346844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02769960214816044,0.0,0.49706612946116363,0.0,0.0,True,-1.0,4.591175079345689,0.0
