episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-0.1276416796706061,-25.52833593412122,0.3,0.3,0.5985576923076923,0.8586956521739131,0.93125,0.044,0.02475,0.93125,0.044,0.02475,0.0072454803448957755,0.10538880501666582,0.9385669667009412,20.000000000000014,23.848059082031252,7.216666666666657,7.216666666666657,10.29999999999998,0.7,1.0,0.0,0.92375,0.07625000000000004,0.07625000000000004,0.0,2.4954650257313915e-07,0.0,1.4797526051713028e-11,2.4954650257313915e-07,1.4797526051713028e-11,0.7061233520507812,0.5,0.08894111961126328,,,,,0.10728467255830765,0.25,275,0.0,0.0,0.0,256,36,0.140625,36,0.10775,2.58
1,LB-Greedy,-0.11613317560045715,-23.22663512009143,0.15,0.15,0.43990384615384615,0.7333333333333333,0.947,0.02725,0.02575,0.947,0.02725,0.02575,0.007523310810889508,0.14194926058282092,0.9333228558527633,20.000000000000014,25.561444664001463,6.4333333333333265,6.4333333333333265,7.8799999999999875,0.85,1.0,0.0,0.94,0.06000000000000005,0.06000000000000005,0.0,2.49770153004647e-07,4.1602311873223385e-13,2.3761140624523058e-11,2.49770153004647e-07,2.3761140624523058e-11,0.6436061263084412,0.5,0.1107923611998558,,,,,0.13441208004951477,0.25,208,0.0,0.0,0.0,184,29,0.15760869565217392,29,0.1145,1.545
2,EFT,-0.28078853743640836,-56.15770748728168,0.6,0.6,0.8243559718969555,0.9626865671641791,0.90725,0.04925,0.0435,0.90725,0.04925,0.0435,0.01252794357410304,0.13507216791485765,0.9355149624623857,20.000000000000014,21.373229408264166,7.733333333333323,7.733333333333323,10.704999999999977,0.4,1.0,0.0,0.89825,0.10175000000000001,0.10175000000000001,0.0,2.31819541340883e-07,0.0,2.0670346944501317e-12,2.31819541340883e-07,2.0670346944501317e-12,0.7348177433013916,0.5,0.07840894162654877,,,,,0.10093250125646591,0.25,370,0.0,0.0,0.0,363,47,0.12947658402203857,47,0.18775,2.81
2,LB-Greedy,-0.2428135615733832,-48.562712314676645,0.35,0.35,0.7330210772833724,0.8916666666666667,0.90825,0.05225,0.0395,0.90825,0.05225,0.0395,0.013227849649846083,0.1441727482272053,0.9160024736331835,20.000000000000014,22.740662384033207,8.199999999999987,8.199999999999987,12.129999999999972,0.65,1.0,0.0,0.9,0.09999999999999998,0.09999999999999998,0.0,4.040575447561423e-07,0.0,1.5770870720466235e-11,4.040575447561423e-07,1.5770870720466235e-11,0.7111738920211792,0.5,0.08544652909040451,,,,,0.09403254091739655,0.25,363,0.0,0.0,0.0,348,71,0.20402298850574713,71,0.144,2.555
3,EFT,-0.1622369230418488,-32.44738460836976,0.25,0.25,0.6443914081145584,0.8703703703703703,0.92225,0.0475,0.03025,0.92225,0.0475,0.03025,0.009239954801291608,0.11884186239603355,1.0,20.000000000000014,24.529035377502446,6.639999999999992,6.639999999999992,8.959999999999983,0.75,1.0,0.0,0.91225,0.08775,0.08775,0.0,1.064361185854068e-07,0.0,2.292416673155273e-10,1.064361185854068e-07,2.292416673155273e-10,0.6730303168296814,0.5,0.09967665374279022,,,,,0.10592782497406006,0.25,308,0.0,0.0,0.0,292,61,0.2089041095890411,61,0.14,2.64
3,LB-Greedy,-0.14546293564376594,-29.09258712875319,0.3,0.3,0.568019093078759,0.82,0.93175,0.04075,0.0275,0.93175,0.04075,0.0275,0.0067268239268053346,0.0985615227370745,0.8700075749068622,20.000000000000014,25.224706554412847,7.783333333333322,7.783333333333322,11.174999999999976,0.7,1.0,0.0,0.924,0.07599999999999996,0.07599999999999996,0.0,1.4972589212902676e-07,0.0,2.1788050530435754e-11,1.4972589212902676e-07,2.1788050530435754e-11,0.6692430377006531,0.5,0.09971676021814346,,,,,0.11093543469905853,0.25,271,0.0,0.0,0.0,250,44,0.176,44,0.10425,1.915
4,EFT,-0.29963078680235167,-56.03095713203976,0.3,0.3,0.655860349127182,0.8653846153846154,0.9232620320855615,0.043048128342245986,0.033689839572192515,0.9232620320855615,0.043048128342245986,0.033689839572192515,0.0086747518981773,0.1130438052236345,0.7908426918395464,18.699999999999996,21.49148679733276,7.34999999999999,7.34999999999999,9.89999999999998,0.7,0.0,0.0,0.913903743315508,0.08609625668449195,0.08609625668449195,0.0,1.0671351446944755e-06,0.0,1.7551758657585737e-11,1.0671351446944755e-06,1.7551758657585737e-11,0.6992434859275818,0.5,0.09060265123844147,,,,,0.1127222403883934,0.25,286,0.0,0.0,0.0,272,40,0.14705882352941177,40,0.1537433155080214,2.9411764705882355
4,LB-Greedy,-0.16924052044935384,-33.848104089870766,0.3,0.3,0.628428927680798,0.8495575221238938,0.934,0.0335,0.0325,0.934,0.0335,0.0325,0.006936122747958597,0.10509276890846361,0.8776509199860729,20.000000000000014,23.680515766143802,7.783333333333321,7.783333333333321,10.499999999999979,0.7,1.0,0.0,0.928,0.07199999999999995,0.07199999999999995,0.0,1.1193827731403871e-07,0.0,1.3994652658944062e-11,1.1193827731403871e-07,1.3994652658944062e-11,0.7166686058044434,0.5,0.08511274307966232,,,,,0.11628323048353195,0.25,259,0.0,0.0,0.0,241,18,0.07468879668049792,18,0.1295,1.825
5,EFT,-0.2047974685906824,-40.95949371813648,0.4,0.4,0.7772511848341233,0.9338842975206612,0.91625,0.0495,0.03425,0.91625,0.0495,0.03425,0.011083132479129874,0.1323359101985657,0.9320556614842318,20.000000000000014,22.53564605712891,7.82222222222221,7.82222222222221,10.439999999999978,0.6,1.0,0.0,0.907,0.09299999999999997,0.09299999999999997,0.0,1.4965196726279828e-07,0.0,2.607454183123359e-12,1.4965196726279828e-07,2.607454183123359e-12,0.7342103719711304,0.5,0.07583742588758469,,,,,0.09867740422487259,0.25,334,0.0,0.0,0.0,326,34,0.10429447852760736,34,0.141,2.71
5,LB-Greedy,-0.17385629582520362,-34.771259165040725,0.2,0.2,0.5213270142180095,0.782608695652174,0.9355,0.037,0.0275,0.9355,0.037,0.0275,0.009235035307195168,0.14317884197201808,0.9534345696557173,20.000000000000014,24.06934223175049,6.274999999999993,6.274999999999993,7.389999999999989,0.8,1.0,0.0,0.92975,0.07025000000000003,0.07025000000000003,0.0,2.5459843300268403e-07,0.0,1.4050816066202287e-10,2.5459843300268403e-07,1.4050816066202287e-10,0.6818236112594604,0.5,0.09770852327346802,,,,,0.11601011455059052,0.25,253,0.0,0.0,0.0,231,36,0.15584415584415584,36,0.09125,1.79
