episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,11.962180137634277,20.0,-0.21602028608322144,-44.20405387446145,0.008484763093292713,0.2189200222492218,0.0,0.0,0.13253012048192772,0.0,0.0,0,25.75250244140625,20.000000000000014,0.04170160822963406,0.06176903300110365,0.0,0.0,20,1.0,0.15151515151515152,0.08080808080808081,0.7676767676767676,0.15151515151515152,0.08080808080808081,0.7676767676767676,0.5006879127684515,0.055,0.0,0.5013551512617564,0.862440574169159,1.374026977266074e-12,3.490986388854367e-10,1.5230810390676197e-08,3.490986388854367e-10,0.061224489795918366,0.5,0.25,81,15,5.373781504,0.0,1.0,0.0,0.97525,0.02475000000000005,0.02475000000000005,0.0,0.0,-0.05238176882266998,1.719878911972046,2.2749457359313965,0.0342368558049202,0.0,1.6417343616485596,0.02475,0.0,0,True,0.0003,0.0,1.2
2,200,11.785126686096191,20.0,-0.11445799469947815,-23.891601522931765,0.0036292036529630423,0.11526114493608475,0.0,0.0,0.1619047619047619,0.0,0.0,0,25.894329071044922,20.000000000000014,0.06165511127039835,0.3353673362731936,0.0,0.0,20,1.0,0.20161290322580644,0.04838709677419355,0.75,0.20161290322580644,0.04838709677419355,0.75,0.4998867949566338,0.025,0.0,0.499754699299591,0.8619156539440155,1.1397626549156104e-12,1.842412888919398e-10,2.1359289448241725e-08,1.842412888919398e-10,0.15,0.5,0.25,90,25,7.857104384,0.0,1.0,0.0,0.969,0.031000000000000028,0.031000000000000028,0.0,0.0,0.6007412672042847,1.602958083152771,2.2696776390075684,0.07341700792312622,0.1666666716337204,3.3013741970062256,0.031,0.0,0,True,0.0003,0.0,1.2
3,200,11.633059978485107,20.0,-0.054617740213871,-11.923546961951676,0.00833950750529766,0.05779772624373436,0.0,0.0,0.1543942992874109,0.0,0.0,0,24.762235641479492,20.000000000000014,0.06402128356769728,0.5739214933647374,0.0,0.0,20,1.0,0.1926605504587156,0.11009174311926606,0.6972477064220184,0.1926605504587156,0.11009174311926606,0.6972477064220184,0.49782903848518617,0.08,1.0,0.4975256772642673,0.866692042350769,0.0,3.173942358936088e-11,4.95869789673975e-10,3.173942358936088e-11,0.09090909090909091,0.5,0.25,83,21,8.046270976,0.0,1.0,0.0,0.97275,0.027249999999999996,0.027249999999999996,0.0,0.0,0.5937262699007988,1.5961866974830627,2.211505889892578,0.03768525645136833,0.1964285746216774,3.5736403465270996,0.02725,0.0,0,True,0.0003,0.0,1.2
4,200,11.942554950714111,20.0,-0.0671197921037674,-14.423959767345616,0.00815438199788332,0.07363803684711456,0.0,0.0,0.18925233644859812,0.0,0.0,0,26.013046264648438,20.000000000000014,0.07437161262341162,0.5821160634358671,0.0,0.0,20,1.0,0.18382352941176472,0.051470588235294115,0.7647058823529411,0.18382352941176472,0.051470588235294115,0.7647058823529411,0.5028351429128088,0.035,0.0,0.5006061356732814,0.8660171031951903,1.390110465973593e-12,1.7586068712382996e-10,2.625658857002833e-10,1.7586068712382996e-10,0.15384615384615385,0.5,0.25,99,25,8.427559424,0.0,1.0,0.0,0.966,0.03400000000000003,0.03400000000000003,0.0,0.0,-0.2383510172367096,1.8013687133789062,2.2323226928710938,0.08237812668085098,0.0,2.507795810699463,0.034,0.0,0,True,0.0003,0.0,1.2
5,200,11.560896873474121,20.0,-0.09303532540798187,-19.60706599118123,0.008489799685776234,0.0989445298910141,0.0,0.0,0.14009661835748793,0.0,0.0,0,25.863391876220703,20.000000000000014,0.04692682754206805,0.09044240315755209,0.0,0.0,20,1.0,0.17307692307692307,0.09615384615384616,0.7307692307692307,0.17307692307692307,0.09615384615384616,0.7307692307692307,0.4987992728163954,0.055,1.0,0.49910490860301754,0.8662806212902069,2.3952329919821325e-13,8.21418003060792e-11,9.428234903907651e-08,8.21418003060792e-11,0.1746031746031746,0.5,0.25,75,18,6.08783872,0.0,1.0,0.0,0.974,0.026000000000000023,0.026000000000000023,0.0,0.0,-0.10330359172075987,2.5149136781692505,2.2480818033218384,-0.005599265801720321,0.08571428805589676,1.8014157563447952,0.026,0.25,0,True,0.0003,0.0,1.2
6,200,12.335154056549072,20.0,-0.32049110531806946,-65.09822193890741,-0.0001411309785908088,0.3205300271511078,0.0,0.0,0.15892420537897312,0.0,0.0,0,24.836071014404297,20.000000000000014,0.05817223005030614,0.22646128336588542,0.0,0.0,20,1.0,0.18584070796460178,0.12389380530973451,0.6902654867256637,0.18584070796460178,0.12389380530973451,0.6902654867256637,0.49708817391702903,0.105,1.0,0.49568115133716595,0.8597044467926025,1.1877420921790893e-11,1.867191068427587e-09,3.226376676934706e-08,1.867191068427587e-09,0.10344827586206896,0.5,0.25,86,21,7.021553152,0.0,1.0,0.0,0.97175,0.028249999999999997,0.028249999999999997,0.0,0.0,0.30827241390943527,1.5748558044433594,2.266648054122925,0.04232153296470642,0.2291666716337204,1.7705024480819702,0.02825,0.0,0,True,0.0003,0.0,1.2
7,200,12.184940099716187,20.0,-0.23519094288349152,-48.03818953688488,0.007040778640657663,0.23667582869529724,0.0,0.0,0.20705882352941177,0.0,0.0,0,24.24375343322754,20.000000000000014,0.08645507384734287,0.6130727132161459,0.0,0.0,20,1.0,0.2518518518518518,0.08888888888888889,0.6592592592592592,0.2518518518518518,0.08888888888888889,0.6592592592592592,0.5014491601696937,0.085,1.0,0.5035585503399533,0.8619377344846725,2.8987799573915174e-12,6.003130215148644e-10,5.628476529295767e-08,6.003130215148644e-10,0.12307692307692308,0.5,0.25,93,34,10.140453888,0.0,1.0,0.0,0.96625,0.03374999999999995,0.03374999999999995,0.0,0.0,0.14045417308807373,1.364644169807434,2.2991950511932373,0.08297263830900192,0.0,1.3949363231658936,0.03375,0.0,0,True,0.0003,0.0,1.2
8,200,12.29783010482788,20.0,-0.47066551446914673,-95.13310206645762,0.00876773614436388,0.4742761254310608,0.0,0.0,0.10416666666666667,0.0,0.0,0,25.988693237304688,20.000000000000014,0.04084488851241452,0.17884562604748216,0.0,0.0,20,1.0,0.21212121212121213,0.06060606060606061,0.7272727272727273,0.21212121212121213,0.06060606060606061,0.7272727272727273,0.49750200018123725,0.01,0.0,0.49855262718615134,0.8639353990554809,1.3165542874643554e-12,6.936345942065714e-10,2.0837644498783447e-08,6.936345942065714e-10,0.21428571428571427,0.5,0.25,69,21,4.881229312,0.0,1.0,0.0,0.97525,0.02475000000000005,0.02475000000000005,0.0,0.0,0.01221381314098835,1.4916759729385376,2.294550657272339,0.07692689448595047,0.0,1.8965885639190674,0.02475,0.0,0,True,0.0003,0.0,1.2
9,200,11.71183180809021,20.0,-0.09400331228971481,-19.800662737066602,0.007866003550589085,0.09640979766845703,0.0,0.0,0.18536585365853658,0.0,0.0,0,25.045421600341797,20.000000000000014,0.07712759860346857,0.21719334920247396,0.0,0.0,20,1.0,0.30952380952380953,0.11904761904761904,0.5714285714285714,0.30952380952380953,0.11904761904761904,0.5714285714285714,0.4981493199833203,0.12,1.0,0.49880058243745606,0.8748946189880371,1.6065747094218957e-13,3.6630842803475616e-10,4.707763623379435e-10,3.6630842803475616e-10,0.22413793103448276,0.46000003814697266,0.25,74,39,9.85518592,0.0,1.0,0.0,0.9685,0.03149999999999997,0.03149999999999997,0.0,0.0,-0.1100133191794157,1.371980905532837,1.94025319814682,-0.009006746113300323,0.1190476231276989,2.0460974872112274,0.0315,0.0,0,True,0.0003,0.0,1.2
10,200,11.28606390953064,20.0,-0.07359658926725388,-15.719318978973321,0.007475483696907759,0.078001469373703,0.0,0.0,0.18703241895261846,0.0,0.0,0,24.51749038696289,20.000000000000014,0.0807321213640341,0.3494949932550872,0.0,0.0,20,1.0,0.264,0.088,0.648,0.264,0.088,0.648,0.5124917697545607,0.045,0.0,0.5114521368027969,0.8713258445262909,6.621895956918089e-13,2.876556770559091e-10,1.5293196042875934e-08,2.876556770559091e-10,0.19047619047619047,0.5,0.25,80,33,7.689594368,0.0,1.0,0.0,0.96875,0.03125,0.03125,0.0,0.0,0.22453753650188446,1.4944046139717102,2.165575861930847,0.0025208662264049053,0.0714285746216774,3.203860640525818,0.03125,0.0,0,True,0.0003,0.0,1.2
