episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,300,17.842345714569092,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.317743301391602,,13,True,2.887843063737857,1.4948118069612673,465613487.0957507,13,13,150,0.011176851578056812,-8.777324183029123e-06,8.10377168818377e-05,-5.4025564168114215e-05,0.8498319387435913,0.0108898065186153,15.000000000000078,0.0007458062641217605,5.402514332406334e-06,0.3230654241641274,0.0,0.0,0.18,1.0,0.0,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48054879117343163,0.8372069001197815,0.5832115920453236,0.016685713255167777,0.15355603448275862,0.00031617515046021035,0.023038672240388757,0.0001712799301081947,0.44817139375312576,0.5832115920453236,-0.5832115920453236,1.0,1.0,0.9999747474747475,11.408183760683766,669318350.8350102,1.0,0.0,0.022522345563696672,0.005897109759825864,0.028419455323522563,False,0.0,0.0,0.0
2,300,20.36227512359619,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.234481557210293,,15,True,3.07119991712167,1.5139013440363167,460408284.0198555,15,15,172,0.03350434824824333,-3.253726617913344e-06,0.1699829347431664,-0.27514979243278503,1.5541101694107056,0.031616064991735165,15.000000000000078,0.00223592667612715,0.013611812655508624,0.23033306035621967,0.06666666666666667,0.06666666666666667,0.37209302325581395,0.9333333333333333,0.0,0.0,0.21875,0.78125,0.0,0.21875,0.78125,0.0,0.5135732025955804,0.8621779680252075,0.5830229118917928,0.008947199610922711,0.15068655303030304,-0.0004539944753615242,0.18694674000002895,0.0813589181722791,0.6988723030257405,0.5830229118917928,-0.5830229118917928,1.0,1.0,1.0,12.996206349206291,602223493.0135328,1.0,0.0,0.023869868169382982,0.006041204557148096,0.02991107272653102,False,0.0,0.0,0.0
3,300,22.44845485687256,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.132857824626745,,19,True,2.99062144302284,1.4404277726242802,438184509.9408429,19,19,206,0.08224566280841827,0.0014707866357639432,0.45247031748294836,-1.3480982780456543,1.9760410785675049,0.09742027267709798,15.000000000000078,0.00548682247336554,0.030044997637046718,0.14512264096141636,0.3157894736842105,0.3157894736842105,0.6213592233009708,0.631578947368421,0.0,0.0,0.1171875,0.875,0.0078125,0.1171875,0.875,0.0078125,0.47204050318396185,0.7824023962020874,0.5822112030676894,0.006840930136260451,0.07775548986486487,0.0016199501539656037,0.6982583496216181,0.33910490030020074,1.5895628045136865,0.5822112030676894,-0.5822112030676894,1.0,1.0,1.0,14.841064327485386,676408875.2873565,1.0,0.0,0.021317488543122414,0.006561691398136016,0.02787917994125838,False,0.0,0.0,0.0
4,300,20.039410829544067,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.216929852962508,,16,True,2.968453336978534,1.722917922360986,493575642.52036476,16,16,196,0.06543359160423279,0.00012464240717235953,0.46425729691982276,-0.19896861910820007,2.216662883758545,0.06249364682479874,15.000000000000078,0.004364277180786509,0.030938607884584055,0.2086891172381762,0.1875,0.1875,0.4897959183673469,0.75,0.0,0.0,0.125,0.8645833333333334,0.010416666666666666,0.125,0.8645833333333334,0.010416666666666666,0.5046534893917851,0.8226245641708374,0.5923892103708708,0.003736161499714049,0.0609375,0.002148801998163645,0.39812187870534566,0.18936195760750427,1.1875320214491625,0.5923892103708708,-0.5923892103708708,1.0,1.0,0.9978484848484868,12.69910714285715,594248600.176573,1.0,0.0,0.02070469940051974,0.007237099894537512,0.027941799295057274,False,0.0,0.0,0.0
5,300,17.566632509231567,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.098934582301583,,14,True,2.8763674268535766,1.4554696382292083,427019960.7091332,14,14,151,0.08283975720405579,-6.196784852363635e-06,0.3630758062005051,-1.2760030031204224,2.335598945617676,0.09146206757415026,15.000000000000078,0.0055264672202848045,0.02871663925483801,0.1076797537784491,0.42857142857142855,0.42857142857142855,0.6688741721854304,0.5714285714285714,0.0,0.0,0.0891089108910891,0.9108910891089109,0.0,0.0891089108910891,0.9108910891089109,0.0,0.4982646568355584,0.8560857176780701,0.6015139315593041,0.008399130841638198,0.0830905720338983,-0.0006332217273697005,0.8698800890311852,0.42227654576980334,3.0704673798912663,0.6015139315593041,-0.6015139315593041,1.0,1.0,0.9992424242424268,11.60238095238094,557777266.7756451,1.0,0.0,0.021697093926881884,0.008106230939505273,0.029803324866387138,False,0.0,0.0,0.0
6,300,16.94099998474121,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.184393755594932,,15,True,2.9872893632872746,1.8837921641055735,471975914.3734379,15,15,170,0.06068751588463783,-6.359345661621774e-06,0.3133158236742032,-0.5690237879753113,1.7512667179107666,0.06617042388228511,15.000000000000078,0.004048329127322673,0.027605094530349344,0.17729602720268361,0.5333333333333333,0.5333333333333333,0.611764705882353,0.3333333333333333,0.0,0.0,0.0673076923076923,0.9326923076923077,0.0,0.0673076923076923,0.9326923076923077,0.0,0.49869205630742586,0.8762710690498352,0.5962619004679508,0.0037992056039329925,0.024077868852459015,0.0012759876658865175,0.500053483149281,0.23937749058450955,2.478608900345251,0.5962619004679508,-0.5962619004679508,1.0,1.0,0.9998181818181819,12.087648351648353,676633134.5766959,1.0,0.0002537427048972342,0.02323367289219485,0.010365984937818106,0.033599657830012966,False,0.0,0.0,0.0
7,300,17.275513172149658,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.045745482811624,,13,True,3.006179536389569,1.5410518335196117,433547702.1578919,13,13,148,0.1274479478597641,-1.4432800981012406e-05,1.1340053975582123,-0.8728758692741394,2.8218517303466797,0.12667413477850895,15.000000000000078,0.008499935908058722,0.07572217868480927,0.05403131954995776,0.7692307692307693,0.7692307692307693,0.8716216216216216,0.23076923076923078,0.0,0.0,0.031007751937984496,0.9689922480620154,0.0,0.031007751937984496,0.9689922480620154,0.0,0.44609606172167515,0.794447660446167,0.579366897046566,0.005587028358907749,0.0591796875,-0.003239061035371075,1.7736328396014869,0.871990022311608,4.538024202734232,0.579366897046566,-0.579366897046566,1.0,1.0,1.0,11.893333333333333,598746153.7197794,1.0,0.0,0.016296330330643868,0.009380545600506376,0.025676875931150218,False,0.0,0.0,0.0
8,300,18.32277536392212,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.021980790531007,,17,True,2.9639799207579167,1.6207934140705071,458739185.8603169,17,17,193,0.26890355348587036,-2.871179049179773e-06,1.887106746435166,-2.295508861541748,3.935760974884033,0.3137103964663304,15.000000000000078,0.017932203490365933,0.12954601951215913,0.03894811411416831,0.9411764705882353,0.9411764705882353,0.9481865284974094,0.058823529411764705,0.0,0.0,0.01092896174863388,0.9890710382513661,0.0,0.01092896174863388,0.9890710382513661,0.0,0.4766310750522086,0.7827051281929016,0.5814119896385819,0.00417412547267304,0.0159912109375,-0.001351934206468286,8.800279129296541,4.387159409932792,7.777300764806569,0.5814119896385819,-0.5814119896385819,1.0,1.0,1.0,12.716157679738567,579725931.5503044,1.0,0.0012077294685990338,0.01908052957665646,0.011822805104059088,0.030903334680715513,False,0.0,0.0,0.0
9,300,18.613914966583252,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.012496054172583,,16,True,2.6678230456200813,1.2538149566775099,461356155.734481,16,16,190,0.2645165026187897,7.167225248849718e-06,2.0324048876762393,-2.3111824989318848,5.714755058288574,0.3081282612273204,15.000000000000078,0.017639974636908293,0.12813095029054256,0.02396355381655212,0.875,0.875,0.968421052631579,0.125,0.0,0.0,0.016304347826086956,0.9836956521739131,0.0,0.016304347826086956,0.9836956521739131,0.0,0.4536889841699082,0.8127601742744446,0.5831969953847654,0.006211922924690457,0.037286931818181816,-0.0015940355934259114,8.845330188671747,4.409407104958188,8.232884296865175,0.5831969953847654,-0.5831969953847654,1.0,1.0,1.0,13.103958333333333,626889161.358116,1.0,0.0007057163020465773,0.01682210443493804,0.01232352594516695,0.029145630380104936,False,0.0,0.0,0.0
10,300,19.051969528198242,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.032193239997476,,17,True,2.8206462936110204,1.2916640565596786,483431148.1769933,17,17,204,0.2099888175725937,4.1067423808272e-06,1.5449183225631735,-2.2433674335479736,2.8636250495910645,0.26169604703745,15.000000000000078,0.014004809727645699,0.11530941507233265,0.046969769506118975,0.7647058823529411,0.7647058823529411,0.9019607843137255,0.17647058823529413,0.0,0.0,0.021739130434782608,0.9782608695652174,0.0,0.021739130434782608,0.9782608695652174,0.0,0.4539331658338399,0.766900897026062,0.5931985251831285,0.005406605369485492,0.043087121212121215,-0.003179722412658686,3.023774763851455,1.4968436913508358,5.950320267993392,0.5931985251831285,-0.5931985251831285,1.0,1.0,1.0,12.963770433814517,555430321.9907779,1.0,0.0011717834544176236,0.01747194589106254,0.011191635484464649,0.028663581375527134,False,0.0,0.0,0.0
