episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,300,8.539584159851074,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.317743301391602,,13,True,2.887843063737857,1.4948118069612673,465613487.0957507,13,13,150,0.011176851578056812,-8.777324183029123e-06,8.10377168818377e-05,-5.4025564168114215e-05,0.8498319387435913,0.0108898065186153,15.000000000000078,0.0007458062641217605,5.402514332406334e-06,0.3230654241641274,0.0,0.0,0.18,1.0,0.0,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48054879117343163,0.8372069001197815,0.5845011511239512,0.019482847469746423,0.2013739224137931,0.0012159916343456455,0.04343295690667783,0.011242447320596668,0.500897470058809,0.5845011511239512,-0.5845011511239512,1.0,1.0,0.9999747474747475,11.408183760683766,669318350.8350102,1.0,0.0,0.022522345563696672,0.005897109759825864,0.028419455323522563,True,-1.0,0.3230654241641274,0.0
2,300,8.319003343582153,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.353728294372564,,15,True,2.9434978731031864,1.783983527514511,456262251.16697663,15,15,175,0.019587572664022446,-7.504785116907442e-06,0.07398384064435967,-9.490906450082548e-06,1.1710692644119263,0.018118858431896683,15.000000000000078,0.0013070063818744792,0.00490898652838456,0.3464176140131661,0.06666666666666667,0.06666666666666667,0.28,0.8666666666666667,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143,0.0,0.5134111991038128,0.8605722188949585,0.5909228803681545,0.009218030005166704,0.14286629098360656,-0.00196513253050383,0.06960149844879376,0.021017159266611102,0.5033095956276186,0.5909228803681545,-0.5909228803681545,1.0,1.0,0.9873578643578673,11.54238949938946,548050630.945966,1.0,0.0,0.022436466103891384,0.0056233191026336315,0.028059785206525086,True,-1.0,0.3464176140131661,0.0
3,300,8.508225440979004,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.28262649263655,,14,True,2.8331006867755675,1.5283377201831918,457167431.55353975,14,14,159,0.02391999214887619,-9.078276889340486e-06,3.759960236493498e-05,-0.5595749020576477,1.8120969533920288,0.025600372066571394,15.000000000000078,0.001598701395156097,2.5066400668682474e-06,0.29324986877476183,0.07142857142857142,0.07142857142857142,0.37735849056603776,0.9285714285714286,0.0,0.0,0.21666666666666667,0.7833333333333333,0.0,0.21666666666666667,0.7833333333333333,0.0,0.4660759432862202,0.7729392647743225,0.5995779743448633,0.01434758898599806,0.19018954918032788,-0.001321270703109073,0.1613444886857369,0.06735941475700037,0.5724485832892481,0.5995779743448633,-0.5995779743448633,1.0,1.0,0.9999567099567102,11.978095238095248,609941827.8126069,1.0,0.0,0.02375814982673578,0.005801982270624373,0.029560132097360085,True,-1.0,0.29324986877476183,0.0
4,300,8.583395957946777,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.279072761535645,,14,True,2.952566288266428,1.4906725376120284,429095218.8951706,14,14,154,0.016808196902275085,-9.643734301789664e-06,9.226643305737525e-05,-0.5315126180648804,1.8792850971221924,0.018929890696520513,15.000000000000078,0.0011223141547345955,6.151095512658048e-06,0.2884395586450806,0.0,0.0,0.2987012987012987,1.0,0.0,0.0,0.30434782608695654,0.6956521739130435,0.0,0.30434782608695654,0.6956521739130435,0.0,0.4672691456001738,0.7781588435173035,0.6177165031921669,0.010873331017525042,0.12275870901639344,-0.0017710581963851315,0.0812700070081981,0.02650961535601098,0.5779055828442339,0.6177165031921669,-0.6177165031921669,1.0,1.0,0.9933766233766267,11.771373626373606,567869436.4029022,1.0,0.0,0.022545094964344,0.005955842054252021,0.02850093701859598,True,-1.0,0.2884395586450806,0.0
5,300,9.19483208656311,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.283132044474295,,15,True,3.0175422359541377,1.5489615501595635,463249434.9056098,15,15,174,0.02526121400296688,-5.389280431700172e-06,0.17767881304025682,-1.5494208128075115e-05,1.4911946058273315,0.02204642364057834,15.000000000000078,0.0016860435751011949,0.01077910004263934,0.27818013146863063,0.13333333333333333,0.13333333333333333,0.3390804597701149,0.8666666666666667,0.0,0.0,0.23728813559322035,0.7627118644067796,0.0,0.23728813559322035,0.7627118644067796,0.0,0.5158398363549831,0.8581962585449219,0.6025440352621363,0.006415475582106233,0.09462453358208955,-0.0005447242457642039,0.08450417068383809,0.029656480382710917,0.5510201617074546,0.6025440352621363,-0.6025440352621363,1.0,1.0,1.0,13.346666666666708,609699377.7152122,1.0,0.0,0.02225049578408727,0.005702626610874275,0.02795312239496158,True,-1.0,0.27818013146863063,0.0
6,300,10.731837511062622,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.298584385922084,,19,True,3.0664306124980114,1.6289642970568046,475172181.7626208,19,19,229,0.026041163131594658,-3.3207576279892237e-06,0.13147620484232908,-0.05933456867933273,1.1295900344848633,0.022711392252194738,15.000000000000078,0.0017375708951467273,0.006649453082184807,0.319479665272668,0.05263157894736842,0.05263157894736842,0.31004366812227074,0.9473684210526315,0.0,0.0,0.2535211267605634,0.7323943661971831,0.014084507042253521,0.2535211267605634,0.7323943661971831,0.014084507042253521,0.5329081547826948,0.8745777606964111,0.5996145624412249,0.006954575247730906,0.08941566780821918,-0.0015093461540208696,0.08742458010347534,0.03021065250026343,0.5452811404144111,0.5996145624412249,-0.5996145624412249,1.0,1.0,1.0,14.369955280357754,598608813.9133375,1.0,0.0,0.021440432568667598,0.00557321785513751,0.027013650423805147,True,-1.0,0.319479665272668,0.0
7,300,8.562073707580566,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.247291147708907,,16,True,3.103951114294955,1.5419581966304055,469134530.4417566,16,16,190,0.029717909172177315,-4.516704620982637e-06,0.15223124101758007,-1.7870117517304607e-05,1.132378339767456,0.028891725525108936,15.000000000000078,0.0019823329701944927,0.008454207751821163,0.2620038885251065,0.1875,0.1875,0.3894736842105263,0.75,0.0,0.0,0.17567567567567569,0.8243243243243243,0.0,0.17567567567567569,0.8243243243243243,0.0,0.6032647411968257,0.9187641143798828,0.5935103617242126,0.004085166378855156,0.038101946721311473,-0.002136342754190574,0.11221257271245122,0.04209973646679008,0.6313705140816384,0.5935103617242126,-0.5935103617242126,1.0,1.0,1.0,12.047666666666665,638238003.3234291,1.0,0.0,0.022738262128524707,0.006246619596510681,0.028984881725035258,True,-1.0,0.2620038885251065,0.0
8,300,7.515148639678955,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.213635104043172,,14,True,3.0721527846459287,1.7226369902078458,460570668.30718035,14,14,161,0.044451966881752014,-7.965256372699514e-06,0.31687953919172307,-0.4112955927848816,1.4435876607894897,0.04659033671848961,15.000000000000078,0.0029657107827391832,0.022373529763264653,0.21784785785648234,0.35714285714285715,0.35714285714285715,0.45962732919254656,0.5714285714285714,0.0,0.0,0.12162162162162163,0.8783783783783784,0.0,0.12162162162162163,0.8783783783783784,0.0,0.5977613919892827,0.9459462761878967,0.5890124429736221,0.005035019391869898,0.057291666666666664,-0.0025899614485209448,0.26708614065213815,0.11917286032091892,1.1282737207386577,0.5890124429736221,-0.5890124429736221,1.0,1.0,0.9939821289821272,11.083565323565292,591419272.2733707,1.0,0.0,0.01943753161781499,0.008265748180293176,0.027703279798108105,True,-1.0,0.21784785785648234,0.0
9,300,8.319255828857422,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.1875730815687,,19,True,3.0267769185356017,1.3872352267609473,420984802.94332856,19,19,204,0.0681314691901207,-8.805872312223073e-06,0.2920520782470704,-0.4706098735332489,2.3859405517578125,0.07035442605647078,15.000000000000078,0.004545055147756413,0.019442560401762166,0.12733013208351185,0.42105263157894735,0.42105263157894735,0.4852941176470588,0.47368421052631576,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.1111111111111111,0.8888888888888888,0.0,0.5901875986595346,0.9326655268669128,0.6051361167972739,0.003833328688580712,0.018229166666666668,0.0009044649195857346,0.5783180203006575,0.27796075317768776,2.3671992859718474,0.6051361167972739,-0.6051361167972739,1.0,1.0,1.0,12.779273422999438,592027890.3102552,1.0,0.0009358914365933552,0.019352793529347503,0.009880039224086722,0.029232832753434235,True,-1.0,0.12733013208351185,0.0
10,300,6.903454780578613,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.128677163805333,,14,True,2.7730516347344265,1.3731644171260613,432947865.40242714,14,14,151,0.07739151269197464,-6.120189937064424e-07,0.6122560173273099,-1.398135781288147,1.988705039024353,0.09394868988765474,15.000000000000078,0.005163819181871485,0.04823316485343882,0.10901966388636045,0.6428571428571429,0.6428571428571429,0.7086092715231788,0.35714285714285715,0.0,0.0,0.04672897196261682,0.9532710280373832,0.0,0.04672897196261682,0.9532710280373832,0.0,0.581875238672038,0.8836578130722046,0.5972965899212607,0.004956825539481762,0.04216056034482758,-0.003526827428843184,0.5229555991767295,0.2460050420345867,2.4616972440532567,0.5972965899212607,-0.5972965899212607,1.0,1.0,0.9876406926406944,11.060714285714274,620110864.5842179,1.0,0.0002690341673392521,0.02261808077437377,0.009881351300726104,0.032499432075099824,True,-1.0,0.10901966388636045,0.0
