episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,300,8.618714809417725,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.317743301391602,,13,True,2.887843063737857,1.4948118069612673,465613487.0957507,13,13,150,0.011176851578056812,-8.777324183029123e-06,8.10377168818377e-05,-5.4025564168114215e-05,0.8498319387435913,0.0108898065186153,15.000000000000078,0.0007458062641217605,5.402514332406334e-06,0.3230654241641274,0.0,0.0,0.18,1.0,0.0,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48054879117343163,0.8372069001197815,0.5845011511239512,0.019482847469746423,0.2013739224137931,0.0012159916343456455,0.04343295690667783,0.011242447320596668,0.500897470058809,0.5845011511239512,-0.5845011511239512,1.0,1.0,0.9999747474747475,11.408183760683766,669318350.8350102,1.0,0.0,0.022522345563696672,0.005897109759825864,0.028419455323522563,True,-1.0,0.3230654241641274,0.0
2,300,9.62519121170044,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.389802427852862,,17,True,2.8763503930558865,1.7386380637403702,470553907.2432409,17,17,202,0.015545212663710117,-3.997829708168865e-06,0.06399115584790721,-9.066667189472355e-06,1.0561093091964722,0.0136707453034049,15.000000000000078,0.0010377083204636717,0.0042243939359331815,0.409427870266348,0.058823529411764705,0.058823529411764705,0.3069306930693069,0.9411764705882353,0.0,0.0,0.27419354838709675,0.7258064516129032,0.0,0.27419354838709675,0.7258064516129032,0.0,0.5318395971290527,0.8578547835350037,0.5890480740301645,0.008445060894470106,0.14406483208955223,0.0003056902605206219,0.05630582945817498,0.016677643863984674,0.47582015445205705,0.5890480740301645,-0.5890480740301645,1.0,1.0,0.9964671717171749,12.876524285355226,565061296.0807638,1.0,0.00023073373327180433,0.02588033028267376,0.005795505540468733,0.03167583582314254,True,-1.0,0.409427870266348,0.0
3,300,8.672765016555786,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.43263053894043,,14,True,3.202075322452067,2.0034350744863954,431807564.8343166,14,14,154,0.011978314258158207,1.5643427104805596e-06,0.0019227028737081652,-7.274401286849752e-05,0.9181283116340637,0.011163074190661247,15.000000000000078,0.0007990087239254271,6.172178203009013e-06,0.4408996057510285,0.0,0.0,0.22077922077922077,1.0,0.0,0.0,0.4117647058823529,0.5882352941176471,0.0,0.4117647058823529,0.5882352941176471,0.0,0.5632112030597294,0.811172366142273,0.6035141983339863,0.008480846641525146,0.12115675403225806,-0.000972983498697079,0.03804351645380995,0.005978491375102631,0.5001523696006306,0.6035141983339863,-0.6035141983339863,1.0,1.0,1.0,12.167857142857118,589106669.7989506,1.0,0.0,0.02812662094061294,0.005823247329532627,0.03394986827014565,True,-1.0,0.4408996057510285,0.0
4,300,9.052837133407593,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.352041625976568,,15,True,3.016680111953982,1.6296418279410814,435245508.33296674,15,15,170,0.011155132204294205,-7.255414857354481e-06,0.056061903014779105,-1.0045963790616952e-05,1.1277673244476318,0.009839696757276849,15.000000000000078,0.0007446301505377457,0.0037324904504290814,0.3647740257025696,0.06666666666666667,0.06666666666666667,0.23529411764705882,0.9333333333333333,0.0,0.0,0.35,0.65,0.0,0.35,0.65,0.0,0.5307301821187138,0.888279139995575,0.6046992572454306,0.010678420962694172,0.11165865384615385,-0.0009482150610822898,0.03539539836347103,0.004655499143812519,0.48233237971480075,0.6046992572454306,-0.6046992572454306,1.0,1.0,0.9999747474747475,12.74126190476191,583653971.2188054,1.0,0.0,0.021722257151125773,0.0056560576559762125,0.02737831480710202,True,-1.0,0.3647740257025696,0.0
5,300,8.63042426109314,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.348398208618164,,13,True,3.0774534688678403,1.5499401132518218,470310712.504141,13,13,150,0.008062639273703098,-5.159953957445396e-07,7.390732207568362e-05,-9.033161768456921e-05,0.9770577549934387,0.007515141626029686,15.000000000000078,0.0005379569629943321,4.9271547563056415e-06,0.3485145423809598,0.0,0.0,0.15333333333333332,1.0,0.0,0.0,0.5652173913043478,0.43478260869565216,0.0,0.5652173913043478,0.43478260869565216,0.0,0.52299012567686,0.8515433073043823,0.6060539153714974,0.008629134204238654,0.09479166666666666,-0.0008165303889351587,0.020232946220979407,-0.002821135117361943,0.47817196225126585,0.6060539153714974,-0.6060539153714974,1.0,1.0,1.0,11.963076923076924,635977341.5005225,1.0,0.0,0.02430030634137035,0.005921563808675871,0.030221870150046265,True,-1.0,0.3485145423809598,0.0
6,300,8.722033739089966,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.312310218811035,,14,True,3.0754389791061394,1.5504867721570033,424884993.2324629,14,14,150,0.012816334143280983,-8.677014193381183e-06,0.0001282507728319615,-0.8349460363388062,1.9704313278198242,0.01648547357822165,15.000000000000078,0.0008569434880224476,8.550051699552885e-06,0.31738181541362515,0.0,0.0,0.21333333333333335,1.0,0.0,0.0,0.4375,0.5625,0.0,0.4375,0.5625,0.0,0.5340648139826953,0.8620190620422363,0.6138148579805617,0.008894646185494605,0.1297123015873016,-0.00317201546082894,0.06554695281259243,0.017325163685849736,0.4582661239814664,0.6138148579805617,-0.6138148579805617,1.0,1.0,1.0,12.292362637362679,593788321.601845,1.0,0.0,0.02527912822807455,0.005974162318813094,0.0312532905468876,True,-1.0,0.31738181541362515,0.0
7,300,9.869247198104858,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.387665748596191,,16,True,2.9031914759090585,1.658787112106435,463489245.60858774,16,16,183,0.011901146732270718,1.8038029452327464e-06,6.584631773876026e-05,-6.345866131596267e-05,0.8870245218276978,0.009985512416450244,15.000000000000078,0.000794293186779526,4.389754604946935e-06,0.3892964076995761,0.0,0.0,0.15300546448087432,1.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,0.0,0.5210977547935077,0.8428505659103394,0.6109198739423471,0.009308804526774432,0.12465533088235294,0.0002174052779617555,0.03737368469420985,0.0066858504193506255,0.4545692285139333,0.6109198739423471,-0.6109198739423471,1.0,1.0,0.999949494949495,13.506486111111098,597946086.7576379,1.0,0.0,0.023974563679812978,0.005989179938701833,0.029963743618514893,True,-1.0,0.3892964076995761,0.0
8,300,8.974070072174072,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.282072067260742,,15,True,2.9520872695042715,1.4296817762786087,402398689.6649613,15,15,159,0.01766447350382805,-9.898938515107147e-06,9.128609963227063e-05,-0.00011135940439999104,1.4187359809875488,0.015676911856664002,15.000000000000078,0.001179035096322588,6.085739964261562e-06,0.28665033251046246,0.0,0.0,0.24528301886792453,1.0,0.0,0.0,0.38461538461538464,0.6153846153846154,0.0,0.38461538461538464,0.6153846153846154,0.0,0.5264466220083145,0.8740081191062927,0.605459846323356,0.007454645297002571,0.07781982421875,-0.0011282401719654445,0.05740127638091508,0.015463200723388582,0.4472200990130659,0.605459846323356,-0.605459846323356,1.0,1.0,1.0,12.776188034188035,647730388.4784845,1.0,0.0,0.024148423783572973,0.005771780181349827,0.029920203964922794,True,-1.0,0.28665033251046246,0.0
9,300,8.813676595687866,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.318583488464355,,15,True,2.624462455108652,1.2968223394086007,460996603.41055465,15,15,170,0.012938134372234344,0.0006462882447522134,0.1073938321322204,-1.2445963621139526,1.4131667613983154,0.04771668444596964,15.000000000000078,0.0008651826318213434,0.007869273195861812,0.30919330765802766,0.0,0.0,0.23529411764705882,0.9333333333333333,0.0,0.0,0.35,0.625,0.025,0.35,0.625,0.025,0.4851419249549508,0.7952094078063965,0.5993122143610832,0.007632181123499909,0.08738659274193548,-0.00342785696604199,0.13436003053380596,0.051765914713483185,0.5387537600772996,0.5993122143610832,-0.5993122143610832,1.0,1.0,0.9975303030303028,11.904005494505498,536514869.89538187,1.0,0.0,0.023617241421659944,0.005975800397102838,0.029593041818762756,True,-1.0,0.30919330765802766,0.0
10,300,9.066358089447021,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.374780654907227,,15,True,2.8227090673110604,1.6050159650441778,413397635.01759785,15,15,159,0.012230673804879189,1.8048190213448834e-06,6.87045612721704e-05,-8.397271449211985e-05,1.1071256399154663,0.010779113489417637,15.000000000000078,0.0008166405181629608,4.580304184986258e-06,0.3839135485887438,0.0,0.0,0.16981132075471697,1.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.0,0.5555555555555556,0.4444444444444444,0.0,0.634094720085462,0.8527167439460754,0.6010369834991601,0.00953917961048249,0.12596153846153846,6.462018220470502e-05,0.03529752687407801,0.005692643528947464,0.49423319513981157,0.6010369834991601,-0.6010369834991601,1.0,1.0,1.0,12.913777777777831,569386153.7315739,1.0,0.0,0.022634570857812144,0.005852186514419054,0.02848675737223124,True,-1.0,0.3839135485887438,0.0
11,300,8.416345834732056,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.335319519042969,,14,True,2.937671097794783,1.5475833419097824,452442316.00664467,14,14,160,0.0133058438077569,-8.166287443600595e-06,7.67898018239066e-05,-9.385462908539921e-05,0.9220847487449646,0.012680973859631092,15.000000000000078,0.0008880127412166692,5.119319974407288e-06,0.3488027967015813,0.0,0.0,0.225,1.0,0.0,0.0,0.3888888888888889,0.6111111111111112,0.0,0.3888888888888889,0.6111111111111112,0.0,0.5538565905557739,0.9015994071960449,0.6109406943038359,0.010238031657428433,0.1369835805084746,-0.0019256276536290928,0.035666584143793936,0.0036888511326574423,0.5346972983077927,0.6109406943038359,-0.6109406943038359,1.0,1.0,0.998419913419912,11.644523809523823,610272974.1661358,1.0,0.0,0.022129729830738173,0.005933246624192142,0.028062976454930354,True,-1.0,0.3488027967015813,0.0
12,300,9.1362624168396,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.187811076641097,,16,True,3.015861899494089,1.2733318026632885,431860601.97834074,16,16,176,0.036751631647348404,-7.616757557116216e-06,0.1877445921301846,-2.6658643037080765e-05,1.700812816619873,0.03198320747417349,15.000000000000078,0.002451786477318359,0.012388276864100262,0.19133994851568642,0.1875,0.1875,0.4034090909090909,0.8125,0.0,0.0,0.19718309859154928,0.8028169014084507,0.0,0.19718309859154928,0.8028169014084507,0.0,0.577684402151007,0.9166112542152405,0.6123635440188295,0.007419865658876541,0.05767463235294118,0.0022039319532375563,0.14574392309056267,0.0628286228645319,0.6912996503250564,0.6123635440188295,-0.6123635440188295,1.0,1.0,1.0,13.212824481074476,591835139.2868254,1.0,0.0,0.022172211532494265,0.006283332329069799,0.028455543861564046,True,-1.0,0.19133994851568642,0.0
