episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,300,8.660664319992065,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.317743301391602,,13,True,2.887843063737857,1.4948118069612673,465613487.0957507,13,13,150,0.011176851578056812,-8.777324183029123e-06,8.10377168818377e-05,-5.4025564168114215e-05,0.8498319387435913,0.0108898065186153,15.000000000000078,0.0007458062641217605,5.402514332406334e-06,0.3230654241641274,0.0,0.0,0.18,1.0,0.0,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48148148148148145,0.5185185185185185,0.0,0.48054879117343163,0.8372069001197815,0.5844161325487597,0.017882015756813103,0.18271821120689655,4.984678074332147e-05,0.027495222278581612,0.0021091356415879623,0.4729206822812557,0.5844161325487597,-0.5844161325487597,1.0,1.0,0.9999747474747475,11.408183760683766,669318350.8350102,1.0,0.0,0.022522345563696672,0.005897109759825864,0.028419455323522563,True,-0.4322489595809013,0.3230654241641274,0.21612447979045066
2,300,8.501839637756348,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.246791226523275,,14,True,2.95561651121803,1.3934888412649882,475186203.31592447,14,14,166,0.022461354732513428,-5.796443474537227e-06,0.14342773184180285,-1.6349271390936337e-05,1.3241338729858398,0.021417887251735577,15.000000000000078,0.0014988094358402003,0.008992154303300626,0.25349999959887953,0.14285714285714285,0.14285714285714285,0.3313253012048193,0.8571428571428571,0.0,0.0,0.21818181818181817,0.7818181818181819,0.0,0.21818181818181817,0.7818181818181819,0.0,0.5048182183368639,0.8540007472038269,0.5832172710387433,0.00814337771172162,0.14664446721311475,0.0006634770266589572,0.07137449313581112,0.024686378331427446,0.5086552301024805,0.5832172710387433,-0.5832172710387433,1.0,1.0,0.9981618381618363,11.738882783882813,568600650.6699797,1.0,0.0,0.0220688161097664,0.0065394926921014335,0.028608308801867845,True,-0.36383499040976325,0.25349999959887953,0.18191749520488162
3,300,11.13676643371582,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.287345743179326,,20,True,3.0094484290880295,1.5350903681517054,443844069.5053137,20,20,225,0.02659512497484684,-6.2595336203230545e-06,0.10099267773330213,-0.4246404469013214,1.8372695446014404,0.02313272775238929,15.000000000000078,0.0017754323221805038,0.006844732463908803,0.2896728734255471,0.05,0.05,0.29333333333333333,0.95,0.0,0.0,0.30303030303030304,0.696969696969697,0.0,0.30303030303030304,0.696969696969697,0.0,0.46530553167968086,0.7446917295455933,0.5903802310364156,0.008166279519990653,0.0932060917721519,-0.002016305689157659,0.1131034626542956,0.04272782127815004,0.5180581336298699,0.5903802310364156,-0.5903802310364156,1.0,1.0,1.0,15.365411334709336,644370195.7258991,1.0,0.0,0.023378616276373353,0.00592284305789432,0.029301459334267647,True,-0.37740172101310476,0.2896728734255471,0.18870086050655238
4,300,8.25332522392273,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.405925750732422,,12,True,3.5750113601271267,2.0116650864870755,479058524.35717803,12,12,143,0.008125148713588715,0.00010748685963335447,0.007928838348016146,-0.06268437206745148,0.8583135604858398,0.010126231685910685,15.000000000000078,0.0005422605102054454,0.0005278851577403029,0.4063032205899467,0.0,0.0,0.15384615384615385,1.0,0.0,0.0,0.5,0.45454545454545453,0.045454545454545456,0.5,0.45454545454545453,0.045454545454545456,0.48922259428284387,0.7306150197982788,0.6031920585249152,0.004234247198577837,0.09444754464285714,-2.2220080219475286e-05,0.011344801386647825,-0.006413659785591465,0.46299959542895003,0.6031920585249152,-0.6031920585249152,1.0,1.0,1.0,11.0,547140868.436348,1.0,0.0,0.023672740946512567,0.005813021079029056,0.029485762025541627,True,-0.40394718118756506,0.4063032205899467,0.20197359059378253
5,300,10.520535945892334,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.409622192382812,,16,True,2.9274614082152413,1.7876064108018486,530868129.8108761,16,16,211,0.01205198559910059,4.3043484083682415e-06,0.059529941529035575,-4.1907285776687786e-05,1.0454474687576294,0.010098788489241608,15.000000000000078,0.0008045015501478061,1.8625425026266659e-06,0.4263809863726209,0.0,0.0,0.1990521327014218,1.0,0.0,0.0,0.38095238095238093,0.6190476190476191,0.0,0.38095238095238093,0.6190476190476191,0.0,0.5151755823975518,0.7832270264625549,0.6183785923889705,0.011162268849355833,0.11975446428571429,-0.003315426389287625,0.023976814276206175,-0.0036945910326072148,0.45645711017506463,0.6183785923889705,-0.6183785923889705,1.0,1.0,1.0,13.807249999999994,570686469.0705138,1.0,0.0,0.023055555291265996,0.00569568795079205,0.028751243242058022,True,-0.47704123659006514,0.4263809863726209,0.23852061829503257
6,300,8.5771963596344,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.340625762939453,,15,True,2.7299980202446235,1.436312731222599,452879035.7861256,15,15,171,0.012121750973165035,-7.862092843424762e-06,0.033820879459381115,-9.239240898750722e-05,1.0180679559707642,0.011811273912236601,15.000000000000078,0.0008088955396252307,1.3438767935844832e-05,0.3608877524733454,0.0,0.0,0.1871345029239766,1.0,0.0,0.0,0.46875,0.53125,0.0,0.46875,0.53125,0.0,0.4529566946439445,0.8392432332038879,0.613660081463345,0.00681347903791594,0.10566737288135593,0.0028769918441204196,0.018353120008507206,-0.0002196498838711088,0.44953451690784957,0.613660081463345,-0.613660081463345,1.0,1.0,0.9994510489510492,11.475314407814428,611675279.949751,1.0,0.0,0.023205976777474664,0.005768772438055242,0.028974749215530025,True,-0.5025197432681048,0.3608877524733454,0.2512598716340524
7,300,10.555990219116211,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.2577673594157,,18,True,2.7384171171379874,1.3534436868158248,472082969.93608177,18,18,206,0.030534857884049416,-6.869600838399492e-06,0.11567137725651289,-1.0975888967514038,2.163330078125,0.03014884835235565,15.000000000000078,0.0020377712337151994,0.007638818587263529,0.24323290165215605,0.1111111111111111,0.1111111111111111,0.3640776699029126,0.8888888888888888,0.0,0.0,0.21333333333333335,0.7866666666666666,0.0,0.21333333333333335,0.7866666666666666,0.0,0.48415431037545203,0.8294517993927002,0.6258083111047745,0.0070019290929970645,0.07604166666666666,-0.007440366639445225,0.14846678561375787,0.054276859999323884,0.6182953944553932,0.6258083111047745,-0.6258083111047745,1.0,1.0,1.0,14.787137994086464,637959788.8919002,1.0,0.0,0.022725915993168113,0.006955298610987431,0.02968121460415538,True,-0.3594281816399723,0.24323290165215605,0.17971409081998616
8,300,8.45374345779419,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.343731880187988,,14,True,3.0159954933274693,1.8034634499427697,436486285.1174863,14,14,152,0.020219529047608376,-7.738469321338926e-06,0.1023080851882697,-0.43507814407348633,1.256980538368225,0.02204542410912987,15.000000000000078,0.0013506456196439713,0.006795062958602425,0.3614450728893191,0.0,0.0,0.3223684210526316,0.9285714285714286,0.0,0.0,0.2857142857142857,0.7142857142857143,0.0,0.2857142857142857,0.7142857142857143,0.0,0.4572632885252943,0.8134247064590454,0.626556845754385,0.008319222168453658,0.10442708333333334,-0.005747803228829677,0.07600855013200393,0.01972533513714249,0.6449240589514375,0.626556845754385,-0.626556845754385,1.0,1.0,0.9973160173160147,11.808095238095259,562138934.5594805,1.0,0.0,0.023173503582789457,0.006044816048294785,0.029218319631084278,True,-0.40083437554643986,0.3614450728893191,0.20041718777321993
9,300,7.850914001464844,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.239997250693197,,14,True,3.271659739252877,1.6325482465412229,450040115.299004,14,14,156,0.03178860992193222,-1.0211310836893972e-05,0.13865382224321401,-2.2975462343310937e-05,1.0206167697906494,0.031200674522654355,15.000000000000078,0.002120016082728683,0.008826286388056834,0.2294785914056022,0.14285714285714285,0.14285714285714285,0.38461538461538464,0.7857142857142857,0.0,0.0,0.2,0.8,0.0,0.2,0.8,0.0,0.5645330472538869,0.9218403697013855,0.631647255143215,0.00601779171044874,0.0816271551724138,-0.003428788478325667,0.07040126223502488,0.019138897741052867,0.6260641211451128,0.631647255143215,-0.631647255143215,1.0,1.0,0.9959801309801272,11.309920634920601,570995458.7461506,1.0,0.0,0.02587003656366872,0.0068420148353147,0.032712051398983394,True,-0.2811293226914231,0.2294785914056022,0.14056466134571155
10,300,6.942593336105347,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.088512494013916,,13,True,3.1718492960425766,1.9579053599512242,449397226.9552109,13,13,141,0.09367922693490982,-9.945648798748152e-06,0.6265942901372924,-0.6397774815559387,2.6191282272338867,0.09705023670354081,15.000000000000078,0.006248347157170068,0.0496047705004541,0.10007929352001982,0.6923076923076923,0.6923076923076923,0.8368794326241135,0.3076923076923077,0.0,0.0,0.03389830508474576,0.9661016949152542,0.0,0.03389830508474576,0.9661016949152542,0.0,0.5287413153071272,0.8916835188865662,0.6219779687412714,0.0013519524235546716,0.026681673728813558,-0.0054041124185768225,1.0934875795017864,0.5289001188880244,3.348498960420237,0.6219779687412714,-0.6219779687412714,1.0,1.0,0.99997668997669,11.678974358974342,603194580.2003049,1.0,0.0002613012803762738,0.022821123044378153,0.010439659371596402,0.03326078241597444,True,-0.1022309817084448,0.10007929352001982,0.0511154908542224
