episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,300,8.807951211929321,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.195361137390137,,12,True,2.9365824509795027,0.9200556915814716,476990601.776103,12,12,142,0.023815395310521126,0.0004255935491528362,0.644087406992913,-10.961543083190918,6.7739481925964355,0.2503824009489124,15.000000000000078,0.001588835252012854,0.04274212330888447,0.18749267717201612,0.0,0.0,0.09154929577464789,1.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.4184099825528952,0.6909518837928772,2.4331084298236028,0.007014262207251575,0.4228515625,0.006212212843820453,2.661828391253948,1.3249608570975917,0.966432469763926,2.4331084298236028,-2.4331084298236028,1.0,1.0,0.9999747474747475,10.999722222222221,1311338313.4572453,1.0,0.0,0.008495096178779414,0.0058746271739224774,0.01436972335270192,True,-1.0,0.18749267717201612,0.0
2,300,8.499667167663574,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.182784080505371,,12,True,2.9116790180634102,0.881823827279252,447664988.03250194,12,12,134,-0.01766739785671234,0.0072777834720909595,0.38861771970987397,-15.0,7.740329742431641,0.2717265279030572,15.000000000000078,-0.004571345349684085,0.0234493045501873,0.18475377485155167,0.0,0.0,0.08955223880597014,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4121133939673503,0.6770572662353516,2.432825360979353,0.0014874055965005287,0.26806640625,0.00231720508808004,13.853112535817283,6.916709359203066,2.0971196719578336,2.432825360979353,-2.432825360979353,1.0,1.0,1.0,11.0,1245377622.1477945,1.0,0.0,0.010484845713834052,0.005963909136343236,0.016448754850177296,True,-1.0,0.18475377485155167,0.0
3,300,8.462825775146484,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.239532470703125,,12,True,3.132623651370245,1.131041950390147,447213033.24265313,12,12,131,-0.01983991079032421,0.005151827121153474,0.29549343734979644,-15.0,2.8753416538238525,0.15618581814699947,15.000000000000078,-0.0013473807165751868,0.019652341676770012,0.24129428048927687,0.0,0.0,0.0916030534351145,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.333194251327465,0.5711961984634399,2.4338447664465224,0.0041598368469359616,0.26088169642857145,-0.0005136802709395332,5.891549065709114,2.9330916181206703,3.0983254010123864,2.4338447664465224,-2.4338447664465224,1.0,1.0,1.0,11.0,1182465162.0839865,1.0,0.0,0.011220967167867874,0.006041314647883617,0.01726228181575147,True,-1.0,0.24129428048927687,0.0
4,300,8.550766229629517,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.213348388671875,,12,True,2.6909998942854165,0.9147471762489875,449571225.86837727,12,12,139,0.0037108405958861113,-0.000885419052792713,0.24237945526838306,-2.250398874282837,6.60249137878418,0.11914879004137381,15.000000000000078,0.00024782143410248607,0.016139460276447064,0.214177190065375,0.0,0.0,0.09352517985611511,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.5310476915194438,0.7700083255767822,2.4355087322848186,0.003403675942016499,0.22279575892857142,0.0019546807244686143,1.0414489725870746,0.5105016285420528,1.8184909628970283,2.4355087322848186,-2.4355087322848186,1.0,1.0,0.9999747474747475,10.999722222222223,1242129878.1838732,1.0,0.0,0.009083186279915995,0.005704796976666827,0.014787983256582822,True,-1.0,0.214177190065375,0.0
5,300,8.293338060379028,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.19881534576416,,12,True,2.9882320868925483,0.9722204882573275,427710288.7225178,12,12,124,0.022318802773952484,0.0001654451116337441,0.13236015662550948,-1.5035629272460938,6.909402370452881,0.07738692402820992,15.000000000000078,0.0014885361304494834,0.00665836988463183,0.19927996009587354,0.0,0.0,0.12903225806451613,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.25,0.75,0.5561802042648196,0.8806855082511902,2.4343273724828447,0.004264836706819811,0.22370256696428573,0.0007052607668031539,1.4375626500695944,0.7073149484183107,0.6939580805067506,2.4343273724828447,-2.4343273724828447,1.0,1.0,1.0,11.0,1266008857.9159703,1.0,0.0,0.00968684802529593,0.006027459498534496,0.01571430752383038,True,-1.0,0.19927996009587354,0.0
6,300,8.624965906143188,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.1951904296875,,12,True,3.0827107772288174,0.9149685519124264,476703546.2223868,12,12,144,0.037159960716962814,-4.2015162762254477e-05,0.21179988756775892,-2.831874132156372,11.391716957092285,0.12471807460253544,15.000000000000078,0.0024778792797486276,0.011601996439332345,0.1958478934566091,0.0,0.0,0.08333333333333333,1.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.49098546120027703,0.8879632353782654,2.4329650976828168,0.00135523292867999,0.16245814732142858,-0.002070850518066436,4.499277897179127,2.2354032807052135,1.429918928870133,2.4329650976828168,-2.4329650976828168,1.0,1.0,1.0,11.0,1180716274.2626994,1.0,0.0,0.007567634045601342,0.005619134623533001,0.013186768669134279,True,-1.0,0.1958478934566091,0.0
7,300,8.516496181488037,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.2193603515625,,12,True,3.3031742143386285,1.029758725644981,432857365.11025953,12,12,132,0.020997244864702225,0.011661112774163485,1.3641232848167422,-15.0,8.519619941711426,0.5975152595579535,15.000000000000078,-0.00027382916403056643,0.09250627138725494,0.21360749999681217,0.0,0.0,0.09848484848484848,1.0,0.0,0.0,0.0,0.07692307692307693,0.9230769230769231,0.0,0.07692307692307693,0.9230769230769231,0.37593174553834474,0.692116916179657,2.4313197561672757,0.002582064979443593,0.09577287946428571,-0.0006336877371982805,12.784806822027479,6.379613105739866,5.308789800320353,2.4313197561672757,-2.4313197561672757,1.0,1.0,1.0,11.0,1098649774.626631,1.0,0.0,0.009969731508209055,0.005862008634597579,0.015831740142806642,True,-1.0,0.21360749999681217,0.0
8,300,8.648396492004395,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.215025901794434,,12,True,3.075727691379202,1.028583672676286,498195292.2716992,12,12,145,-0.0512414388358593,-0.0009744177223183215,0.2854914233088494,-15.0,4.3127617835998535,0.22236844198176056,15.000000000000078,-0.006071059982821994,0.018937865644550543,0.21823521107434335,0.0,0.0,0.0896551724137931,1.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.486223571575605,0.7134836912155151,2.4325230015175685,0.0017476596819636012,0.12520926339285715,-0.0008773108212543386,6.629419162869453,3.3016696577625617,4.394872022526605,2.4325230015175685,-2.4325230015175685,1.0,1.0,0.9999747474747475,10.999722222222221,1302636298.9872243,1.0,0.0002777777777777778,0.010249877156453504,0.006041938895800445,0.016291816052253886,True,-1.0,0.21823521107434335,0.0
9,300,8.59572696685791,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.193943977355957,,12,True,2.612502804484167,0.8309193117997852,474498084.2528984,12,12,140,0.012999546714127064,-0.0016689139883965254,0.18171052709221855,-4.415319919586182,10.19138240814209,0.16956315547283862,15.000000000000078,0.0008677299579308614,0.012017141571226773,0.19510136062899336,0.0,0.0,0.08571428571428572,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.48248310138781864,0.8461209535598755,2.432536299739565,0.0019033891232019024,0.12946428571428573,-0.0019257233278559788,2.7929938595209802,1.3824085172797953,0.860104376450181,2.432536299739565,-2.432536299739565,1.0,1.0,1.0,11.0,1147218215.8920736,1.0,0.0,0.008678377914581814,0.005849191671138777,0.014527569585720594,True,-1.0,0.19510136062899336,0.0
10,300,8.397938966751099,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.17709732055664,,12,True,3.218997148382824,0.9406272881270002,426346954.33869296,12,12,124,-0.20335353910923004,-0.0020745520596392453,0.49602323174476665,-15.0,5.119303226470947,0.4734646476776874,15.000000000000078,-0.029245268157188815,0.0329428755641617,0.18410652056335505,0.0,0.0,0.11290322580645161,1.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,0.3610467410513333,0.5018423199653625,2.4298094298158373,0.002272098483185151,0.08768136160714286,-0.0019397340656723827,20.95831072330475,10.465066564934594,7.526125573686191,2.4298094298158373,-2.4298094298158373,1.0,1.0,0.997045454545457,10.967500000000008,1042363549.331958,1.0,0.0002777777777777778,0.009157530917567625,0.006021652424433061,0.015179183342000682,True,-1.0,0.18410652056335505,0.0
