episode,steps,elapsed_sec,reward_mode,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,300,8.999948740005493,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.195361137390137,,12,True,2.9365824509795027,0.9200556915814716,476990601.776103,12,12,142,0.023815395310521126,0.0004255935491528362,0.644087406992913,-10.961543083190918,6.7739481925964355,0.2503824009489124,15.000000000000078,0.001588835252012854,0.04274212330888447,0.18749267717201612,0.0,0.0,0.09154929577464789,1.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.15384615384615385,0.07692307692307693,0.7692307692307693,0.4184099825528952,0.6909518837928772,2.4331084298236028,0.007014262207251575,0.4228515625,0.006212212843820453,2.661828391253948,1.3249608570975917,0.966432469763926,2.4331084298236028,-2.4331084298236028,1.0,1.0,0.9999747474747475,10.999722222222221,1311338313.4572453,1.0,0.0,0.008495096178779414,0.0058746271739224774,0.01436972335270192,True,-1.0,0.18749267717201612,0.0
2,300,8.88344144821167,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.226757049560547,,12,True,3.2207992606572087,1.0992669349007997,484141074.0268244,12,12,136,-0.05890701338648796,-0.0029913769103586674,0.08038216084241882,-11.470170974731445,1.6713658571243286,0.0985495563502365,15.000000000000078,-0.003926740579136098,0.005314014909998398,0.22818654338517888,0.0,0.0,0.08823529411764706,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4121426946173112,0.6771138906478882,2.434630830373083,0.004185734981937068,0.27755301339285715,0.00512782291791934,3.782276097152914,1.884092713040965,1.5582118659679378,2.434630830373083,-2.434630830373083,1.0,1.0,0.9999747474747475,10.999722222222221,1177923941.7983828,1.0,0.0,0.00914683258330927,0.0060905181564254235,0.01523735073973474,True,-1.0,0.22818654338517888,0.0
3,300,9.169793128967285,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.166057586669922,,12,True,2.883054451988978,0.8124419492325637,512071030.4918615,12,12,151,-0.00504760816693306,0.011453572660684586,0.5875642567873002,-6.542226791381836,3.6960418224334717,0.28937643529539964,15.000000000000078,-0.00033310500400192487,0.03857247353382749,0.1683821795383999,0.0,0.0,0.07947019867549669,1.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.3598795024057229,0.5696385502815247,2.4320954978466034,0.005283260061072984,0.23856026785714285,0.0006227822076263172,2.7452236307518825,1.3610741150166308,0.9593327870326382,2.4320954978466034,-2.4320954978466034,1.0,1.0,0.99979797979798,10.997777777777774,1090325463.2815177,1.0,0.0,0.008323054578289876,0.005926868868420409,0.01424992344671025,True,-1.0,0.1683821795383999,0.0
4,300,8.690213441848755,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.162109375,,12,True,3.085617385976662,0.8690375705118593,438592910.71183866,12,12,132,-0.015321162529289722,0.001330980914644897,0.6564635783433924,-15.0,10.481257438659668,0.4299373855576263,15.000000000000078,-0.003579096828729458,0.04934576501429942,0.16475693037111647,0.0,0.0,0.09848484848484848,1.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.5180899179898776,0.7560315728187561,2.4349863018308366,0.0017851147983622337,0.17243303571428573,-5.552550179085561e-05,17.167466052940913,8.571502564208847,2.5529614069632123,2.4349863018308366,-2.4349863018308366,1.0,1.0,0.9999747474747475,10.999722222222221,1166804476.544414,1.0,0.0,0.009609696861319697,0.005955801397302753,0.015565498258622468,True,-1.0,0.16475693037111647,0.0
5,300,8.65459942817688,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.1588134765625,,12,True,3.113013242577578,0.8737039072220848,426963004.9877011,12,12,128,0.0020186344627290964,-0.002243596944026649,0.45448673814535145,-15.0,8.582324028015137,0.3276889597555343,15.000000000000078,-8.403737213398374e-05,0.03064835111078599,0.16124868874747636,0.0,0.0,0.125,1.0,0.0,0.0,0.0,0.25,0.75,0.0,0.25,0.75,0.5454049343243241,0.8749681115150452,2.434497690626553,0.004232300744791116,0.15701729910714285,-0.001975840182110135,8.63630590907165,4.304004645773342,1.7986325690788882,2.434497690626553,-2.434497690626553,1.0,1.0,0.999848484848485,10.998333333333331,1128125850.1716616,1.0,0.0,0.009520389957264215,0.006051446322238217,0.015571836279502411,True,-1.0,0.16124868874747636,0.0
6,300,8.683449745178223,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.17599105834961,,12,True,2.9897543468965346,0.8764163918230662,422094338.1663626,12,12,132,-0.10276421904563904,-0.003356338362209499,0.15582638904452326,-15.0,6.89306640625,0.2338373110726289,15.000000000000078,-0.007559035437791564,0.01038240564682023,0.1768384678165028,0.0,0.0,0.09090909090909091,1.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.4853269352267186,0.887919545173645,2.4337959395987645,0.0019363165566963808,0.11077008928571429,3.412558830210141e-05,14.199739613703318,7.087734952569008,4.182989604771137,2.4337959395987645,-2.4337959395987645,1.0,1.0,0.9957828282828322,10.953611111111151,970186001.2656653,1.0,0.0,0.008287635658116462,0.0057253003640080746,0.014012936022124544,True,-1.0,0.1768384678165028,0.0
7,300,8.537274360656738,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.153708457946777,,12,True,2.993684034099165,0.8045311988160857,422376753.86436653,12,12,124,0.0032329512760043144,-0.0005531183996936306,0.4319463580846789,-7.394662857055664,2.7670276165008545,0.1735834575964277,15.000000000000078,0.00021655175407303684,0.030156529990940494,0.1547831865648337,0.0,0.0,0.11290322580645161,1.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,0.37355551017182215,0.6897404789924622,2.438843548297882,0.002866897382773459,0.15066964285714285,-0.0006977496003465993,2.056709712105138,1.0154628897351878,1.5600897733654295,2.438843548297882,-2.438843548297882,1.0,1.0,1.0,11.0,1162593469.2507167,1.0,0.0,0.008533361040275808,0.00607139368799322,0.014604754728269014,True,-1.0,0.1547831865648337,0.0
8,300,8.760484218597412,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.22824764251709,,12,True,3.088530041826122,1.0793544088286287,466689251.3679829,12,12,140,-0.05564337596297264,0.004716807743534446,0.4294605761766436,-15.0,5.3557610511779785,0.3225851578062446,15.000000000000078,-0.051485851323630066,0.02787227431055391,0.24162741710741423,0.0,0.0,0.08571428571428572,1.0,0.0,0.0,0.08333333333333333,0.0,0.9166666666666666,0.08333333333333333,0.0,0.9166666666666666,0.4816611483693123,0.704538881778717,2.4375382172209874,0.0008180271750981254,0.11111886160714286,-0.0011784774750205024,13.913629225322179,6.94344845201288,3.673036303371191,2.4375382172209874,-2.4375382172209874,1.0,1.0,0.9990151515151524,10.989166666666677,1036818982.4777622,1.0,0.0,0.011193627870148498,0.00584961166270973,0.01704323953285818,True,-1.0,0.24162741710741423,0.0
9,300,8.784512519836426,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.2415189743042,,12,True,2.853849926984753,1.0102730730936902,452981204.52811974,12,12,135,-0.0929485559463501,0.0010036926541943103,0.17055812031030657,-15.0,2.4247825145721436,0.19241134692509346,15.000000000000078,-0.014502268113359978,0.010769597852483537,0.24618308573960376,0.0,0.0,0.08888888888888889,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.475100539624691,0.8386173844337463,2.4331801554986408,0.0008006040505798799,0.10365513392857142,0.0002271291533751147,7.118342425142016,3.5472324107374464,3.1268349018480097,2.4331801554986408,-2.4331801554986408,1.0,1.0,0.9940656565656618,10.934722222222268,999765374.5325816,1.0,0.0,0.013091236043225657,0.005857112323431362,0.018948348366657004,True,-1.0,0.24618308573960376,0.0
10,300,8.533250331878662,delta_cft,7,False,True,time_limit,1.0,15.000000000000078,15.193199157714844,,12,True,2.9903263331285195,0.9545751553404793,426375340.2003918,12,12,129,0.027063993737101555,0.0018007128383032978,0.12092613205313693,-0.9574987888336182,2.5548946857452393,0.05875878930435487,15.000000000000078,0.0018045576855181612,0.007778352211312512,0.1933590560158005,0.0,0.0,0.10852713178294573,1.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.7857142857142857,0.3467932101339102,0.48433390259742737,2.438107041375978,0.0007502824799822909,0.09521484375,-0.0016000326722860336,0.8367877693048545,0.4046033205730574,2.280668919639928,2.438107041375978,-2.438107041375978,1.0,1.0,1.0,11.0,1310507842.950064,1.0,0.0,0.00875919396479255,0.005832879079116947,0.014592073043909503,True,-1.0,0.1933590560158005,0.0
