episode,step,veh_id,target,power,reward,q_len
1,0,0,12,0.210,-10.960,0
1,0,1,6,0.223,-10.958,0
1,0,2,6,0.523,-10.958,1
1,0,3,2,0.471,-10.974,1
1,0,4,0,0.691,-10.958,0
1,0,5,8,0.403,-10.959,0
1,0,6,9,0.183,-10.975,0
1,0,7,0,0.152,-10.958,0
1,0,8,4,0.365,-10.959,1
1,0,9,1,0.890,-10.959,0
1,0,10,7,0.369,-10.961,0
1,0,11,12,0.311,-10.960,0
1,1,0,9,0.027,2.077,0
1,1,1,8,0.765,2.077,0
1,1,2,0,0.777,2.077,1
1,1,3,10,0.837,2.077,0
1,1,4,12,0.108,2.077,0
1,1,5,7,0.137,2.077,0
1,1,6,9,0.136,2.077,0
1,1,7,4,0.261,2.077,0
1,1,8,5,0.732,2.077,0
1,1,9,6,0.650,2.077,0
1,1,10,2,0.202,2.070,0
1,1,11,9,0.338,2.077,0
1,2,0,9,0.938,0.010,0
1,2,1,7,0.745,0.010,0
1,2,2,8,0.339,0.010,1
1,2,3,12,0.615,0.010,0
1,2,4,4,0.232,0.010,0
1,2,5,7,0.780,0.010,0
1,2,6,4,0.541,0.010,0
1,2,7,3,0.643,0.010,0
1,2,8,10,0.191,0.010,0
1,2,9,2,0.298,0.010,0
1,2,10,9,0.775,0.001,0
1,2,11,8,0.673,0.010,0
1,3,0,8,0.296,0.474,0
1,3,1,2,0.304,0.474,0
1,3,2,2,0.346,0.474,0
1,3,3,3,0.347,0.474,0
1,3,4,10,0.485,0.474,0
1,3,5,11,0.914,0.474,0
1,3,6,6,0.893,0.474,0
1,3,7,3,0.161,0.474,0
1,3,8,12,0.423,0.474,0
1,3,9,9,0.878,0.474,0
1,3,10,2,0.126,0.474,0
1,3,11,2,0.425,0.474,0
1,4,0,4,0.718,-0.095,0
1,4,1,8,0.240,-0.095,0
1,4,2,2,0.428,-0.095,0
1,4,3,3,0.247,-0.095,0
1,4,4,12,0.730,-0.095,0
1,4,5,9,0.744,-0.095,0
1,4,6,11,0.384,-0.095,0
1,4,7,9,0.520,-0.095,0
1,4,8,12,0.648,-0.095,0
1,4,9,9,0.830,-0.095,0
1,4,10,7,0.739,-0.095,0
1,4,11,7,0.656,-0.095,0
1,5,0,8,0.350,-0.055,0
1,5,1,8,0.257,-0.055,0
1,5,2,11,0.325,-0.055,0
1,5,3,10,0.482,-0.055,0
1,5,4,8,0.601,-0.055,0
1,5,5,12,0.168,-0.055,0
1,5,6,1,0.411,-0.055,0
1,5,7,12,0.249,-0.055,0
1,5,8,9,0.798,-0.055,0
1,5,9,3,0.753,-0.055,0
1,5,10,4,0.389,-0.055,0
1,5,11,2,0.559,-0.055,0
1,6,0,4,0.528,0.029,0
1,6,1,6,0.316,0.029,0
1,6,2,10,0.307,0.029,0
1,6,3,0,0.542,0.029,0
1,6,4,2,0.611,0.029,0
1,6,5,1,0.192,0.029,0
1,6,6,8,0.598,0.029,0
1,6,7,7,0.433,0.029,0
1,6,8,11,0.582,0.029,0
1,6,9,12,0.453,0.029,0
1,6,10,7,0.464,0.029,0
1,6,11,8,0.517,0.029,0
1,7,0,2,0.314,-0.012,0
1,7,1,1,0.343,-0.012,0
1,7,2,10,0.453,-0.012,0
1,7,3,0,0.694,-0.012,0
1,7,4,12,0.443,-0.012,0
1,7,5,11,0.580,-0.012,0
1,7,6,9,0.540,-0.012,0
1,7,7,1,0.050,-0.012,0
1,7,8,4,0.770,-0.012,0
1,7,9,3,0.480,-0.012,0
1,7,10,2,0.938,-0.012,0
1,7,11,5,0.406,-0.012,0
1,8,0,1,0.343,0.306,0
1,8,1,1,0.763,0.306,0
1,8,2,6,0.827,0.306,0
1,8,3,3,0.458,0.306,0
1,8,4,0,0.351,0.306,0
1,8,5,9,0.102,0.306,0
1,8,6,8,0.618,0.306,0
1,8,7,10,0.214,0.306,0
1,8,8,4,0.260,0.306,0
1,8,9,2,0.310,0.306,0
1,8,10,4,0.713,0.306,0
1,8,11,11,0.453,0.306,0
1,9,0,5,0.254,-0.303,0
1,9,1,4,0.704,-0.303,0
1,9,2,9,0.782,-0.303,0
1,9,3,4,0.784,-0.303,0
1,9,4,1,0.523,-0.303,0
1,9,5,3,0.644,-0.303,0
1,9,6,5,0.459,-0.303,0
1,9,7,7,0.645,-0.303,0
1,9,8,1,0.219,-0.303,0
1,9,9,9,0.412,-0.303,0
1,9,10,12,0.725,-0.303,0
1,9,11,1,0.444,-0.303,0
1,10,0,10,0.375,-0.021,0
1,10,1,7,0.613,-0.021,0
1,10,2,7,0.177,-0.021,0
1,10,3,1,0.059,-0.021,0
1,10,4,3,0.597,-0.021,0
1,10,5,6,0.233,-0.021,0
1,10,6,12,0.462,-0.021,0
1,10,7,1,0.382,-0.021,0
1,10,8,10,0.406,-0.021,0
1,10,9,4,0.492,-0.021,0
1,10,10,2,0.593,-0.021,0
1,10,11,4,0.681,-0.021,0
1,11,0,0,0.551,0.067,0
1,11,1,3,0.633,0.067,0
1,11,2,8,0.481,0.067,0
1,11,3,1,0.911,0.067,0
1,11,4,7,0.886,0.067,0
1,11,5,7,0.655,0.067,0
1,11,6,3,0.445,0.067,0
1,11,7,6,0.124,0.067,0
1,11,8,0,0.297,0.067,0
1,11,9,4,0.496,0.067,0
1,11,10,5,0.459,0.067,0
1,11,11,8,0.773,0.067,0
1,12,0,3,0.804,-0.052,0
1,12,1,9,0.324,-0.052,0
1,12,2,10,0.620,-0.052,0
1,12,3,2,0.281,-0.052,0
1,12,4,3,0.760,-0.052,0
1,12,5,0,0.603,-0.052,0
1,12,6,12,0.770,-0.052,0
1,12,7,7,0.375,-0.052,0
1,12,8,9,0.259,-0.052,0
1,12,9,3,0.239,-0.052,0
1,12,10,3,0.770,-0.052,0
1,12,11,1,0.625,-0.052,0
1,13,0,5,0.419,-0.003,0
1,13,1,6,0.669,-0.003,0
1,13,2,1,0.707,-0.003,0
1,13,3,7,0.855,-0.003,0
1,13,4,6,0.711,-0.003,0
1,13,5,4,0.691,-0.003,0
1,13,6,10,0.725,-0.003,0
1,13,7,5,0.550,-0.003,0
