episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,200,4.710291862487793,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,120,0.09775529056787491,8.947728929342702e-05,1.5025792121887207,-0.9999002814292908,3.052445888519287,0.1451021432876587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08983604526519776,-0.08983604526519776,-0.02713892227411362,0.008737764988094568,0.0,5.827293739956123e-05,0.0,20.241207790374766,,,0.2412077903747516,0.7,0.7,0.925,0.3,0.0,0.0,0.3949579831932773,0.3025210084033613,0.3025210084033613,0.3949579831932773,0.3025210084033613,0.3025210084033613,,,1.4246658118565878,0.028701804230610528,0.2919715885321299,-0.051901759536316,5.581943674882253,2.7362206824620565,1.6471123095353444,1.4246658118565878,-1.4246658118565878,0.02975,119,4000,10.642499923706055,10.731383323669434,10.776253452301026,9.431392033894857,2.76837926817437,0.22099325040976206,0.531043291091919,0,1.0,1.0,0.9949000000000001,4.9745,108915306.80619413,1.0,0.0,,,,True,-1.0,0.2412077903747516,0.0
2,200,4.821539878845215,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,114,0.12524473667144775,3.7059544411022216e-05,0.6410202980041504,-0.883528470993042,4.586975574493408,0.13408002257347107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09084170460700988,-0.09084170460700988,-0.021366345882417186,0.009811945458874106,0.0,6.242291052009723e-05,0.0,20.127401638031017,,,0.12740163803100302,0.75,0.75,0.9736842105263158,0.25,0.0,0.0,0.37606837606837606,0.38461538461538464,0.23931623931623933,0.37606837606837606,0.38461538461538464,0.23931623931623933,,,1.338596895535787,0.026284867660142482,0.23824387202660244,-0.025715493271127342,7.512415753205617,3.7278152124087014,1.9153891932964324,1.338596895535787,-1.338596895535787,0.02925,117,4000,11.461112022399902,9.154867172241211,14.808111038208008,7.655664621988932,6.3557134501139325,0.3112668856481711,0.7425569994250933,0,1.0,1.0,0.9980500000000001,4.99025,120944082.31753409,1.0,0.0,,,,True,-1.0,0.12740163803100302,0.0
3,200,5.674157619476318,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,123,0.16694451868534088,0.0,1.5010632276535034,0.0,4.523140907287598,0.16694451868534088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08893102884292606,-0.08893102884292606,-0.023445355892183075,0.011624251591041685,0.0,6.069290967181148e-05,0.0,20.00000000000001,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.29838709677419356,0.4596774193548387,0.24193548387096775,0.29838709677419356,0.4596774193548387,0.24193548387096775,,,1.2493713315327961,0.03674465193723639,0.38664373219013215,-0.023191486795743305,7.943933397928873,3.9462763929367064,1.9324443339308104,1.2493713315327961,-1.2493713315327961,0.031,124,4000,15.04045295715332,6.4361467361450195,21.538194262186686,5.677173620859782,12.140114091237386,0.5255174133181572,0.9357575758298238,0,1.0,1.0,0.9993000000000001,4.9965,111124586.860026,1.0,0.0,,,,False,0.0,0.0,0.0
4,200,5.51754093170166,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,118,0.12334568798542023,5.78222461626865e-05,0.5229822397232056,-0.927941083908081,4.506317138671875,0.13262508809566498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09004865860939026,-0.09004865860939026,-0.02385549944639253,0.013632368341088295,0.0,2.5933692052873284e-05,0.0,20.11493558883668,,,0.11493558883666566,0.8,0.8,0.9491525423728814,0.2,0.0,0.0,0.1810344827586207,0.5344827586206896,0.28448275862068967,0.1810344827586207,0.5344827586206896,0.28448275862068967,,,1.2950010983149212,0.014624101989514506,0.2526689653595289,0.011391189827894171,3.892890867392222,1.9552466384569804,2.520549442768097,1.2950010983149212,-1.2950010983149212,0.029,116,4000,10.366857528686523,10.282015800476074,22.538648007710776,8.87399076461792,16.500348192850748,0.7701149886846542,0.6898968476057052,0,1.0,1.0,1.0,5.0,120466793.58757164,1.0,0.0,,,,True,-1.0,0.11493558883666566,0.0
5,200,4.519237041473389,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,114,0.12619970738887787,3.54459261870943e-05,1.5011650323867798,-0.9397708773612976,4.505826950073242,0.13559740781784058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09108258986473085,-0.09108258986473085,-0.026339038610460858,0.011789856489747763,0.0,5.227161466805361e-05,0.0,20.067576694488537,,,0.06757669448852255,0.85,0.85,0.9736842105263158,0.15,0.0,0.0,0.23478260869565218,0.391304347826087,0.3739130434782609,0.23478260869565218,0.391304347826087,0.3739130434782609,,,1.166031677722931,0.08751466838022073,0.42743668019771575,0.02758301635272801,5.061974493662516,2.5562382419904073,2.7739479405246676,1.166031677722931,-1.166031677722931,0.02875,115,4000,11.07910442352295,10.737713813781738,27.80821538289388,8.802871220906576,20.711277135213216,0.9215416594346364,0.7305497851967812,0,1.0,1.0,1.0,5.0,119509064.00793834,1.0,0.0,,,,True,-1.0,0.06757669448852255,0.0
6,200,4.760277986526489,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,113,0.1524944305419922,2.0386851247167215e-05,0.41819047927856445,-0.7755219340324402,4.581701755523682,0.16024965047836304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09052021110057833,-0.09052021110057833,-0.037706394970420866,0.012601993331685662,0.0,3.594691181382462e-05,0.0,20.024842071533214,,,0.024842071533200283,0.95,0.95,0.9734513274336283,0.05,0.0,0.0,0.17117117117117117,0.5045045045045045,0.32432432432432434,0.17117117117117117,0.5045045045045045,0.32432432432432434,,,1.3586938206354777,0.03181078737834468,0.2724650581677755,-0.005221861672277252,6.726775519053141,3.3554484709103902,3.132455025116603,1.3586938206354777,-1.3586938206354777,0.02775,111,4000,11.142227172851562,7.220220565795898,32.42774164835612,5.695492321650187,26.250168126424153,1.2767579184969267,0.9016017323732376,0,1.0,1.0,1.0,5.0,125380298.75725812,1.0,0.0,,,,True,-1.0,0.024842071533200283,0.0
7,200,4.474074840545654,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,117,0.15137174725532532,1.4838125025562476e-05,1.5144296884536743,-0.9539452791213989,4.557990074157715,0.1609112024307251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0902230384349823,-0.0902230384349823,0.005539246678351398,0.014665851487778127,0.0,3.78920721242856e-05,0.0,20.025398540496838,,,0.02539854049682333,0.95,0.95,0.9829059829059829,0.05,0.0,0.0,0.08547008547008547,0.5128205128205128,0.4017094017094017,0.08547008547008547,0.5128205128205128,0.4017094017094017,,,1.3452624424298605,0.012994573024722436,0.22081555902957917,0.01639471442438662,13.425267207622529,1686272.5071414607,143190552.19808084,1.3452624424298605,-1.3452624424298605,0.02925,117,4000,11.108352661132812,7.115041732788086,37.62851903279623,6.256506729523341,31.681641159057616,1.5233994897206624,0.8701957672834396,0,1.0,1.0,1.0,5.0,116840393.99188016,1.0,0.0,,,,True,-1.0,0.02539854049682333,0.0
8,200,4.620609760284424,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,126,0.13635845482349396,2.4918590497691184e-05,0.4718042314052582,2.4918590497691184e-05,4.584316253662109,0.13635845482349396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09045430481433868,-0.09045430481433868,-0.016165622591977197,0.015080875597894191,0.0,4.794752505555391e-05,0.0,20.029264450073253,,,0.029264450073238635,0.85,0.85,0.9841269841269841,0.15,0.0,0.0,0.1015625,0.453125,0.4453125,0.1015625,0.453125,0.4453125,,,1.3297264424959818,0.03835285966284573,0.3356927568713824,-0.017360359048470855,3.6967714842160544,1.8283659104506176,4.866858061552048,1.3297264424959818,-1.3297264424959818,0.032,128,4000,8.30455493927002,8.192228317260742,40.543601989746094,7.3128375275929764,35.984606679280596,1.8930041694641113,0.7361680566271146,0,1.0,1.0,1.0,5.0,111155586.3851964,1.0,0.0,,,,True,-1.0,0.029264450073238635,0.0
9,200,4.479857921600342,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,117,0.13451796770095825,3.3482381695648655e-05,1.5025169849395752,-0.9687513709068298,6.071889877319336,0.1527584046125412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090671537399292,-0.090671537399292,-0.005274148583412635,0.014587525123730303,0.0,0.00015715383046338788,0.0,20.048814392089856,,,0.04881439208984162,0.85,0.85,0.9743589743589743,0.15,0.0,0.0,0.06722689075630252,0.5798319327731093,0.35294117647058826,0.06722689075630252,0.5798319327731093,0.35294117647058826,,,0.9683007820447286,0.061155990658444355,0.39168265789747236,0.011955219365966817,4.54120177268982,2.2806195402145386,8.125217845042547,0.9683007820447286,-0.9683007820447286,0.02975,119,4000,6.292387008666992,9.697493553161621,44.46762446085612,8.059311935106914,41.869346364339194,1.8168479124704997,0.7056811374425888,0,1.0,1.0,1.0,5.0,117239174.13616079,1.0,0.0,,,,True,-1.0,0.04881439208984162,0.0
10,200,4.630131244659424,0,False,True,time_limit,,20.000000000000014,,,,,,,,20,20,111,0.12617044150829315,7.168737647589296e-05,0.5070168375968933,-0.9249283075332642,6.054356575012207,0.13541972637176514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09214586603641511,-0.09214586603641511,-0.0265645492076881,0.01450349571928382,0.0,3.6017813820065426e-05,0.0,20.171998405456556,,,0.17199840545654155,0.85,0.85,0.9369369369369369,0.15,0.0,0.0,0.037383177570093455,0.7383177570093458,0.22429906542056074,0.037383177570093455,0.7383177570093458,0.22429906542056074,,,1.0119592173894247,0.009558106808302304,0.17695956230163573,-0.015420104345927636,17.39943137407303,37148700.792217344,5.61933899641037,1.0119592173894247,-1.0119592173894247,0.02675,107,4000,6.661287784576416,9.077906608581543,47.26541839599609,8.035364557902017,44.56282404581706,2.4451883536577226,0.6952891585230827,0,1.0,1.0,1.0,5.0,116642296.88072054,1.0,0.0,,,,True,-1.0,0.17199840545654155,0.0
